"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"E. Parkhomenko","England 4.","Neman Grodno","LCB","22","450000","2028-06-30","8","809","0","0","1","0.19","Belarus","right","193","no","8.57","4.56","63.41","3.23","51.72","0.67","5.92","0","0","0","0","0","0","0","0.44","75","0.22","50","1.45","30.77","0.89","2.22","0.11","42.27","81.05","19.47","67.43","7.01","34.92","0.02","0","0.11","6.34","59.65","0.78","42.86","0.22","8.68","65.38","","","0","0","","",""
"M. Belov","England 4.","Neman Grodno","GK","26","175000","2027-12-31","8","809","0","0","0","0","Belarus","right","198","no","1.89","0","0","0.89","100","0","2.19","0","0","0","0","0","0","0","0","0","0.11","100","0.11","100","0","0","0","18.36","75.15","14.68","68.94","12.79","65.22","0","0","0","4.45","65","0.11","0","0","10.01","80","1.22","3.34","63.33","1.05","-1.57","-0.175","1.45"
"I. Sadovnichiy","England 4.","Neman Grodno","RCB","38","50000","2026-12-31","8","801","0","0.23","0","0","Belarus","right","193","no","8.2","4.38","61.54","4.83","51.16","0.67","6.18","0","0.03","0","3","0.34","66.67","0","0","0","0","0","0.56","60","0.67","0.34","0","30","82.02","14.27","72.44","5.62","52","0","0","0","4.61","58.54","0.22","50","0.22","6.18","65.45","","","0","0","","",""
"M. Kozlov","England 4.","Neman Grodno","LDMF, LCMF","35","150000","","8","782","0","0.05","0","0.03","Belarus","right","177","no","7.02","5.75","68","0.81","71.43","0.12","3.41","0","0.01","0","2","0.23","0","0","0.46","25","0.69","33.33","2.53","45.45","0.12","0.58","0.12","36.83","78.75","12.77","64.86","5.29","41.3","0","0.23","0","5.52","60.42","1.27","9.09","0.12","4.95","72.09","","","0","0","","",""
"A. Donnelly","England 4.","Larne","LCB, CB","25","250000","2028-05-31","6","645","0","0","0","0","Northern Ireland","left","180","no","4.33","3.07","59.09","2.37","58.82","0.14","3.03","0","0","0","0","0","0","0","0.14","100","0.28","50","1.12","62.5","0","0.28","0.14","36.28","83.46","19.12","72.26","7.81","53.57","0","0.14","0","3.63","53.85","0.56","50","0.14","9.49","60.29","","","0","0","","",""
"C. Gallagher","England 4.","Larne","RCMF, DMF","26","100000","2029-05-31","6","645","0","0","0","0.05","Northern Ireland","right","175","no","9.63","4.88","71.43","0.84","50","0.84","6.74","0","0","0","0","0","0","0","0.28","100","0.84","66.67","3.07","54.55","0","0.28","0","29.58","76.42","9.35","49.25","5.02","27.78","0.01","0","0","3.77","37.04","0.56","50","0","4.74","50","","","0","0","","",""
"R. Ferguson","England 4.","Larne","GK","28","300000","2030-05-31","6","645","0","0","0","0","Scotland","right","184","no","1.95","0.14","0","0.98","85.71","0","2.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.33","78.13","13.4","67.71","11.3","62.96","0","0","0","2.09","46.67","0","0","0","9.77","62.86","0.84","4.6","81.82","1.61","5.57","0.777","1.95"
"D. Bent","England 4.","Larne","CF, RW, LCMF","30","0","2027-05-31","6","645","1","0.69","0","0.52","Gibraltar","right","185","no","7.67","4.74","47.06","6","48.84","0.14","5.9","0.14","0.1","0","4","0.56","25","25","0","0","1.12","37.5","7.4","37.74","1.4","0.42","0","14.65","72.38","3.91","60.71","0.7","0","0.07","0","0.14","2.23","68.75","0","0","0.14","1.67","41.67","","","0","0","","",""
"P. Isenko","England 4.","Universitatea Craiova","GK","22","0","2029-06-30","6","633","0","0","0","0","Ukraine","right","192","no","2.13","0","0","0.71","60","0","2.87","0","0","0","0","0","0","0","0","0","0","0","0.14","0","0","0","0","14.64","81.55","7.82","65.45","5.83","56.1","0","0","0","0.28","0","0","0","0","4.69","57.58","1.14","3.84","70.37","1.5","2.54","0.361","2.27"
"O. Romanchuk","England 4.","Universitatea Craiova","RCB, LCB","26","0","2028-06-30","6","633","1","0.26","1","0","Ukraine","right","193","no","11.37","4.98","62.86","3.13","63.64","0.14","9.36","0.14","0.04","0","4","0.57","25","25","0.14","0","0.28","100","2.13","40","0.85","0.85","0","35.4","81.53","16.21","68.42","6.11","46.51","0","0","0","3.55","64","0.14","0","0","6.82","60.42","","","0","0","","",""
"Filipe Relvas","England 4.","AEK Athens","LCB","26","0","2029-06-30","6","631","2","1.21","0","0","Portugal","left","192","no","4.56","1.57","72.73","3.28","73.91","0.86","4.44","0.29","0.17","0.14","8","1.14","50","25","0","0","0.14","0","0.14","0","1.28","0.14","0","48.35","93.22","19.97","90","4.56","81.25","0","0","0","3.99","89.29","0.14","0","0.14","7.56","69.81","","","0","0","","",""
"L. Rota","England 4.","AEK Athens","RB","28","2000000","2030-06-30","6","631","0","0.24","0","0.52","Greece","right","180","no","11.13","7.84","63.64","0.71","40","0.29","7.04","0","0.03","0","3","0.43","66.67","0","1.14","50","2.42","52.94","5.56","43.59","0.71","2.42","0.57","37.65","87.88","12.69","77.53","3.42","58.33","0.07","0","0.29","3.99","78.57","1.57","54.55","0.57","6.56","82.61","","","0","0","","",""
"T. Strakosha","England 4.","AEK Athens","GK","30","0","2029-06-30","6","631","0","0","0","0","Greece","right","186","no","1","0","0","0.29","100","0","1.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.12","82.5","10.27","73.61","9.13","67.19","0","0","0","2.14","53.33","0","0","0","5.42","86.84","0.57","3.85","85.19","1.05","3.34","0.476","0.86"
"H. Moukoudi","England 4.","AEK Athens","RCB","28","0","2029-06-30","6","631","0","0.51","0","0","France","right","191","no","7.27","3.42","62.5","1.85","38.46","1.28","6.67","0","0.07","0","4","0.57","25","0","0","0","0.71","80","1.85","46.15","0.43","0.86","0","42.36","92.26","18.26","85.94","2.42","58.82","0","0","0","3.42","83.33","0","0","0","6.99","73.47","","","0","0","","",""
"Felipe","England 4.","Differdange 03","GK","42","0","2026-06-30","6","627","0","0","0","0","Brazil","right","189","no","3.01","0.72","60","0.14","100","0","2.47","0","0","0","0","0","0","0","0","0","0","0","0.29","100","0","0","0","20.1","88.57","11.2","80.77","7.75","72.22","0","0","0","2.44","64.71","0","0","0","6.32","88.64","1","2.58","61.11","0.83","-1.23","-0.177","1.29"
"Leandro Borges","England 4.","Differdange 03","RCMF, LCMF, DMF","34","100000","2027-06-30","6","627","0","0.42","0","0.19","Brazil","right","186","no","6.6","5.45","63.16","3.88","33.33","0.43","3.4","0","0.06","0","8","1.15","25","0","0.14","100","1.58","63.64","7.03","44.9","0.86","0.57","0","40.05","88.53","9.76","66.18","3.01","52.38","0.03","0.29","0","6.03","71.43","0.86","50","0.43","5.45","81.58","","","0","0","","",""
"K. D'Anzico","England 4.","Differdange 03","RCB","25","0","","6","627","0","0.21","0","0.02","Luxembourg","right","184","no","5.31","5.02","51.43","3.3","47.83","0.72","2.78","0","0.03","0","2","0.29","50","0","0","0","0","0","0.57","50","0.29","0.43","0","38.33","86.52","17.66","75.61","6.89","68.75","0","0","0","4.59","68.75","0.43","0","0","9.33","73.85","","","0","0","","",""
"D. Lempereur","England 4.","Differdange 03","LWB, LB","27","75000","2026-06-30","6","627","0","0.25","1","1.54","France","left","178","no","8.33","5.31","70.27","0.86","50","0.43","4.95","0","0.04","0","7","1","0","0","5.02","34.29","2.44","52.94","5.31","40.54","0.72","0.86","0.57","35.02","72.13","15.65","70.64","6.03","50","0.22","0","0.29","4.88","64.71","3.3","34.78","0.14","9.47","71.21","","","0","0","","",""
"V. Jelenković","England 4.","Olimpija","RCB, LCB","22","0","2028-06-30","6","627","1","0.09","0","0","Bulgaria","right","187","no","9.62","5.74","65","2.58","44.44","0.72","7.75","0.14","0.01","0.14","1","0.14","100","100","0.29","50","0.14","100","1.58","81.82","0.43","1.29","0.14","52.54","90.71","25.41","85.88","3.44","45.83","0","0.14","0","7.32","78.43","0.57","50","0.29","10.05","78.57","","","0","0","","",""
"M. Dajčar","England 4.","Olimpija","GK","24","25000","2028-05-31","6","627","0","0","0","0","Slovenia","right","190","no","0.86","0","0","0.57","75","0","1.19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.51","86.89","9.9","78.26","5.74","60","0","0","0","1.15","37.5","0.14","0","0","3.73","76.92","1.72","3.3","47.83","0.95","-5.36","-0.769","1.44"
