Player,League,Season,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Birth country,Passport countries,Foot,Height,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Shots blocked per 90,PAdj Interceptions,Non-penalty goals per 90,xG per 90,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Long passes per 90,"Accurate long passes, %",xA per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals per 90,Shots against per 90,"Save rate, %",xG against per 90,Prevented goals,Prevented goals per 90,Exits per 90,Wyscout ID
Fábio,Brazil 1.,2026,Fluminense,GK,45,200000,2027-12-31,22,2282,0,0.0,0,0.0,Brazil,"Brazil, Italy",right,190,no,0.63,0.08,50.0,0.12,66.67,0.0,0.96,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.04,0.0,12.38,87.9,6.27,78.62,3.71,63.83,0.0,0.0,0.0,0.24,66.67,0.0,0.0,0.0,3.0,60.53,1.03,4.1,75.0,1.13,2.57,0.101,1.1,8961
João Victor,Brazil 1.,2026,Mirassol,RCB,28,250000,2027-12-31,21,2167,1,1.08,1,0.06,Brazil,Brazil,right,188,no,6.56,2.74,60.61,4.19,70.3,1.25,6.76,0.04,0.04,0.04,8,0.33,37.5,12.5,0.08,50.0,0.12,100.0,0.58,57.14,0.58,0.37,0.04,41.2,92.84,14.16,87.1,3.36,69.14,0.0,0.0,0.04,3.45,77.11,0.17,25.0,0.08,5.07,76.23,,,0.0,0.0,,,,470539
Rafael,Brazil 1.,2026,São Paulo,GK,37,800000,2027-12-31,21,2167,0,0.0,0,0.0,Brazil,Brazil,left,192,no,1.16,0.08,50.0,0.25,100.0,0.0,1.68,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,16.41,86.33,7.48,72.22,5.36,61.24,0.0,0.0,0.0,1.5,61.11,0.17,25.0,0.04,4.19,68.32,1.04,3.41,69.51,0.99,-1.08,-0.045,1.12,97650
Santos,Brazil 1.,2026,Athletico Paranaense,GK,36,1000000,2026-12-31,21,2159,0,0.0,0,0.0,Brazil,Brazil,right,188,no,0.88,0.04,100.0,0.08,100.0,0.0,1.14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,11.67,80.0,6.17,64.86,4.0,47.92,0.0,0.0,0.04,1.46,48.57,0.08,0.0,0.0,2.79,61.19,0.79,2.88,72.46,0.76,-0.65,-0.027,1.17,115496
Carlos Miguel,Brazil 1.,2026,Palmeiras,GK,27,0,2027-06-30,21,2143,0,0.0,0,0.0,Brazil,Brazil,left,204,no,0.76,0.0,0.0,0.55,92.31,0.0,1.06,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,15.37,83.61,7.69,68.31,4.37,44.23,0.0,0.0,0.0,1.89,33.33,0.17,0.0,0.0,2.94,65.71,0.67,3.4,80.25,0.66,-0.29,-0.012,2.1,-67602
Marllon,Brazil 1.,2026,Remo,RCB,34,500000,2026-12-31,21,2138,1,0.31,1,0.01,Brazil,Brazil,right,186,no,6.78,4.04,67.71,2.19,55.77,0.51,4.86,0.04,0.01,0.04,4,0.17,50.0,25.0,0.04,0.0,0.0,0.0,0.76,44.44,0.34,0.13,0.0,28.71,86.36,10.57,74.9,3.16,44.0,0.0,0.0,0.04,2.65,63.49,0.21,20.0,0.0,4.08,68.04,,,0.0,0.0,,,,158622
Marcelo Rangel,Brazil 1.,2026,Remo,GK,38,0,2026-12-31,21,2135,0,0.0,0,0.0,Brazil,Brazil,right,186,no,1.05,0.0,0.0,0.21,80.0,0.0,1.26,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.25,100.0,0.0,0.0,0.0,12.6,80.6,7.29,68.21,5.52,59.54,0.0,0.0,0.0,1.69,37.5,0.04,0.0,0.0,3.75,73.03,1.52,4.93,69.23,1.57,1.3,0.055,1.64,125297
Agustín Rossi,Brazil 1.,2026,Flamengo,GK,30,7000000,2027-12-31,21,2132,0,0.0,0,0.01,Argentina,"Argentina, Italy",right,193,no,0.55,0.0,0.0,0.04,100.0,0.0,0.78,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,17.52,86.02,7.81,74.05,4.69,55.86,0.0,0.0,0.0,0.93,31.82,0.04,0.0,0.0,3.5,60.24,0.76,3.29,76.92,0.8,0.99,0.042,1.06,331574
Robert Renan,Brazil 1.,2026,Vasco da Gama,LCB,22,0,2028-06-30,21,2128,1,0.61,0,0.53,Brazil,Brazil,left,186,yes,7.4,4.53,64.49,2.28,64.81,0.38,6.32,0.04,0.03,0.04,7,0.3,28.57,14.286,0.34,37.5,0.13,33.33,1.02,29.17,0.34,1.44,0.08,49.74,86.9,24.36,79.86,5.79,46.72,0.02,0.04,0.08,9.85,72.53,0.85,35.0,0.13,9.09,78.6,,,0.0,0.0,,,,-176274
Léo Jardim,Brazil 1.,2026,Vasco da Gama,GK,31,5500000,2030-12-31,21,2128,0,0.0,0,0.0,Brazil,"Brazil, Italy",right,188,no,0.93,0.04,0.0,0.21,100.0,0.0,1.35,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,14.51,83.97,6.89,69.33,4.91,58.62,0.0,0.0,0.0,1.14,66.67,0.0,0.0,0.0,3.81,65.56,1.31,3.89,66.3,1.15,-3.84,-0.162,1.18,328222
K. Viveros,Brazil 1.,2026,Athletico Paranaense,CF,26,0,2028-06-30,21,2119,14,15.0,2,1.07,Colombia,Colombia,right,180,no,1.91,2.0,29.79,2.72,18.75,0.17,1.67,0.51,0.64,0.0,61,2.59,57.38,22.951,0.76,11.11,2.38,53.57,10.28,38.43,3.78,1.23,0.21,8.54,73.13,1.32,64.52,0.21,40.0,0.05,0.0,0.42,0.38,77.78,0.72,41.18,0.25,0.42,70.0,,,0.0,0.0,,,,477173
Éverson,Brazil 1.,2026,Atlético Mineiro,GK,36,1800000,2027-12-31,21,2104,0,0.0,1,0.52,Brazil,Brazil,right,192,no,1.07,0.04,100.0,0.34,87.5,0.0,1.36,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,27.8,75.69,18.52,66.28,15.61,58.9,0.02,0.0,0.04,3.51,36.59,0.43,10.0,0.04,10.52,67.89,1.15,4.11,71.88,0.92,-5.45,-0.233,1.58,112043
Hugo Souza,Brazil 1.,2026,Corinthians,GK,27,0,2030-12-31,20,2061,0,0.0,0,0.0,Brazil,Brazil,right,199,no,1.05,0.13,66.67,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.09,100.0,0.04,0.0,0.0,17.9,84.39,8.3,71.05,5.2,57.14,0.0,0.0,0.0,1.62,67.57,0.17,0.0,0.0,4.41,61.39,0.74,2.71,72.58,0.69,-1.3,-0.057,0.52,485423
Marlon Freitas,Brazil 1.,2026,Palmeiras,"LCMF, LDMF, RDMF",31,3500000,2028-12-31,21,2036,2,0.8,0,1.81,Brazil,Brazil,right,185,no,5.17,3.62,51.22,1.59,33.33,0.22,4.59,0.09,0.04,0.0,15,0.66,20.0,13.333,0.35,50.0,0.13,66.67,0.62,42.86,0.31,0.57,0.13,53.84,90.48,15.21,77.33,5.35,67.77,0.08,0.09,0.4,7.43,79.17,1.77,50.0,0.88,7.34,78.31,,,0.0,0.0,,,,401945
S. Ramos Mingo,Brazil 1.,2026,Bahia,LCB,24,0,2029-12-31,20,2019,0,0.67,0,0.31,Argentina,"Argentina, Italy",left,186,no,6.33,2.99,53.73,2.9,58.46,0.76,6.95,0.0,0.03,0.0,6,0.27,83.33,0.0,0.09,0.0,0.18,75.0,0.62,50.0,0.4,1.03,0.22,43.02,90.57,20.24,85.24,4.19,52.13,0.01,0.04,0.04,7.67,77.33,0.4,33.33,0.18,7.58,77.65,,,0.0,0.0,,,,-129043
Fabricio Bruno,Brazil 1.,2026,Cruzeiro,RCB,30,0,2030-12-31,20,2013,0,0.72,0,0.67,Brazil,Brazil,right,192,no,5.37,3.22,63.89,3.58,76.25,0.36,5.1,0.0,0.03,0.0,11,0.49,27.27,0.0,0.27,33.33,0.18,100.0,0.31,71.43,0.89,0.76,0.09,51.24,90.84,20.07,82.85,4.92,60.0,0.03,0.0,0.22,6.71,82.67,0.63,21.43,0.09,9.25,74.4,,,0.0,0.0,,,,438564
Bruno Gomes,Brazil 1.,2026,Internacional,"RCB, RB",25,2500000,2027-12-31,22,1999,0,0.53,0,2.25,Brazil,"Brazil, Italy",right,175,no,7.52,5.63,61.6,2.7,48.33,0.36,5.33,0.0,0.02,0.0,13,0.59,7.69,0.0,1.13,28.0,1.35,66.67,4.37,55.67,0.45,1.22,0.05,41.6,83.98,17.51,75.06,4.59,54.9,0.1,0.09,0.18,8.24,78.14,2.21,38.78,0.63,7.88,77.71,,,0.0,0.0,,,,-109543
N. Acevedo,Brazil 1.,2026,Bahia,"RB, DMF, LCMF",27,4500000,2031-12-31,20,1978,0,1.49,0,0.39,Uruguay,Uruguay,right,173,no,9.19,7.55,54.22,2.37,55.77,0.18,6.88,0.0,0.07,0.0,21,0.96,28.57,0.0,0.64,50.0,1.37,50.0,5.37,45.76,0.91,2.0,0.09,57.33,85.16,24.52,76.99,5.6,47.15,0.02,0.18,0.27,9.05,76.38,1.5,45.45,0.46,9.28,73.04,,,0.0,0.0,,,,-104315
S. Mendoza,Brazil 1.,2026,Athletico Paranaense,"LWB, AMF, LB",34,1000000,2027-12-31,22,1966,5,2.37,0,1.83,Colombia,Colombia,left,172,no,2.66,2.2,47.92,0.5,27.27,0.05,2.12,0.23,0.11,0.0,27,1.24,40.74,18.519,1.19,38.46,1.01,59.09,4.9,35.51,1.42,1.69,0.46,28.98,83.89,8.01,72.57,1.42,64.52,0.08,0.23,0.5,3.2,70.0,2.38,50.0,1.01,4.07,77.53,,,0.0,0.0,,,,141915
Walter,Brazil 1.,2026,Mirassol,GK,38,250000,2026-12-31,19,1965,0,0.0,0,0.0,Brazil,"Brazil, Italy",right,188,no,0.64,0.05,0.0,0.05,100.0,0.0,0.83,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.37,91.02,8.52,83.87,3.66,60.0,0.0,0.0,0.0,1.24,37.04,0.05,0.0,0.0,2.47,70.37,1.19,3.71,67.9,1.05,-2.99,-0.137,1.1,136425
Arthur Dias,Brazil 1.,2026,Athletico Paranaense,"LCB, RCB, CB",19,0,2028-12-31,20,1961,0,0.37,0,0.0,Brazil,Brazil,,0,no,6.65,3.3,63.89,1.61,42.86,0.64,6.04,0.0,0.02,0.0,5,0.23,0.0,0.0,0.14,33.33,0.23,40.0,1.29,50.0,0.28,1.01,0.05,40.94,87.67,17.67,79.74,6.24,61.76,0.0,0.05,0.09,5.55,76.86,0.5,36.36,0.14,8.22,71.51,,,0.0,0.0,,,,-423628
Weverton,Brazil 1.,2026,Grêmio,GK,38,2000000,2028-12-31,19,1948,0,0.0,1,0.0,Brazil,Brazil,right,189,no,0.97,0.14,66.67,0.23,80.0,0.0,1.24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,19.5,81.75,11.13,69.29,7.62,55.76,0.0,0.0,0.0,2.82,36.07,0.14,0.0,0.0,5.36,77.59,1.06,3.83,72.29,1.35,6.31,0.292,1.43,32538
Gabriel Brazão,Brazil 1.,2026,Santos,GK,25,0,2028-12-31,19,1936,0,0.1,0,0.0,Brazil,Brazil,right,192,no,0.79,0.09,50.0,0.37,100.0,0.0,1.05,0.0,0.0,0.0,1,0.05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,11.48,87.85,5.3,76.32,3.44,62.16,0.0,0.0,0.0,0.98,57.14,0.0,0.0,0.0,2.56,65.45,1.53,4.09,62.5,1.2,-7.13,-0.331,1.35,474967
