"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Birth country","Foot","Height","Passes per 90","Accurate passes, %","Long passes per 90","Accurate long passes, %","Conceded goals per 90","Shots against per 90","Clean sheets","Save rate, %","xG against","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"R. Roefs","England 1.","Sunderland","GK","22","600000","2030-06-30","13","1320","Netherlands","left","192","22.98","84.27","7.91","57.76","0.89","4.16","4","78.69","15.92","1.09","2.92","0.199","2.52"
"C. Kelleher","England 1.","Brentford","GK","27","20000000","2026-06-30","13","1317","Republic of Ireland","right","188","21.32","90.06","6.9","73.27","1.37","3.55","2","61.54","16.84","1.15","-3.16","-0.216","1.16"
"David Raya","England 1.","Arsenal","GK","30","35000000","2028-06-30","13","1317","Spain","right","183","22.76","84.68","8.75","64.06","0.48","1.91","7","75","6.02","0.41","-0.98","-0.067","0.96"
"D. Petrović","England 1.","Bournemouth","GK","26","20000000","2030-06-30","13","1314","Serbia","right","194","17.88","84.29","5.14","49.33","1.58","4.45","4","64.62","21.02","1.44","-1.98","-0.136","1.85"
"B. Leno","England 1.","Fulham","GK","33","13000000","2027-06-30","13","1313","Germany","right","190","26.39","88.31","6.72","59.18","1.17","3.7","3","68.52","17.47","1.2","0.47","0.032","1.65"
"M. Dúbravka","England 1.","Burnley","GK","36","1000000","2026-06-30","13","1308","Slovakia","right","190","18.17","85.61","8.33","71.07","1.86","5.57","2","66.67","25.84","1.78","-1.16","-0.08","2.48"
"B. Verbruggen","England 1.","Brighton","GK","23","18000000","2028-06-30","13","1303","Netherlands","right","194","29.91","87.99","7.39","53.27","1.11","3.32","3","66.67","14.4","0.99","-1.6","-0.111","1.17"
"D. Henderson","England 1.","Crystal Palace","GK","28","12000000","2028-06-30","13","1303","England","right","188","18.58","81.78","8.63","64.8","0.76","2.83","6","73.17","14.21","0.98","3.21","0.222","1.59"
"G. Vicario","England 1.","Tottenham Hotspur","GK","29","35000000","2028-06-30","13","1297","Italy","right","194","28.8","89.16","7.91","64.91","1.11","3.82","4","70.91","17.07","1.18","1.07","0.074","1.11"
"J. Pickford","England 1.","Everton","GK","31","22000000","2029-06-30","13","1289","England","left","185","22.27","79.94","11.87","64.12","1.19","4.12","4","71.19","18.93","1.32","1.93","0.135","1.05"
"M. Sels","England 1.","Nottingham Forest","GK","33","7000000","2027-06-30","13","1287","Belgium","right","188","16.36","79.91","9.23","66.67","1.54","4.62","1","66.67","19.04","1.33","-2.96","-0.207","1.05"
"Robert Sánchez","England 1.","Chelsea","GK","28","20000000","2030-06-30","13","1214","Spain","right","197","29.65","78.75","11.12","50.67","0.74","2.52","6","70.59","12.97","0.96","2.97","0.22","2"
"N. Pope","England 1.","Newcastle United","GK","33","16000000","2026-06-30","12","1206","England","right","191","15.67","84.29","4.48","50","0.97","3.96","5","75.47","11.01","0.82","-1.99","-0.149","2.61"
"E. Martínez","England 1.","Aston Villa","GK","33","28000000","2029-06-30","11","1117","Argentina","right","195","27.15","88.43","7.49","64.52","0.64","2.98","4","78.38","10.68","0.86","2.68","0.216","2.09"
"G. Donnarumma","England 1.","Manchester City","GK","26","40000000","2030-06-30","10","1000","Italy","right","196","18.36","88.24","5.04","60.71","0.72","2.43","4","70.37","9.31","0.84","1.31","0.118","1.62"
"A. Aréola","England 1.","West Ham United","GK","32","10000000","2027-06-30","9","919","France","right","195","15.77","79.5","7.74","62.03","1.57","5.09","0","69.23","18.98","1.86","2.98","0.292","2.06"
"S. Johnstone","England 1.","Wolverhampton Wanderers","GK","32","10000000","2028-06-30","9","904","England","right","193","25.39","82.35","14.24","69.23","1.69","4.78","0","64.58","14.97","1.49","-2.03","-0.202","1.99"
"Lucas Perri","England 1.","Leeds United","GK","27","6000000","2028-06-30","8","810","Brazil","right","197","23.78","78.97","12.22","60.91","1.89","4.11","2","54.05","14.35","1.59","-2.65","-0.294","1"
"Alisson","England 1.","Liverpool","GK","33","28000000","2027-06-30","8","809","Brazil","right","191","28.59","89.88","6.23","66.07","1.11","2.56","3","56.52","8.28","0.92","-1.72","-0.191","1.56"
"S. Lammens","England 1.","Manchester United","GK","23","1500000","2030-06-30","7","702","Belgium","right","193","21.41","72.46","11.79","54.35","1.15","3.21","1","64","9.53","1.22","0.53","0.068","1.41"
"A. Bayındır","England 1.","Manchester United","GK","27","10000000","2027-06-30","6","609","Türkiye","right","198","20.84","83.69","10.2","66.67","1.63","3.55","0","54.17","9.95","1.47","-1.05","-0.155","1.18"
"G. Mamardashvili","England 1.","Liverpool","GK","25","45000000","","5","508","Georgia","left","197","27.28","86.36","8.68","69.39","1.77","4.61","1","61.54","8.13","1.44","-1.87","-0.331","1.24"
"J. Widell Zetterström","England 2.","Derby County","GK","27","2500000","2027-06-30","18","1799","Sweden","right","197","22.66","83.22","11.61","69.4","1.25","4.05","3","69.14","26.89","1.35","1.89","0.095","1.55"
"C. Rushworth","England 2.","Coventry City","GK","24","3000000","2027-06-30","18","1797","England","left","191","26.49","82.04","11.07","62.44","0.9","2.95","7","69.49","18.32","0.92","0.32","0.016","1.45"
"V. Johansson","England 2.","Stoke City","GK","27","2800000","","18","1797","Sweden","right","187","32.35","84.21","11.27","61.33","0.7","3.41","7","79.41","19.25","0.96","5.25","0.263","2.1"
"V. Kovačević","England 2.","Norwich City","GK","27","6000000","2029-06-30","18","1793","Bosnia and Herzegovina","right","192","24.85","88.48","6.78","64.44","1.46","4.17","1","65.06","27.92","1.4","-1.08","-0.054","1.86"
"T. Kaminski","England 2.","Charlton Athletic","GK","33","3000000","2028-06-30","18","1792","Belgium","right","190","19.08","86.05","8.19","68.71","1.16","3.31","6","65.15","21.83","1.1","-1.17","-0.059","1.1"
"L. Vigouroux","England 2.","Swansea City","GK","32","300000","2028-06-30","18","1786","England","left","194","26.51","86.12","8.92","63.84","1.36","4.08","3","66.67","23.27","1.17","-3.73","-0.188","1.41"
"I. Pandur","England 2.","Hull City","GK","25","2000000","2027-06-30","18","1785","Croatia","right","187","27.68","86.16","12.81","72.05","1.51","4.79","3","68.42","30.07","1.52","0.07","0.004","1.92"
"S. Brynn","England 2.","Middlesbrough","GK","25","275000","2028-06-30","18","1781","England","right","184","15.51","82.08","4.65","44.57","0.96","2.48","5","61.22","15.82","0.8","-3.18","-0.161","1.62"
"J. Cumming","England 2.","Oxford United","GK","26","1000000","","18","1781","England","right","185","20.21","83","10.36","69.76","1.26","3.99","2","68.35","24.35","1.23","-0.65","-0.033","2.07"
"D. Iversen","England 2.","Preston North End","GK","28","3000000","","18","1779","Denmark","right","193","25.55","80.59","11.08","58.9","0.96","3.24","5","70.31","17.5","0.89","-1.5","-0.076","1.47"
"J. Griffiths","England 2.","West Bromwich Albion","GK","24","1000000","2027-06-30","18","1774","England","right","198","22.63","83.41","9.39","61.62","1.12","3.25","4","65.63","20.72","1.05","-1.28","-0.065","1.01"
"R. Vítek","England 2.","Bristol City","GK","22","300000","2028-06-30","18","1765","Czech Republic","right","198","19.34","78.21","8.05","50.34","1.03","4.32","6","76.25","23.2","1.25","4.2","0.227","1.78"
"M. Cooper","England 2.","Sheffield United","GK","26","0","","18","1722","England","right","186","21.43","81.95","8.47","56.79","1.31","3.66","5","64.29","17.49","0.91","-7.51","-0.393","1.46"
"E. Horvath","England 2.","Sheffield Wednesday","GK","30","1800000","2026-01-02","14","1386","United States","right","193","21.88","78.93","10.13","57.05","1.82","5.26","2","65.43","27.22","1.77","-0.78","-0.051","0.97"
"A. Okonkwo","England 2.","Wrexham","GK","24","1800000","","15","1379","England","right","198","13.71","80","6.53","61","0.85","3.65","5","76.79","15.09","0.98","2.09","0.136","2.55"
"B. Tóth","England 2.","Blackburn Rovers","GK","28","700000","2027-06-30","14","1368","Hungary","right","189","22.37","82.65","9.14","62.59","1.12","3.62","4","69.09","14.95","0.98","-2.05","-0.135","1.32"
"J. Stolarczyk","England 2.","Leicester City","GK","24","400000","","14","1344","Poland","right","194","23.5","90.6","5.69","67.06","0.94","3.62","3","74.07","17.47","1.17","3.47","0.232","1.27"
"E. Selvik","England 2.","Watford","GK","28","1500000","","14","1340","Norway","left","187","22.23","84.89","7.79","56.9","1.14","4.16","1","72.58","13.45","0.9","-3.55","-0.238","1.54"
"P. Nardi","England 2.","Queens Park Rangers","GK","31","2500000","","12","1170","France","right","187","19","85.83","8.46","69.09","1.15","3","3","61.54","13.57","1.04","-1.43","-0.11","1.15"
"G. Bazunu","England 2.","Southampton","GK","23","15000000","2027-06-30","11","1092","Republic of Ireland","right","189","23.16","89.68","4.12","44","1.24","3.13","2","60.53","11.75","0.97","-3.25","-0.268","1.07"
"A. Palmer","England 2.","Ipswich Town","GK","29","1200000","2026-06-30","11","1002","England","right","191","26.41","92.52","5.39","66.67","0.99","2.69","1","63.33","8.73","0.78","-2.27","-0.204","0.9"
"J. Beadle","England 2.","Birmingham City","GK","21","0","2028-06-30","10","990","England","right","193","31.18","80.76","9.55","41.9","0.91","3.82","3","76.19","11.71","1.06","1.71","0.155","1.55"
"Max Crocombe","England 2.","Millwall","GK","32","250000","","9","900","New Zealand","right","194","17.4","71.26","9.5","51.58","1.3","4.7","3","72.34","10.94","1.09","-2.06","-0.206","1.2"
"S. Benda","England 2.","Millwall","GK","27","1000000","2026-06-30","9","899","Germany","right","192","15.82","81.65","7.61","65.79","1.2","2.8","3","57.14","9.5","0.95","-2.5","-0.25","0.9"
"J. Bursik","England 2.","Portsmouth","GK","25","800000","2027-06-30","9","886","England","left","190","33.62","77.64","17.67","59.77","1.52","4.16","2","63.41","13.49","1.37","-1.51","-0.153","1.22"
"R. Allsop","England 2.","Birmingham City","GK","33","1000000","2028-06-30","8","818","England","right","189","30.81","84.64","8.36","47.37","1.1","2.2","2","50","6.66","0.73","-3.34","-0.367","0.11"
"C. Walton","England 2.","Ipswich Town","GK","30","900000","","8","761","England","left","192","29.8","92.06","6.98","71.19","0.95","3.78","3","75","8.38","0.99","0.38","0.045","1.66"
"N. Schmid","England 2.","Portsmouth","GK","28","400000","2026-06-30","8","724","Austria","both","195","30.24","74.76","15.84","55.45","1.01","3.17","2","68.18","7.37","1.06","0.37","0.053","1.44"
"A. McCarthy","England 2.","Southampton","GK","35","500000","2026-06-30","7","698","England","right","193","18.83","80.82","7.09","49.09","1.29","3.22","1","60","8.65","1.12","-1.35","-0.174","1.42"
