"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"C. Ripley","England 4.","Swindon Town","GK","33","225000","2027-06-30","35","3518","0","0","0","0.52","England","right","191","no","1.36","0.03","100","0.54","85.71","0","2.09","0","0","0","0","0","0","0","0","0","0.1","100","0.23","88.89","0.03","0","0","34.43","80.91","23.59","73.64","17.78","65.47","0.01","0","0.03","8.47","61.63","0.64","16","0.08","13.71","83.21","1.05","3.22","67.46","0.96","-3.34","-0.085","2"
"N. Smith","England 4.","Tranmere Rovers","CB, LCB","29","450000","2027-06-30","35","3496","3","3.75","0","0.02","England","right","180","no","8.6","4.32","76.79","8.47","67.17","0.95","7.68","0.08","0.1","0.05","21","0.54","28.57","14.286","0.03","0","0.03","0","0.85","45.45","1","0.03","0","23.86","74.87","11.4","60.95","3.78","44.9","0","0","0.03","2.93","50","0.41","12.5","0.13","5.28","48.78","","","0","0","","",""
"D. Collinge","England 4.","Barnet","RCB, RB","27","0","","35","3495","1","2.65","1","2.07","England","right","186","no","7.78","5.48","79.81","6.18","58.75","0.13","5.94","0.03","0.07","0","21","0.54","9.52","4.762","0.57","50","0.64","48","2.55","32.32","1.13","1.08","0.08","39.84","81.06","18.28","69.58","6.93","51.3","0.05","0.1","0.23","7.47","61.38","1.29","40","0.54","8.65","71.73","","","0","0","","",""
"Z. Hemming","England 4.","Chesterfield","GK","25","500000","2028-06-30","35","3475","0","0","0","0.15","England","right","188","no","1.58","0.1","75","0.75","96.55","0","2.5","0","0","0","0","0","0","0","0","0","0","0","0.1","100","0","0","0","25.48","73.88","17.38","62.44","13.86","54.77","0","0","0.05","7.9","52.46","0.47","0","0.03","9.48","78.96","1.14","3.34","65.89","1.1","-1.63","-0.042","1.76"
"J. Tucker","England 4.","Colchester United","RCB","26","275000","2027-06-30","34","3434","2","1.3","1","1.18","England","right","192","no","6.6","2.7","74.76","6.47","66.4","0.5","7.04","0.05","0.03","0.03","12","0.31","33.33","16.667","0.21","25","0.05","100","0.66","36","0.81","0.31","0","47.38","78.82","22.85","64.22","11.11","51.89","0.03","0","0.1","8.36","54.86","1.07","36.59","0.42","11.58","65.16","","","0","0","","",""
"C. McJannett","England 4.","Grimsby Town","LCB","27","175000","2027-06-30","34","3417","1","1.22","0","0.07","England","left","173","no","8.24","4.82","73.22","7.43","60.99","0.42","8.39","0.03","0.03","0.03","15","0.4","20","6.667","0.37","28.57","0.68","61.54","2.42","52.17","0.58","1.42","0.03","50.54","80.41","23.39","65.2","10.25","44.22","0","0.03","0","9.96","58.2","1.16","27.27","0.21","10.88","64.16","","","0","0","","",""
"J. Eastwood","England 4.","Cambridge United","GK","29","100000","2026-06-30","34","3415","0","0","0","0","England","right","193","no","1.95","0","0","0.42","93.75","0","2.94","0","0","0","0","0","0","0","0","0","0","0","0.26","90","0","0","0.03","18.32","73.67","11.73","60.45","9.67","54.5","0","0","0","5.77","45.66","0.71","0","0","6.35","80.5","0.71","2.69","73.53","0.83","4.55","0.12","1.66"
"L. Billington","England 4.","Crewe Alexandra","RB, LCB","22","0","2026-06-30","35","3406","0","1.12","2","1.69","England","right","185","no","8.11","5.73","60.37","5.05","53.93","0.29","6.46","0","0.03","0","17","0.45","29.41","0","2.11","36.25","0.66","44","1.88","43.66","0.58","1.03","0.05","40.56","71.73","20.4","59.59","9.06","40.52","0.04","0","0.24","8.48","52.34","2.99","43.36","0.55","10.94","62.08","","","0","0","","",""
"A. Flint","England 4.","Walsall","CB","36","100000","2026-06-30","34","3405","1","3.28","3","1.15","England","right","197","no","7.43","2.33","75","7.32","63.18","0.5","7.19","0.03","0.09","0.03","23","0.61","21.74","4.348","0.16","66.67","0.08","66.67","0.5","47.37","1.43","0.11","0","23.89","71.13","13.59","59.34","6.79","52.92","0.03","0","0.13","5.21","52.28","0.77","27.59","0.34","7.59","63.76","","","0","0","","",""
"J. Lynch","England 4.","Fleetwood Town","GK","32","225000","2027-06-30","34","3399","0","0","0","0.22","England","right","188","no","2.17","0.11","25","0.13","80","0","3.18","0","0","0","0","0","0","0","0","0","0","0","0.45","88.24","0","0","0","20.57","80.69","14.59","73.87","11.68","68.03","0.01","0","0.03","5.51","65.38","0.29","18.18","0.05","8.98","86.14","1.11","3.28","66.13","1.01","-3.79","-0.1","1.03"
"J. Bedeau","England 4.","Notts County","LCB","26","325000","2027-06-30","34","3386","0","0.4","1","2.02","England","left","182","no","7.7","4.96","67.96","5.97","55.96","0.38","6.51","0","0.01","0","4","0.11","25","0","0.9","42.42","0.3","63.64","1.51","41.82","0.49","0.79","0.11","50.07","80.85","24.62","70.3","6.57","32.92","0.06","0","0.14","7.5","58.76","1.45","41.51","0.36","9.53","64.66","","","0","0","","",""
"H. Rodgers","England 4.","Grimsby Town","RB","29","250000","2026-06-30","34","3370","2","1.51","1","2.69","England","right","189","no","6.65","3.55","65.41","5.72","67.76","0.29","7.23","0.05","0.04","0","26","0.69","15.38","7.692","2.11","27.85","0.75","71.43","2.62","39.8","1.34","0.83","0.05","33.06","67.61","17.71","59.88","3.98","45.64","0.07","0.08","0.29","6.09","57.89","2.67","48","0.75","8.36","63.26","","","0","0","","",""
"R. Glover","England 4.","Barnet","AMF, LW, RAMF","25","0","","35","3365","4","6.58","1","7","England","right","0","no","5.62","3.13","60.68","7.3","46.15","0.05","6.27","0.11","0.18","0","53","1.42","32.08","7.547","5.43","30.05","6.45","61.83","11.53","46.17","3.9","2.65","0.24","34.53","69.56","9.44","58.07","2.19","34.15","0.19","0.08","0.72","3.29","49.59","4.57","49.71","1.15","5.38","74.13","","","0","0","","",""
"K. Watts","England 4.","Cambridge United","LCB","26","250000","2027-06-30","34","3334","5","3.29","0","1.25","England","left","192","no","6.24","3.4","73.02","7.86","57.39","0.38","5.63","0.13","0.09","0.13","20","0.54","40","25","0.3","63.64","0.22","87.5","1.27","53.19","0.97","0.59","0.05","40.44","77.3","20.92","64.52","9.85","53.97","0.03","0.03","0.11","8.4","53.7","0.76","35.71","0.22","10.07","67.83","","","0","0","","",""
"A. Senior","England 4.","Barnet","LB, RB, LCB","24","0","","35","3324","7","8.47","2","0.67","England","right","183","no","7.99","5.47","66.83","4.9","61.33","0.54","7.17","0.19","0.23","0.11","59","1.6","38.98","11.864","1.44","32.08","1.54","43.86","3.68","41.18","2.27","1.52","0.3","30.41","76.14","13.75","65.35","5.14","44.74","0.02","0","0.11","6.15","56.39","1.62","43.33","0.3","7.07","70.11","","","0","0","","",""
"J. Flint","England 4.","Crawley Town","LCB","25","450000","2026-06-30","33","3298","1","4.07","1","2.68","England","left","178","no","8.54","5.35","68.88","7.56","54.15","0.3","8.47","0.03","0.11","0.03","35","0.96","40","2.857","0.98","38.89","2.02","58.11","4.72","50.87","1.36","2.81","0.52","46.36","81.05","22.57","71.7","6.69","44.08","0.07","0.05","0.16","7.86","57.64","1.53","42.86","0.52","9.8","69.64","","","0","0","","",""
"M. Pinnock","England 4.","Bromley","LW, LWB, LAMF","31","300000","","34","3294","1","2.31","9","13.58","England","left","178","no","5.03","3.42","62.4","2.6","30.53","0.08","3.89","0.03","0.06","0","49","1.34","24.49","2.041","5.46","41.5","2.7","46.46","5.87","33.95","1.53","0.82","0.27","25.82","60","8.99","44.38","5.05","38.38","0.37","0.03","0.93","4.7","42.44","5.16","52.38","0.74","7.05","70.93","","","0","0","","",""
"J. Day","England 4.","Cheltenham Town","GK","35","100000","2027-06-30","33","3264","0","0","0","0","England","left","190","no","1.54","0.08","66.67","0.69","96","0","2.06","0","0","0","0","0","0","0","0","0","0","0","0.06","100","0","0","0","19.14","79.11","11.72","67.06","9.98","62.43","0","0","0","4.36","57.59","0.33","0","0","7.47","78.6","1.52","4.83","68.57","1.44","-2.84","-0.078","1.79"
"W. Boyle","England 4.","Shrewsbury Town","LCB, CB","30","250000","2027-06-30","34","3259","3","3.84","1","0.96","England","left","191","no","9.33","4.72","70.76","8.92","62.54","0.5","7.76","0.08","0.11","0.06","28","0.77","42.86","10.714","0.3","27.27","0.14","20","0.61","31.82","1.24","0.22","0","28.44","70.87","16.4","61.28","5.94","46.51","0.03","0.06","0.17","4.83","51.43","0.88","21.88","0.36","7.73","57.86","","","0","0","","",""
"M. Macey","England 4.","Colchester United","GK","31","250000","2026-06-30","33","3256","0","0","0","0","England","right","201","no","1.52","0","0","0.44","75","0","2.37","0","0","0","0","0","0","0","0","0","0","0","0.19","100","0","0","0","19.02","83.87","10.25","71.97","7.02","59.06","0","0","0","2.43","51.14","0.28","10","0.03","5.36","74.23","1.02","3.07","66.67","0.92","-3.54","-0.098","2.13"
"L. Offord","England 4.","Milton Keynes Dons","LCB, RCB","26","275000","","33","3251","2","2.53","1","0.42","England","right","182","no","9.22","5.79","71.77","5.7","54.37","0.36","7.2","0.06","0.07","0.03","15","0.42","33.33","13.333","0.53","36.84","0.25","88.89","1.66","41.67","0.72","0.75","0.06","37.4","72.02","20.82","60.64","10.6","45.95","0.01","0","0.08","8.5","52.12","1.08","41.03","0.36","10.46","61.9","","","0","0","","",""
"C. MacGillivray","England 4.","Milton Keynes Dons","GK","33","225000","2026-06-30","33","3249","0","0","0","0","Scotland","right","188","no","1.52","0.03","100","0.55","90","0","2.21","0","0","0","0","0","0","0","0","0","0","0","0.11","75","0","0","0","19.34","79.08","13.32","70.06","10.69","63.21","0","0","0","4.82","58.05","0.19","0","0","7.48","84.81","0.83","2.99","72.22","0.76","-2.56","-0.071","1.86"
