"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"R. Wallinder","Sweden 1.","Öster","GK","26","300000","2025-12-31","26","2577","0","0","Sweden","right","189","2.06","0.07","50","0.49","71.43","0","2.32","0","0","0","0","0","0","0","0","0","0","0","0.07","100","0","0","0","23.08","86.99","13.38","79.11","10.13","73.1","0","0","0","0","0","1.71","73.47","0.07","50","0.03","8.77","78.49"
"M. Fenger","Sweden 1.","IFK Göteborg","CF","24","900000","2027-12-31","26","2571","12","2","Denmark","right","182","4.24","3.78","59.26","6.02","40.12","0.25","2.5","2.1","0.32","0.42","0.14","2.1","51.67","20","0.6","23.53","2.07","42.37","10.29","31.29","3.5","1.02","0.21","14.63","77.99","3.47","66.67","0.21","66.67","0.06","0.04","0","0","0.14","1.4","72.5","0.6","47.06","0.63","1.75","56"
"N. Törnqvist","Sweden 1.","Mjällby","GK","23","1200000","","26","2558","0","0","Sweden","left","195","1.65","0.07","100","0.46","100","0","2.18","0","0","0","0","0","0","0","0","0","0","0","0.07","50","0","0","0","26.6","90.61","12.46","83.05","7.04","69","0","0","0","0","0","0.99","46.43","0.14","0","0","5.21","70.95"
"W. Hahn","Sweden 1.","Hammarby","GK","33","350000","2027-12-31","26","2556","0","0","Netherlands","right","190","1.94","0.04","100","0.32","88.89","0","3.01","0","0","0","0","0","0","0","0","0","0","0","0.04","100","0","0.04","0","16.73","81.89","10.25","71.48","5.88","55.09","0","0","0","0","0","3.03","48.84","0.18","0","0.04","4.33","73.17"
"D. Andersson","Sweden 1.","IFK Norrköping","GK","22","0","","26","2541","0","1","Sweden","right","188","1.42","0.07","50","0.81","82.61","0","1.77","0.04","0","0","0","0","0","0","0","0","0.04","100","0.25","85.71","0","0","0","20.01","80.88","11.69","70.61","7.51","55.66","0.02","0","0","0","0.04","1.84","42.31","0.18","0","0","5.74","60.49"
"E. Hovland","Sweden 1.","Brommapojkarna","LCB, RCB, CB","36","350000","","26","2539","0","1","Norway","right","191","6.84","2.69","65.79","1.99","62.5","1.1","5.54","0.32","0","0.06","0","0.43","25","0","0.18","60","0.11","100","0.67","52.63","0.71","0.57","0","41.3","87.04","14.96","77.01","7.62","59.07","0.01","0","0","0","0.04","6.13","64.16","0.57","50","0.14","7.23","65.69"
"L. Walta","Sweden 1.","Sirius","AMF, RCMF","22","1000000","2028-06-30","26","2532","13","2","Finland","right","170","6.61","5.72","65.22","0.78","18.18","0.07","3.55","3.52","0.28","0.25","0","2.35","37.88","19.697","2.99","40.48","2.13","65","7.36","50.24","1.14","1.85","0.36","47.17","81.99","14.5","68.63","7.22","63.55","0.25","0.04","0.18","20","0.5","8.28","75.11","4.73","50.38","1.35","8.57","82.16"
"M. Watson","Sweden 1.","IFK Norrköping","RCB, LCB","29","700000","","26","2523","2","0","Sweden","right","184","8.45","4.21","63.56","4.78","61.19","0.78","7.29","0.18","0.07","0.04","0","0.21","33.33","33.333","0.07","50","0.11","66.67","0.68","26.32","0.43","0.36","0","41.56","87.64","17.05","76.57","4.32","48.76","0.02","0","0","0","0.07","4.1","66.96","0.32","33.33","0.18","5.92","60.84"
"G. Lundgren","Sweden 1.","GAIS","RWF, RCMF, CF","30","0","","26","2509","2","5","Sweden","left","190","6.35","5.49","68.63","1.51","21.43","0.14","3.31","4.84","0.07","0.2","0","1.87","26.92","3.846","3.52","28.57","5.67","54.43","17.18","40.29","3.16","3.19","0.47","39.42","73.79","11.01","64.82","3.87","62.04","0.26","0.14","0.5","50","0.97","4.77","64.66","5.2","49.66","2.44","8.29","82.25"
"Villiam Granath","Sweden 1.","Halmstad","RB, RWB, RW","27","275000","2025-12-31","26","2493","3","3","Sweden","right","189","10.36","9.46","58.02","6.43","43.26","0.32","5.06","2.6","0.11","0.11","0.04","0.94","30.77","11.538","1.73","39.58","2.89","55","8.38","34.05","2.27","1.41","0.11","28.05","75.03","8.34","64.07","1.73","45.83","0.12","0","0.04","100","0.47","3.14","58.62","2.24","61.29","1.01","5.05","67.14"
