"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"G. Selmani","Albania 1.","Teuta Durrës","GK","27","225000","","25","2504","0","0","0","0","Albania","right","186","no","1.73","0.07","100","0.47","84.62","0","2.59","0","0","0","0","0","0","0","0","0","0","0","0.18","80","0","0","0","20.56","88.29","9.7","76.67","7.15","68.84","0","0","0","1.15","50","0.11","33.33","0","5.39","73.33","0.72","2.19","67.21","0.58","-3.97","-0.143","1.51"
"I. Aleksovski","Albania 1.","Flamurtari Vlorë","GK","31","300000","","25","2490","0","0","0","0","North Macedonia","left","186","no","1.52","0.04","0","0.33","100","0","2.36","0","0","0","0","0","0","0","0","0","0.04","0","0.22","83.33","0","0","0","16.88","86.3","8.67","76.67","5.71","65.19","0","0","0","0.94","42.31","0.07","0","0","4.34","73.33","1.16","4.19","72.41","1.24","2.28","0.082","1.12"
"M. Dajsinani","Albania 1.","Egnatia Rrogozhinë","GK","27","275000","2028-06-30","25","2474","0","0","0","0.43","Albania","right","193","no","1.05","0.07","50","0.62","100","0","1.7","0","0","0","0","0","0","0","0","0","0.04","0","0.07","0","0","0","0","31.36","89.91","15.68","82.13","9.2","67.59","0.02","0","0.04","1.49","43.9","0","0","0.04","6.04","72.29","0.65","2.62","75","0.76","3.01","0.109","1.46"
"A. Teqja","Albania 1.","Dinamo City","GK","30","100000","","25","2461","0","0","0","0","Albania","right","196","no","1.43","0.11","100","0.37","100","0","2.16","0","0","0","0","0","0","0","0","0","0.07","0","0.26","57.14","0","0","0","16.09","92.27","6.66","83.52","4.32","73.73","0","0","0","0.55","60","0","0","0","2.82","68.83","0.69","2.82","75.32","1.01","8.54","0.312","1.46"
"A. Marku","Albania 1.","Bylis Ballsh","RCB","21","0","","25","2450","2","1.18","0","0.51","Albania","unknown","0","no","10.03","4.96","74.81","4","55.05","0.51","7.68","0.07","0.04","0.04","9","0.33","33.33","22.222","0.26","28.57","0.66","72.22","2.28","61.29","0.7","0.73","0.04","35.82","77.95","20.68","69.98","10.58","61.11","0.02","0","0.07","7.42","62.87","0.77","28.57","0.33","11.17","71.71","","","0","0","","",""
"X. Maçolli","Albania 1.","Teuta Durrës","RCMF, LCMF, RDMF","24","150000","","25","2417","3","2.8","1","1.3","Albania","right","0","no","8.04","6.44","61.27","1.56","30.95","0.07","4.89","0.04","0.1","0","25","0.93","32","12","0.37","30","1.04","57.14","5.14","48.55","0.34","1.01","0.15","42.19","85.35","14.48","71.98","4.99","48.51","0.05","0.07","0.15","7.22","69.59","1.19","40.63","0.52","6.67","72.63","","","0","0","","",""
"F. Përgjoni","Albania 1.","Teuta Durrës","LB","28","300000","","24","2387","0","0.67","0","0.96","Albania","left","185","no","8.48","6.79","62.78","3.54","75.53","0.15","5.4","0","0.03","0","10","0.38","20","0","1.7","22.22","0.75","70","4.03","53.27","0.6","1.28","0.15","35.25","78.72","16.18","74.13","4.45","47.46","0.04","0.04","0.11","5.17","62.04","2.04","37.04","0.41","7.73","70.24","","","0","0","","",""
"B. Balaj","Albania 1.","Vllaznia Shkodër","CF","35","200000","2027-06-30","24","2380","12","10.26","1","0.92","Albania","right","188","no","2.65","2.53","47.76","9.57","47.83","0","2.21","0.19","0.39","0.04","45","1.7","46.67","26.667","0.19","40","0.53","28.57","4.54","37.5","2.23","0.23","0.11","14.18","73.87","3.14","59.04","0.3","37.5","0.03","0","0.23","1.29","55.88","0.87","39.13","0.45","1.29","64.71","","","0","0","","",""
"L. Trashi","Albania 1.","Flamurtari Vlorë","LWB, LB","33","175000","","25","2352","1","0.91","5","5.12","Albania","left","176","no","6.62","5.05","57.58","2.26","44.07","0.11","4.71","0.04","0.04","0","22","0.84","36.36","4.545","5.32","36.69","4.02","68.57","8.92","51.93","0.69","1.8","0.11","33.44","68.31","12.78","63.47","6.12","49.38","0.2","0.04","0.54","6.01","57.96","5.17","45.19","0.57","9.03","81.78","","","0","0","","",""
"M. Janáček","Albania 1.","AF Elbasani","GK","25","250000","2026-06-30","24","2320","0","0","0","0","Czech Republic","left","197","no","1.13","0.08","100","0.35","88.89","0","1.63","0","0","0","0","0","0","0","0","0","0","0","0.19","100","0","0","0","14.78","85.83","6.98","73.89","5.08","62.6","0","0","0","0.74","68.42","0.04","0","0","4.07","69.52","0.66","2.91","77.33","0.9","6.1","0.237","1.05"
