"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"João Ricardo","Brazil 1.","Fortaleza","GK","37","350000","2027-12-31","38","3852","0","0","0","0","Brazil","right","186","0.96","0.02","100","0.35","100","0","1.11","0","0","0","0","0","0","0","0","0","0","0","0.09","100","0","0","0.02","12.85","80.73","8.57","73.3","6.45","63.41","0","0","0","1.75","50.67","0.02","0","0","4.81","79.13","0.91","4.72","80.69","1.22","13.04","0.305","1.92"
"Léo Jardim","Brazil 1.","Vasco da Gama","GK","30","5500000","2030-12-31","38","3840","0","0","0","0","Brazil","right","188","1.08","0.05","100","0.35","86.67","0","1.37","0","0","0","0","0","0","0","0","0","0","0","0.02","0","0","0","0.02","15.09","84.16","8.93","75.59","6.3","65.43","0","0","0","1.52","56.92","0.09","0","0","4.85","76.81","1.31","4.73","72.28","1.29","-1.11","-0.026","1.43"
"Lucas Arcanjo","Brazil 1.","Vitória","GK","27","1000000","2028-12-31","37","3768","0","0","0","0","Brazil","right","189","0.84","0.1","50","0.6","96","0","0.91","0","0","0","0","0","0","0","0","0","0","0","0.02","100","0","0","0.02","18.15","84.87","9.27","72.68","6.71","60.85","0","0","0","2.03","47.06","0.14","0","0","4.37","77.6","1.24","4.11","69.77","1.15","-3.84","-0.092","1.41"
"Fábio","Brazil 1.","Fluminense","GK","45","200000","2026-12-31","37","3767","0","0","0","0","Brazil","right","190","1.36","0.1","75","0.41","100","0","1.86","0","0","0","0","0","0","0","0","0","0","0","0.02","0","0","0","0","13.93","87.65","7.79","80.98","4.99","72.25","0","0","0","0.53","59.09","0.02","0","0","4.09","70.76","0.88","3.92","77.44","1.06","7.52","0.18","1.53"
"Weverton","Brazil 1.","Palmeiras","GK","38","2000000","2026-12-31","37","3752","0","0","1","0.28","Brazil","right","189","1.22","0.1","50","0.26","100","0","1.78","0","0","0","0","0","0","0","0","0","0","0","0.17","85.71","0","0","0","19.02","83.61","10.94","72.37","7.82","61.96","0.01","0.02","0.02","3.36","56.43","0.22","33.33","0.05","5.61","79.49","0.74","3.57","79.19","0.87","5.08","0.122","1.32"
"Walter","Brazil 1.","Cuiabá","GK","38","250000","2026-12-31","36","3653","0","0","0","0","Brazil","right","188","0.91","0.05","50","0.39","100","0","1.03","0","0","0","0","0","0","0","0","0","0.05","50","0.07","66.67","0","0","0","15.52","89.21","7.76","80.63","5.3","73.49","0","0","0","1.5","55.74","0","0","0","3.84","78.85","1.16","4.56","74.59","1.32","6.62","0.163","1.36"
"Marcelo Hermes","Brazil 1.","Criciúma","LB, LCMF","30","450000","2026-12-31","36","3593","2","2.3","5","3.53","Brazil","left","177","8.52","5.99","64.44","2.5","44","0.18","4.98","0.05","0.06","0","31","0.78","32.26","6.452","2.5","28","0.83","63.64","2.38","49.47","0.95","1.15","0.2","29.51","72.67","13.75","65.94","5.29","45.97","0.09","0.1","0.25","4.41","64.2","2.4","41.67","0.45","8.04","68.85","","","0","0","","",""
"Wagner Leonardo","Brazil 1.","Vitória","LCB","26","1500000","2028-12-31","36","3579","5","4.11","0","0.13","Brazil","left","186","7.22","2.87","69.3","4.43","57.95","0.7","5.89","0.1","0.1","0.1","20","0.5","55","25","0.13","40","0.4","62.5","1.18","44.68","0.55","0.93","0.13","39.25","88.34","16.02","78.02","6.41","60","0","0","0.03","4.55","71.82","0.25","40","0.08","7.75","72.4","","","0","0","","",""
"Agustín Rossi","Brazil 1.","Flamengo","GK","30","7000000","2027-12-31","35","3537","0","0","0","0","Argentina","right","193","1.09","0.03","0","0.41","100","0.03","1.65","0","0","0","0","0","0","0","0","0","0.05","50","0.13","40","0","0","0","23.84","87.51","12.49","78","8.04","67.09","0","0","0","1.63","51.56","0.1","25","0","5.73","71.56","0.99","3.03","67.23","0.78","-8.5","-0.216","1.48"
"Gabriel Xavier","Brazil 1.","Bahia","RCB","24","2500000","2029-12-31","35","3514","0","1.96","0","0.07","Brazil","right","190","9.19","4.43","68.79","5.66","69.68","0.64","7.98","0","0.05","0","16","0.41","43.75","0","0.1","50","0.2","75","0.74","48.28","0.49","0.72","0","54.32","91.56","20.95","83.37","5.12","59.5","0","0","0.03","4.92","81.25","0.44","47.06","0.18","7.61","65.99","","","0","0","","",""
