"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"N. Olij","Netherlands 1.","Sparta Rotterdam","GK","30","4000000","2029-06-30","34","3396","0","0","1","0.61","Netherlands","right","185","no","1.25","0.05","0","0.64","95.83","0","1.48","0","0","0","0","0","0","0","0","0","0","0","0.05","100","0","0","0","32.04","88.83","16.88","80.85","11.87","72.1","0.02","0","0.05","3.79","59.44","0.34","15.38","0.08","9.7","83.88","1.14","4.19","72.78","1.18","1.61","0.043","1.83"
"F. de Keijzer","Netherlands 1.","Heracles","GK","25","500000","2027-06-30","34","3353","0","0","0","0.53","Netherlands","right","193","no","1.07","0.16","33.33","0.32","91.67","0","1.22","0","0","0","0","0","0","0","0","0","0","0","0.05","50","0","0","0","23.7","80.41","15.57","72.24","12.8","65.62","0.01","0","0.03","4.7","60.57","0.21","25","0.05","10.01","77.75","1.69","5.15","67.19","1.53","-5.99","-0.161","0.94"
"T. Didillon-Hödl","Netherlands 1.","Willem II","GK","30","500000","2026-06-30","34","3353","0","0","0","0","France","left","193","no","1.07","0.08","33.33","0.38","100","0","1.13","0","0","0","0","0","0","0","0","0","0","0","0.03","100","0","0","0","20.43","82.26","12.96","73.29","10.25","68.32","0","0","0","1.99","55.41","0.03","0","0","8.88","73.11","1.5","5.07","70.37","1.64","4.98","0.134","1.37"
"N. Bakker","Netherlands 1.","Almere City","GK","28","800000","2027-06-30","34","3306","0","0.15","0","0","Netherlands","right","196","no","2.56","0.08","66.67","0.38","85.71","0","2.77","0","0","0","1","0.03","0","0","0","0","0","0","0.03","0","0.03","0","0","22.24","75.64","16.8","68.4","14.43","64.72","0","0","0","6.32","57.33","0.41","26.67","0.05","10.92","82.04","1.74","5.12","65.96","1.36","-13.96","-0.38","2.26"
"R. Roefs","Netherlands 1.","NEC","GK","23","600000","2030-06-30","33","3277","0","0","0","0","Netherlands","left","192","no","1.9","0.08","33.33","0.36","92.31","0","2.27","0","0","0","0","0","0","0","0","0","0","0","0.16","83.33","0","0.03","0","26.48","82.68","16.37","73.83","11.53","62.86","0","0","0","3.49","52.76","0.36","15.38","0.05","8.6","75.08","1.24","4.56","72.89","1.19","-1.74","-0.048","1.62"
"W. Benítez","Netherlands 1.","PSV","GK","33","13000000","","34","3242","0","0","0","0","Argentina","right","191","no","1.22","0.03","0","0.14","100","0","2.16","0","0","0","0","0","0","0","0","0","0","0","0.08","66.67","0","0","0","29.26","92.79","14.66","86.93","7.08","74.51","0","0","0","1.17","64.29","0.14","20","0.03","5.75","76.81","1.08","2.89","62.5","0.95","-4.66","-0.129","0.69"
"D. Bielica","Netherlands 1.","NAC Breda","GK","26","800000","2027-06-30","32","3147","0","0","0","0","Poland","right","191","no","1.14","0.06","0","0.29","100","0","1.28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.68","87.55","9.44","75.76","7.64","69.29","0","0","0","1.49","46.15","0.03","0","0","5.06","76.27","1.49","4.98","70.11","1.62","4.74","0.136","1.12"
"E. Vaessen","Netherlands 1.","Groningen","GK","30","1500000","2027-06-30","32","3130","0","0","0","0","Netherlands","right","187","no","2.07","0.23","75","0.49","82.35","0","2.2","0","0","0","0","0","0","0","0","0","0.12","50","0.32","54.55","0","0","0.03","26.34","78.38","18.95","71.93","13.86","63.9","0","0","0","4.51","57.32","0.26","22.22","0.06","11.21","75.13","1.44","4.11","65.03","1.36","-2.57","-0.074","1.52"
"V. Barkas","Netherlands 1.","Utrecht","GK","31","3000000","2028-06-30","31","3051","0","0","0","0","Netherlands","left","195","no","1.18","0.09","100","0.38","100","0","1.29","0","0","0","0","0","0","0","0","0","0.03","100","0.09","66.67","0","0","0","22.57","86.27","11.15","73.81","8.32","65.25","0","0","0","1.8","45.9","0.06","0","0","6.43","74.31","1.3","4.22","69.23","1.23","-2.3","-0.068","1.15"
"R. Owusu-Oduro","Netherlands 1.","AZ","GK","21","0","2030-06-30","30","2943","0","0","0","0","Netherlands","right","189","no","1.53","0.03","100","0.37","100","0","1.86","0","0","0","0","0","0","0","0","0","0.03","100","0.09","33.33","0","0","0","20.03","83.05","10.4","68.53","8.41","61.45","0","0","0","2.54","50.6","0.21","0","0","6.18","74.26","1.13","2.78","59.34","1.02","-3.48","-0.106","1.28"
"J. Schendelaar","Netherlands 1.","PEC Zwolle","GK","25","1300000","2027-06-30","30","2937","0","0","2","0","Netherlands","right","187","no","2.11","0.06","100","0.58","78.95","0","2.5","0","0","0","0","0","0","0","0","0","0.03","100","0.15","100","0","0","0","26.51","78.73","15.47","67.33","11.64","56.32","0","0","0.06","2.57","41.67","0.21","0","0","8.89","62.76","1.38","4.54","69.59","1.34","-1.33","-0.041","1.35"
"L. Unnerstall","Netherlands 1.","Twente","GK","35","3500000","2027-06-30","30","2931","0","0","0","0","Germany","right","198","no","1.23","0.03","100","0.28","88.89","0","1.57","0","0","0","0","0","0","0","0","0","0.03","100","0.06","100","0","0","0","22.94","87.28","12.77","79.33","7.95","67.57","0","0","0","1.72","53.57","0.06","0","0","6.76","74.55","1.17","3.13","62.75","0.96","-6.79","-0.208","1.04"
"T. Wellenreuther","Netherlands 1.","Feyenoord","GK","30","7000000","2027-06-30","29","2847","0","0","1","0","Germany","right","188","no","1.74","0.03","0","0.28","88.89","0","2.48","0","0","0","0","0","0","0","0","0","0","0","0.25","75","0","0","0","32.66","87.12","14.95","74.21","9.64","60.66","0","0","0.03","2.09","50","0.19","0","0","7.24","70.74","0.89","3.13","71.72","0.97","2.56","0.081","0.98"
"M. Branderhorst","Netherlands 1.","Fortuna Sittard","GK","32","600000","2029-06-30","28","2726","0","0","0","0","Netherlands","right","192","no","1.88","0.07","100","0.63","100","0","2.15","0","0","0","0","0","0","0","0","0","0","0","0.07","100","0","0","0","15.85","70.42","12.05","61.92","9.51","53.82","0","0","0","3.86","41.03","0.43","7.69","0.03","6.7","75.37","1.29","4.46","71.11","1.34","1.67","0.055","2.18"
"R. Pasveer","Netherlands 1.","Ajax","GK","42","150000","2026-06-30","24","2345","0","0","0","0","Netherlands","right","187","no","0.96","0.04","0","0.31","75","0","1.28","0","0","0","0","0","0","0","0","0","0.04","100","0.15","50","0","0.04","0","32.7","87.79","19.15","80.16","11.51","69.33","0","0","0","2.61","63.24","0.08","50","0.04","9.44","77.64","0.88","3.49","74.73","0.85","-0.79","-0.03","1.11"
"J. Houwen","Netherlands 1.","RKC Waalwijk","GK","30","250000","","24","2331","0","0","0","0","Netherlands","right","188","no","1.51","0.04","100","0.31","75","0","1.52","0","0","0","0","0","0","0","0","0","0","0","0.04","0","0","0","0","24.25","80.89","15.37","70.6","12.36","64.38","0","0","0","3.51","54.95","0.15","0","0","10.12","74.43","1.85","5.44","65.96","1.74","-2.94","-0.114","0.93"
"M. van der Hart","Netherlands 1.","Heerenveen","GK","31","500000","","20","1943","0","0","0","0","Netherlands","left","188","no","1.95","0.05","0","0.05","100","0","2.7","0","0","0","0","0","0","0","0","0","0","0","0.05","100","0","0","0","35.11","86.02","19.08","77.91","11.58","64","0","0","0","3.01","41.54","0.51","18.18","0.05","9.45","72.06","1.71","4.96","65.42","1.62","-2.02","-0.094","0.46"
"L. Plogmann","Netherlands 1.","Go Ahead Eagles","GK","25","500000","2026-06-30","18","1772","0","0","0","0","Germany","left","188","no","0.81","0","0","0.61","91.67","0","1.02","0","0","0","0","0","0","0","0","0","0","0","0.05","100","0","0","0","28.85","88.2","15.64","80.19","8.69","66.67","0","0","0","2.64","55.77","0","0","0","7.06","73.38","1.63","4.47","63.64","1.42","-3.98","-0.202","1.47"
"J. De Busser","Netherlands 1.","Go Ahead Eagles","GK","26","500000","2027-06-30","16","1565","0","0","0","0","Belgium","right","190","no","1.38","0.12","100","0.46","100","0","1.63","0","0","0","0","0","0","0","0","0","0","0","0.06","100","0","0","0","33.24","83.39","17.65","70.36","10.29","51.96","0","0","0","2.01","48.57","0.23","0","0.06","8.17","54.23","1.32","5.29","75","1.32","-0.02","-0.001","1.32"
"A. Noppert","Netherlands 1.","Heerenveen","GK","31","1500000","2027-06-30","16","1461","0","0","0","0","Netherlands","left","203","no","1.85","0.12","50","0.31","80","0","2.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.26","84.84","15.4","75.6","10.6","62.79","0","0","0","1.91","41.94","0.06","0","0","8.38","72.06","1.48","4.07","63.64","1.19","-4.75","-0.293","1.36"
