"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"I. Gudiño","Panama 1.","Tauro","RCMF, RDMF","25","150000","2026-06-30","31","3005","0","1.32","1","2.53","Panama","right","182","yes","7.42","5.8","67.58","2.64","57.83","0.13","5.17","0","0.04","0","31","0.99","25.81","0","0.41","38.46","0.92","58.62","4.43","36.69","0.89","1.21","0","37.75","77.38","16.22","67.78","5.32","55.69","0.08","0.19","0.19","8.38","65.4","1.15","58.33","0.7","7.87","74.9","","","0","0","","",""
"J. Gargonia","Panama 1.","Potros del Este","LCB","23","0","2026-06-30","29","2725","0","0.31","0","0.29","Panama","unknown","0","yes","10.12","8.31","69.79","4.42","53.6","0.64","5.57","0","0.01","0","4","0.14","25","0","0.67","52.63","0.88","68","2.41","58.82","0.14","1.03","0.11","29.93","75.77","16.34","66.45","6.72","48.95","0.01","0.04","0.04","5.94","58.33","0.99","53.57","0.32","8.74","68.83","","","0","0","","",""
"K. Melgar","Panama 1.","Alianza","GK","33","125000","2026-12-31","27","2657","0","0","0","0","Panama","left","182","no","1.16","0.15","75","0.8","90.91","0","1.5","0","0","0","0","0","0","0","0","0","0.04","0","0.11","66.67","0","0","0","10.57","75.26","6.54","64.44","5.12","56.03","0","0","0","1.85","45.1","0.04","0","0","3.67","69.31","0.87","3.42","74.47","0.87","0","0","1.85"
"Víctor Simmons","Panama 1.","Potros del Este","RWB, RB","24","0","2026-06-30","30","2603","2","0.99","4","5.21","Panama","","168","no","6.46","6.2","62.94","2.26","25.81","0.04","3.34","0.07","0.04","0.07","13","0.47","30.77","15.385","7.04","36.27","0.73","45","3.1","31.76","0.84","1.46","0.29","33.38","69.18","9.05","58.47","4.74","51.54","0.19","0","0.47","4.09","64.29","5.98","46.34","0.73","8.57","78.3","","","0","0","","",""
"K. Phillips","Panama 1.","Potros del Este","RCB","22","0","","26","2502","0","1.04","0","0.28","Panama","","0","no","7.46","5.5","63.64","4.08","61.32","0.46","4.94","0","0.04","0","11","0.42","27.27","0","0.23","83.33","0.12","0","0.69","22.22","0.38","0.73","0","30.55","76.95","16.01","67.79","6.31","48.17","0.01","0.04","0.08","5.43","67.38","0.77","50","0.19","8.77","68.42","","","0","0","","",""
"E. Góndola","Panama 1.","San Francisco","RCB, LCB","32","100000","2026-12-31","26","2483","4","1.23","0","0.06","Panama","right","182","no","8.01","5.39","71.23","4.21","59.65","0.55","6.52","0.15","0.05","0.15","8","0.3","50","50","0","0","0.07","100","0.96","50","0.59","0.33","0","35.98","85.44","15.65","76.18","6.38","65.32","0","0","0","3.28","64.04","0.18","20","0.07","7.56","65.37","","","0","0","","",""
"R. Rodríguez","Panama 1.","Tauro","RB, RCB","27","125000","","26","2477","0","0.44","3","1.52","Panama","right","180","no","9.8","8.38","65.42","2.78","57.75","0.16","5.77","0","0.02","0","6","0.24","0","0","1.21","38.71","0.71","50","3.21","43.9","0.51","0.55","0.16","30.99","78.63","13.95","72.19","4.47","55.26","0.06","0.04","0.16","4.23","67.59","1.21","29.03","0.27","8.62","66.82","","","0","0","","",""
"A. Caicedo","Panama 1.","Herrera","CF, RAMF","26","125000","","28","2470","6","4.12","4","5.48","Panama","right","169","no","4.26","4.03","61.9","2.23","13.79","0.04","1.89","0.12","0.16","0","38","1.46","36.84","15.789","1.11","24.14","3.3","51.16","12.33","39.56","1.23","1.61","0.15","23.32","69.69","7.53","55.61","2.96","46.75","0.21","0.31","0.38","4.8","53.6","2.46","50","1.08","3.73","78.35","","","0","0","","",""
"G. Torres","Panama 1.","Sporting San Miguelito","CF","37","100000","2026-12-31","29","2462","10","9.16","3","3.75","Panama","right","180","no","2.83","3.06","49.37","3.14","38.27","0","1.84","0.19","0.35","0","64","2.48","34.38","15.625","0.93","33.33","0.93","50","7.36","34.21","2.63","0.7","0.27","15.18","67.6","4.22","59.63","0.89","34.78","0.15","0.23","0.23","1.7","52.27","1.78","45.65","0.81","2.13","70.91","","","0","0","","",""
" Alberto Quintero","Panama 1.","Plaza Amador","CF, AMF","38","150000","2027-12-31","28","2449","2","1.9","6","4.07","Panama","right","165","no","2.28","2.58","55","1.38","15.63","0","1.63","0.09","0.08","0","21","0.9","38.1","9.524","3.83","35.96","3.96","47.83","11.59","38.66","2.24","1.29","0.09","34.9","77.78","9.78","77.09","1.55","58.33","0.18","0.56","0.99","4.83","69.64","4.65","50","1.38","6.33","87.76","","","0","0","","",""
"Vlair Simmons","Panama 1.","Potros del Este","RCMF","24","0","2026-06-30","28","2412","2","2.39","2","1.45","Panama","","0","no","8.23","7.22","59.78","2.82","37.14","0.28","4.48","0.08","0.1","0.04","36","1.45","30.56","5.556","1.01","24","0.24","66.67","3.47","43.02","0.85","1.01","0.04","42.34","79.43","16.37","68.72","6.29","57.05","0.06","0.12","0.2","10.28","74.12","2.06","47.06","0.93","8.15","77.72","","","0","0","","",""
"Héctor Hurtado","Panama 1.","Independiente","DMF, RDMF, RCMF","27","150000","2026-06-30","26","2383","1","0.43","0","1.01","Panama","","0","yes","10.1","8.72","69.9","2.27","52.94","0.13","5.9","0","0.02","0","18","0.8","11.11","0","0.4","44.44","1.16","57.69","5.83","44.27","0.31","1.02","0.13","46.62","84.92","15.35","76.23","6.94","64.1","0.04","0.31","0.22","9.61","76.39","1.38","41.94","0.53","9.25","79.81","","","0","0","","",""
"J. Figueroa","Panama 1.","Veraguas","DMF, RCMF, RDMF","22","0","","25","2274","0","0.65","0","0.08","Panama","","0","no","12.73","10.4","67.67","2.33","40.38","0.22","5.76","0","0.03","0","14","0.63","21.43","0","0.18","50","0.81","72.22","5.33","42.86","0.22","0.36","0","34.6","82.12","11.61","65.64","3.99","56.18","0","0.04","0.04","5.42","67.77","0.4","44.44","0.13","5.02","68.75","","","0","0","","",""
"E. Carrasquilla","Panama 1.","San Francisco","RCMF, RDMF","23","125000","","25","2262","0","0.31","1","0.39","Panama","","0","no","6.55","5.87","63.08","3.16","52.86","0.05","4.35","0","0.01","0","15","0.68","13.33","0","0.41","22.22","1.13","56","4.92","46.79","0.18","1.58","0.54","42.42","88.18","13.28","81.29","2.8","50","0.02","0.14","0.14","7.73","82.46","0.81","50","0.27","7.86","79.31","","","0","0","","",""
"A. Palmezano","Panama 1.","UMECIT","RB, LB","26","100000","","25","2239","1","0.65","0","1.11","Colombia","right","173","no","7.86","5.91","67.69","1.18","50","0.23","5.07","0.05","0.03","0","14","0.64","21.43","7.143","1.23","40.74","2.59","59.65","8.5","42.78","0.73","0.77","0.09","25.49","84.31","8.81","75.77","3.09","55.88","0.05","0.14","0.23","3.59","74.68","1.41","58.06","0.41","5.13","77.88","","","0","0","","",""
"V. Griffith","Panama 1.","Árabe Unido","RCMF, LDMF, LCMF","25","100000","2026-12-31","23","2234","4","2.47","1","1.66","Panama","right","174","yes","9.87","7.86","60.51","3.59","52.81","0.16","7.08","0.16","0.1","0.04","35","1.41","25.71","11.429","0.4","40","1.25","54.84","5.36","49.62","1.13","1.29","0.12","33.4","83.59","12.45","74.76","4.39","57.8","0.07","0","0.12","6.24","70.32","1.29","53.13","0.85","6.32","72.61","","","0","0","","",""
"E. Chanis","Panama 1.","UMECIT","RCB","27","125000","2026-12-31","23","2219","2","1.39","0","0.26","Panama","","174","no","6.83","4.43","68.75","5.45","52.54","0.32","5.41","0.05","0.06","0","21","0.97","33.33","4.762","0.18","50","0.18","50","1.11","54.17","0.92","0.18","0","29.32","79.84","15.56","70.62","8.68","62.23","0.01","0","0.09","4.89","61.32","0.6","30.77","0.14","7.8","70.41","","","0","0","","",""
"Á. Herman","Panama 1.","Potros del Este","LWB, LB","24","0","","29","2216","1","0.4","1","0.99","Panama","","0","no","8.24","6.55","66.43","1.69","21.62","0.18","5.07","0.05","0.02","0","8","0.37","25","12.5","3.52","29.87","2.01","56.82","5.68","48.39","0.46","1.69","0.23","30.31","66.01","13.09","58.39","5.22","44.74","0.05","0.05","0.27","5.72","48","3.43","38.67","0.5","8.19","72.63","","","0","0","","",""
"Eddie Roberts","Panama 1.","Independiente","GK","31","150000","2026-12-31","23","2204","0","0.19","0","0","Panama","right","190","yes","1.61","0.05","0","0.44","100","0","2.32","0","0.01","0","1","0.05","0","0","0","0","0","0","0","0","0.15","0","0","18.25","77.54","12.54","69.26","8.93","57.38","0","0","0","4.25","51.72","0.24","20","0.05","6","78.05","0.98","3.51","72.22","0.87","-2.23","-0.109","1.22"
