"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"A. Danko","Slovakia 1.","Podbrezová","GK","22","0","2029-06-30","33","3232","0","0","Slovakia","right","187","1.42","0.19","57.14","0.31","81.82","0","1.76","0","0","0","0","0","0","0","0","0","0","0","0.06","100","0","0","0","34.78","84.87","19.77","76.48","12.11","60","0","0","0","0","0","4.12","45.27","0.31","27.27","0.11","7.8","71.07"
"M. Junas","Slovakia 1.","Skalica","GK","29","250000","2027-06-30","32","3126","0","0","Slovakia","right","184","1.58","0.14","20","0.35","83.33","0","1.9","0","0","0.01","0","0.03","0","0","0","0","0","0","0.09","66.67","0.06","0","0","21.54","88.9","14.14","84.73","9.59","76.88","0","0","0","0","0","2.53","65.91","0.12","0","0.03","7.63","86.42"
"K. Koštrna","Slovakia 1.","Podbrezová","CB, RCB","31","350000","2026-06-30","32","3072","0","0","Slovakia","right","178","9.08","4.72","69.57","2.84","40.21","0.82","7.49","0.64","0","0.02","0","0.18","33.33","0","0.79","51.85","0.35","50","2.17","62.16","0.47","0.56","0.09","52.71","88.1","22.21","78.5","7.65","60.15","0.02","0.03","0.03","0","0.09","6.8","67.67","1.32","46.67","0.35","9.99","74.78"
"D. Taraduda","Slovakia 1.","Zemplín Michalovce","RB, RCB, LCB","25","150000","","31","2948","2","2","Ukraine","","0","13.16","9.13","65.89","3.69","56.2","0.92","8.96","0.67","0.06","0.06","0.03","0.43","42.86","14.286","1.25","14.63","0.46","66.67","3.08","49.5","0.73","0.7","0.09","35.17","81.42","13.43","73.18","3.91","50","0.04","0","0","0","0.12","3.27","68.22","1.37","31.11","0.31","6.66","61.93"
"M. Faško","Slovakia 1.","FC Košice","RCMF, CF, LCMF","31","300000","","33","2933","8","8","Slovakia","left","183","6.78","5.22","56.47","1.17","23.68","0.21","4.74","3.44","0.15","0.34","0","2.45","38.75","10","2.15","50","2.98","45.36","8.22","35.82","2.42","1.47","0.18","36.3","77.09","12","64.71","3.8","52.42","0.19","0.09","0.49","12.5","0.64","6.84","65.47","3.96","55.81","1.53","7.03","80.35"
"Ž. Frelih","Slovakia 1.","Spartak Trnava","GK","27","450000","2026-06-30","30","2930","0","1","Slovenia","left","197","1.97","0.15","40","0.28","100","0","2.46","0","0","0.01","0","0.03","0","0","0","0","0","0","0.12","100","0.03","0","0.06","19.47","76.66","12.23","64.82","8.97","56.51","0","0","0","0","0.06","4.27","44.6","0.52","29.41","0.09","6.05","76.14"
"L. Belko","Slovakia 1.","Žilina","GK","23","1300000","2028-06-30","30","2920","0","0","Slovakia","right","189","1.02","0.06","50","0.4","92.31","0","1.65","0","0","0","0","0","0","0","0","0","0","0","0.15","80","0","0","0","22.9","86.94","14.76","81.21","7.4","65","0","0","0","0","0.03","2.07","44.78","0.12","0","0","5.7","74.59"
"M. Bajo","Slovakia 1.","DAC","DMF, RDMF, LCMF","21","0","2029-06-30","32","2873","0","1","Gambia","right","184","9.05","6.23","65.33","5.2","60.84","0.63","7.02","0.72","0","0.05","0","0.78","20","0","0.72","26.09","0.66","57.14","4.1","43.51","0.78","0.47","0.06","41.95","82.52","14.16","69.03","5.54","54.8","0.02","0.06","0.09","0","0.06","7.36","67.23","2.1","35.82","0.66","6.86","73.52"
"M. Hlinka","Slovakia 1.","Dukla Banská Bystrica","LCMF, RCMF, CB","35","75000","","32","2851","1","0","Slovakia","left","182","7.45","5.24","68.07","3.03","47.92","0.47","4.7","0.6","0.03","0.08","0","0.88","14.29","3.571","0.35","54.55","0.54","47.06","2.53","28.75","1.01","0.35","0.03","30.12","80.4","10.86","66.86","4.51","47.55","0.03","0.03","0.03","100","0.06","5.3","66.67","0.85","51.85","0.44","5.37","67.65"
"L. Holík","Slovakia 1.","Spartak Trnava","RB","27","300000","2027-06-30","31","2827","0","2","Czech Republic","right","181","8.09","7.35","61.47","1.75","43.64","0.38","4.32","4.07","0","0.05","0","0.41","30.77","0","5.09","40","3.76","50","6.4","43.78","1.75","1.62","0.19","28.21","66.93","12.7","62.91","4.11","37.21","0.11","0.06","0.06","50","0.54","5.13","60.25","4.49","46.81","0.48","8.05","70.75"
"T. Bondarenko","Slovakia 1.","Trenčín","RCB","33","300000","","30","2807","0","1","Ukraine","right","187","8.11","3.75","76.92","4.49","62.86","0.83","7.09","0.29","0","0.04","0","0.38","8.33","0","0.16","40","0.29","66.67","1.31","51.22","0.74","1.67","0.06","53.83","88.27","19.62","76.8","6.67","55.29","0.02","0","0.03","0","0.1","6.12","69.11","0.61","31.58","0.32","8.46","66.29"
"M. Rymarenko","Slovakia 1.","Dukla Banská Bystrica","CF","26","600000","2026-06-30","31","2798","13","4","Slovakia","right","178","2.73","2.89","64.44","2.41","21.33","0","1.01","3.35","0.29","0.37","0.03","2.99","35.48","13.978","1.48","43.48","3.83","41.18","11","31.87","3.02","2.12","0.55","23.9","76.99","6.34","64.47","1.25","61.54","0.19","0.06","0.19","33.33","0.39","3.15","66.33","2.06","50","0.8","2.93","78.02"
"D. Gallovič","Slovakia 1.","FC Košice","LCMF, RCMF","29","150000","","31","2782","4","3","Slovakia","right","178","6.11","4.53","60","0.61","42.11","0.26","4.15","1.52","0.13","0.07","0","0.71","45.45","18.182","1","25.81","1.23","65.79","6.18","46.6","1.36","1.68","0.19","32.84","84.83","9.16","73.5","2.17","56.72","0.13","0.06","0.29","44.44","0.29","4.34","75.37","1.71","52.83","0.94","4.27","77.27"
"D. Šipoš","Slovakia 1.","FC Košice","GK","27","250000","2026-05-30","28","2771","0","0","Slovakia","right","189","1.88","0.16","80","0.45","85.71","0","2.13","0","0","0","0","0","0","0","0","0","0","0","0.16","100","0","0","0","24.46","80.08","15.75","71.96","13.22","64.86","0","0","0","0","0","4.45","52.55","0.26","12.5","0.03","8.83","77.21"
"M. Brunetti","Slovakia 1.","DAC","LCB","25","750000","","30","2771","2","1","Brazil","left","182","7.99","4.97","71.9","3.96","54.92","0.36","6.46","1.85","0.06","0.09","0.06","0.58","44.44","11.111","1.07","24.24","1.95","66.67","4.74","62.33","0.94","1.79","0.06","47.68","86.72","19.68","79.54","5.42","49.7","0.02","0","0.03","100","0.13","7.05","70.51","1.3","45","0.36","9.32","76.31"
"T. Barseghyan","Slovakia 1.","Slovan Bratislava","RAMF, RW, RWF","32","1700000","2027-06-30","30","2731","20","3","Armenia","left","179","3.13","2.8","62.35","1.55","36.17","0.1","1.82","5.31","0.49","0.57","0.03","4.51","40.88","14.599","2.5","28.95","3.95","62.5","11.7","48.45","4.12","2.6","0.4","34.37","75.65","9.89","68","4.28","56.15","0.21","0.16","0.56","47.06","0.4","5.47","63.86","5.01","55.92","2.5","5.8","84.66"
"T. Kacharaba","Slovakia 1.","DAC","RCB, CB","30","700000","2026-06-30","29","2707","1","1","Ukraine","right","189","7.05","3.19","65.63","3.72","60.71","0.63","7.26","0.23","0.03","0.07","0.03","0.43","7.69","7.692","0.3","55.56","0.03","100","0.76","52.17","0.86","0.5","0","50.97","86.43","19.48","72.7","8.94","62.08","0.03","0.03","0.03","0","0.17","6.18","65.05","1.13","35.29","0.33","10.07","72.94"
"O. Rudzan","Slovakia 1.","Komárno","LB, LCB","27","150000","2026-06-30","29","2699","2","0","Czech Republic","left","186","10.8","7.37","60.63","3.83","52.17","0.43","7.32","1.13","0.07","0.06","0","0.87","30.77","7.692","1.2","33.33","0.8","58.33","2.3","44.93","0.93","0.53","0.07","34.11","72.92","17.74","65.41","5.97","43.02","0.01","0","0.03","0","0.03","6.17","61.62","1.53","34.78","0.3","9","59.63"
"L. Willwéber","Slovakia 1.","Dukla Banská Bystrica","LCB, CB","33","125000","2026-06-30","29","2699","1","0","Slovakia","right","0","8.57","3.97","73.11","4.17","61.6","0.67","6.91","0.4","0.03","0.07","0","0.43","46.15","7.692","0.13","25","0.37","45.45","1.3","41.03","0.67","0.5","0.1","39.68","84.37","16.44","71.4","9.1","64.47","0.02","0.07","0","0","0.13","6.84","68.78","0.9","44.44","0.37","9.5","72.98"
"T. Hubočan","Slovakia 1.","Žilina","CB","40","50000","","28","2679","0","0","Slovakia","right","184","8.6","4.94","69.39","5.61","59.88","0.67","7.98","0.27","0","0.02","0","0.34","20","0","0.1","66.67","0.24","57.14","1.71","45.1","0.47","0.3","0","57.11","91.53","23.45","85.53","6.25","65.05","0.01","0.03","0.03","0","0","4.7","68.57","0.34","70","0.17","8.47","74.6"
"A. Morong","Slovakia 1.","Skalica","RB, RAMF, LB","32","175000","","29","2675","2","1","Slovakia","right","178","7.81","6.63","54.82","2.69","62.5","0.1","4.43","3.47","0.07","0.11","0","0.64","52.63","10.526","4.1","30.33","2.89","65.12","7.87","46.58","1.45","1.58","0.24","33.31","68.99","14.43","65.03","5.15","54.25","0.11","0.07","0.17","0","0.44","5.59","63.86","4.1","33.61","0.81","8.38","74.7"
"S. Šmehyl","Slovakia 1.","Komárno","RB, LB","31","125000","","28","2668","4","5","Slovakia","right","175","7.19","4.93","56.16","2.23","62.12","0.2","4.89","1.65","0.03","0.13","0","0.67","30","20","3.17","32.98","0.81","50","2.63","41.03","0.57","0.81","0.1","32.01","70.6","16.33","64.26","6.48","51.56","0.16","0.07","0","0","0.27","5.5","60.12","3.81","45.13","0.71","10.02","72.05"
"A. Yirajang","Slovakia 1.","Podbrezová","CF, LWF","20","0","2030-06-30","33","2652","9","4","Gambia","","0","4.34","4.17","59.35","2.71","36.25","0.14","2.54","4.41","0.31","0.27","0.07","2.24","45.45","13.636","1.97","34.48","4.55","58.21","11.61","40.06","4.07","3.29","0.34","20.87","75.28","4.48","62.88","0.95","46.43","0.13","0.07","0.14","50","0.61","1.56","56.52","2.61","57.14","1.26","3.39","76"
