"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"H. Pasich","Ukraine 1.","LNZ Cherkasy","RB","32","500000","2026-06-30","19","1915","0","1.08","0","0.99","Ukraine","right","176","no","9.54","7.99","61.18","2.07","45.45","0.28","5.21","0","0.05","0","23","1.08","17.39","0","2.16","28.26","1.74","62.16","3.15","50.75","0.66","1.5","0.14","35.39","67.6","19.13","60.93","7.43","42.41","0.05","0.14","0.09","8.88","62.43","3.34","35.21","0.52","11.04","68.94","","","0","0","","",""
"D. Kuzyk","Ukraine 1.","LNZ Cherkasy","LB, LWF","23","1000000","2028-06-30","19","1855","2","1","2","3.43","Ukraine","left","180","no","7.86","4.8","62.63","1.84","50","0.19","5.79","0.1","0.05","0","20","0.97","10","10","3.25","46.27","1.36","64.29","3.06","47.62","0.82","0.82","0.1","26.68","67.27","11.69","56.02","6.31","48.46","0.17","0.05","0.68","5.09","55.24","3.93","49.38","0.73","8.54","70.45","","","0","0","","",""
"Jan Jurčec","Ukraine 1.","Kryvbas KR","RB","25","0","2027-06-30","19","1850","0","0.23","3","0.84","Croatia","right","177","no","8.32","5.5","61.06","1.61","27.27","0.05","6.43","0","0.01","0","3","0.15","0","0","1.26","46.15","0.88","77.78","3.65","50.67","0.19","0.97","0.44","31.67","78.65","13.43","68.12","4.52","47.31","0.04","0","0.29","4.33","62.92","1.51","58.06","0.29","7.64","63.69","","","0","0","","",""
"I. Pakholyuk","Ukraine 1.","Kolos Kovalivka","GK","21","0","2027-12-31","19","1837","0","0","0","0","Ukraine","right","182","no","1.27","0.05","0","0.24","100","0","1.73","0","0","0","0","0","0","0","0","0","0.05","100","0.1","100","0","0","0","22.39","84.25","11.56","72.46","9.01","63.04","0","0","0","2.89","55.93","0.05","0","0.05","6.37","73.85","0.93","4.36","78.65","1.35","8.63","0.423","1.37"
"Y. Gereta","Ukraine 1.","Rukh Lviv","GK","22","200000","2026-12-31","19","1834","0","0","0","0","Ukraine","right","189","no","1.52","0.1","50","0.54","90.91","0","1.97","0","0","0","0","0","0","0","0","0","0.05","0","0.1","50","0","0","0","30.47","85.02","16.93","75.36","10.16","62.32","0","0","0","2.31","44.68","0.34","14.29","0","7.26","68.92","1.37","3.53","61.11","1.24","-2.78","-0.136","1.37"
"M. Zaderaka","Ukraine 1.","Kryvbas KR","RCMF, AMF","31","900000","2026-06-30","19","1829","6","3.57","0","2.06","Ukraine","right","171","no","5.56","4.13","59.52","2.31","38.3","0.15","3.58","0.3","0.18","0.05","21","1.03","52.38","28.571","2.61","26.42","1.77","66.67","5.17","39.05","1.97","1.28","0.25","26.52","64.56","10.28","53.59","4.43","40","0.1","0.2","0.25","5.71","54.31","2.56","36.54","0.49","5.41","70","","","0","0","","",""
"B. Mykhailichenko","Ukraine 1.","Polissya","LB, RB","28","2500000","2028-06-30","19","1788","0","0.3","1","0.61","Ukraine","left","178","no","7.7","4.98","61.62","1.51","60","0.25","5.15","0","0.02","0","13","0.65","15.38","0","1.66","30.3","1.41","46.43","3.17","42.86","0.81","2.27","0.35","50.39","82.12","20.69","75.18","5.89","51.28","0.03","0","0.15","8.41","74.25","2.32","41.3","0.35","11.63","73.16","","","0","0","","",""
"E. Sarapiy","Ukraine 1.","Polissya","LCB","26","1500000","2030-06-30","19","1752","2","2.31","0","0.49","Ukraine","right","186","no","7.4","3.96","75.32","5.09","71.72","0.62","5.23","0.05","0.12","0.05","22","1.13","45.45","9.091","0.15","66.67","0.1","50","0.82","81.25","0.46","0.82","0.05","61.7","89.68","21.37","78.13","10.99","68.22","0.03","0","0.1","8.63","73.81","0.92","33.33","0.26","10.43","78.82","","","0","0","","",""
"I. Krupskyi","Ukraine 1.","Metalist 1925 Kharkiv","RB, LB","21","0","2028-12-31","18","1741","0","0.21","1","0.9","Ukraine","both","180","no","7.91","5.07","70.41","3.05","62.71","0.1","5.72","0","0.01","0","15","0.78","0","0","2.33","35.56","1.09","52.38","2.89","44.64","0.78","2.07","0.47","45.54","84.11","18.2","76.42","4.45","55.81","0.05","0","0.26","5.94","73.91","2.38","41.3","0.26","8.37","75.31","","","0","0","","",""
"D. Varakuta","Ukraine 1.","Metalist 1925 Kharkiv","GK","24","0","2029-06-30","18","1741","0","0","0","0","Ukraine","right","190","no","1.03","0.1","100","0.31","66.67","0","1.32","0","0","0","0","0","0","0","0","0","0","0","0.05","0","0","0","0","24.92","87.14","13.54","80.92","8.53","69.09","0","0","0","0.98","47.37","0.05","0","0","5.43","63.81","0.62","2.22","72.09","0.4","-4.17","-0.216","1.03"
"O. Bilyk","Ukraine 1.","Epitsentr Kamyanets-Podilskyi","GK","28","150000","2027-06-30","18","1733","0","0","0","0","Ukraine","right","187","no","2.49","0.16","0","0.21","75","0","3.25","0","0","0","0","0","0","0","0","0","0","0","0.05","100","0","0","0","21.55","85.06","11.94","77.39","8.05","64.52","0","0","0","2.18","42.86","0.16","0","0","5.61","74.07","1.51","5.19","71","1.64","2.6","0.135","1.19"
"S. Chobotenko","Ukraine 1.","Polissya","RCB","29","1000000","2029-06-30","18","1728","1","1.58","0","0.25","Ukraine","right","193","no","7.6","3.65","70","4.43","61.18","0.47","6.42","0.05","0.08","0.05","11","0.57","18.18","9.091","0.1","0","0.05","100","0.31","66.67","0.57","0.89","0","60.47","88.46","20.89","77.56","7.45","60.14","0.01","0","0.05","7.45","66.43","0.94","33.33","0.42","9.01","64.74","","","0","0","","",""
"A. Tsurikov","Ukraine 1.","Kolos Kovalivka","LB","33","300000","2027-06-30","19","1720","2","2.72","2","1.28","Ukraine","left","185","no","5.76","3.77","56.94","1.73","48.48","0.16","4.26","0.1","0.14","0","24","1.26","37.5","8.333","1.52","31.03","0.52","60","1.62","41.94","2.09","1.2","0.16","32.65","77.56","15.59","69.8","4.19","51.25","0.07","0.1","0.26","4.6","68.18","1.73","51.52","0.63","8.32","65.41","","","0","0","","",""
"Jordan","Ukraine 1.","Zorya","RCB","26","800000","2028-06-30","19","1717","1","0.68","1","0.12","Brazil","right","190","no","9.17","4.98","72.63","5.03","65.63","1.1","7.84","0.05","0.04","0.05","8","0.42","12.5","12.5","0.21","50","0.37","71.43","2.15","36.59","0.68","0.68","0.05","54.3","85.52","24.85","76.16","7.18","48.91","0.01","0","0.1","7.5","63.64","0.73","42.86","0.1","10.48","79","","","0","0","","",""
"A. Shabanov","Ukraine 1.","Metalist 1925 Kharkiv","LCB","34","300000","2026-06-30","18","1707","1","0.58","0","0.02","Ukraine","left","190","no","5.06","2.32","75","4.32","64.63","0.21","4.44","0.05","0.03","0","4","0.21","25","25","0.05","100","0","0","0.95","66.67","0.32","0.79","0","56.99","86.86","22.3","74","8.01","51.97","0","0","0.05","6.7","59.84","0.47","22.22","0.11","9.6","69.78","","","0","0","","",""
"V. Odaryuk","Ukraine 1.","SK Poltava","RW, RAMF","32","300000","2027-06-30","19","1702","3","1.78","2","0.88","Ukraine","right","183","no","5.13","3.6","48.53","5.13","39.18","0.16","4.03","0.16","0.09","0","19","1","31.58","15.789","0.85","50","0.63","50","4.18","26.58","2.01","0.53","0.11","19.14","66.57","8.09","50.98","2.64","40","0.05","0","0.21","2.59","55.1","1.48","39.29","0.58","4.65","52.27","","","0","0","","",""
"A. Ponedelnik","Ukraine 1.","Kolos Kovalivka","RB","29","900000","2027-06-30","19","1699","0","0.53","1","2.29","Ukraine","right","181","no","8.32","5.4","66.67","3.44","64.62","0.37","5.71","0","0.03","0","17","0.9","29.41","0","2.38","35.56","0.9","70.59","2.97","51.79","1.7","0.9","0.05","37.72","83.15","17.06","77.95","3.34","49.21","0.12","0","0.37","4.87","75","1.75","66.67","0.79","7.31","70.29","","","0","0","","",""
"Juninho","Ukraine 1.","Zorya","LB, RB","30","500000","2026-12-31","19","1696","1","1.17","4","2.12","Brazil","left","175","no","9.07","6.95","63.36","2.28","41.86","0.42","5.84","0.05","0.06","0","9","0.48","22.22","11.111","1.96","29.73","1.91","61.11","6.16","44.83","0.8","0.8","0.11","36.72","80.78","13.37","69.84","4.09","57.14","0.11","0.16","0.37","4.83","63.74","2.07","38.46","0.48","6.74","70.08","","","0","0","","",""
"Joaquinete","Ukraine 1.","Epitsentr Kamyanets-Podilskyi","LAMF, LW, RAMF","28","0","2026-06-30","19","1689","5","5.46","4","1.91","Spain","","0","no","4.48","4.21","67.09","1.76","18.18","0.11","2","0.05","0.29","0","45","2.4","31.11","11.111","3.14","30.51","6.02","61.06","11.56","44.7","3.04","3.73","0.37","25.68","72.82","5.49","63.11","2.66","58","0.1","0","0.69","2.02","60.53","3.52","50","1.39","4.48","77.38","","","0","0","","",""
"B. Faal","Ukraine 1.","Karpaty","CF","22","0","2028-06-30","18","1688","7","8.49","1","0.87","Gambia","","187","no","3.36","2.45","58.7","7.62","43.36","0.21","2.54","0.37","0.45","0.16","44","2.35","40.91","15.909","0.27","20","1.28","41.67","7.41","28.06","4.11","0.64","0.11","13.17","72.87","2.51","55.32","0.27","40","0.05","0.05","0.16","1.23","69.57","1.12","52.38","1.07","1.07","70","","","0","0","","",""
"V. Vilivald","Ukraine 1.","Kryvbas KR","LCB, RCB","21","0","2030-06-30","18","1682","1","1.56","0","0","Ukraine","right","190","no","9.26","4.44","71.08","5.24","58.16","1.07","8.39","0.05","0.08","0","8","0.43","12.5","12.5","0","0","0.21","50","1.71","40.63","0.91","0.27","0","37.29","77.33","19.21","66.02","6.8","43.31","0","0.05","0","5.19","52.58","0.32","0","0.05","9.15","56.14","","","0","0","","",""
"Elias","Ukraine 1.","Kolos Kovalivka","DMF, LCMF, RCMF","27","0","2027-06-30","18","1661","2","1.94","1","1.1","Brazil","right","185","no","8.45","7.26","56.72","3.31","60.66","0.33","5.55","0.05","0.11","0.05","21","1.14","47.62","9.524","0.54","40","0.81","66.67","5.15","57.89","0.87","1.19","0.11","42.7","81.47","14.79","65.93","6.83","57.94","0.06","0","0.16","8.83","67.48","2.38","45.45","0.76","7.69","75.35","","","0","0","","",""
"V. Boyko","Ukraine 1.","Veres","RCMF, CF, LCMF","28","600000","2027-06-30","18","1649","4","1.83","1","2.71","Ukraine","left","183","no","5.4","3.82","62.86","4.37","52.5","0.22","3.24","0.22","0.1","0.05","26","1.42","42.31","15.385","1.31","50","1.04","68.42","4.69","36.05","0.82","0.44","0.05","27.34","79.24","9.33","66.08","3.27","50","0.15","0","0.44","4.04","64.86","1.75","46.88","0.44","4.97","69.23","","","0","0","","",""
"Y. Pavlyuk","Ukraine 1.","Metalist 1925 Kharkiv","RCB","23","800000","2028-06-30","17","1647","2","1.52","1","0.46","Ukraine","right","186","no","6.07","3.17","77.59","5.08","61.29","0.66","4.94","0.11","0.08","0.05","11","0.6","18.18","18.182","0.05","0","0.16","33.33","0.82","20","1.09","0.22","0","59.45","88.97","20.38","75.87","8.52","58.33","0.02","0","0.16","4.92","64.44","0.27","20","0.22","9.95","68.13","","","0","0","","",""
"A. Slesar","Ukraine 1.","Zorya","RW, LW, RWF","21","0","2027-06-30","19","1645","2","4.08","4","3.04","Ukraine","right","181","no","4.98","4.21","63.64","3.28","58.33","0","3.26","0.11","0.22","0","39","2.13","43.59","5.128","3.61","31.82","3.94","54.17","8.1","39.19","3.67","2.24","0.49","22.71","72.29","4.05","54.05","0.6","36.36","0.17","0","0.98","0.77","64.29","2.9","52.83","0.82","3.45","58.73","","","0","0","","",""
"D. Riznyk","Ukraine 1.","Shakhtar Donetsk","GK","27","7000000","2027-12-31","17","1644","0","0","0","0","Ukraine","right","191","no","1.2","0","0","0.22","100","0","2.21","0","0","0","0","0","0","0","0","0","0","0","0.11","50","0","0.05","0","29.34","92.91","11.28","83.98","4.93","62.22","0","0","0","1.64","46.67","0.27","40","0.11","3.56","72.31","0.55","1.92","71.43","0.55","-0.01","-0.001","1.59"
