"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"Sun Guowen","China 1.","Zhejiang Professional","LWB, RWB, LB","32","200000","2026-12-31","30","3046","0","1.11","2","2.36","China PR","right","182","6.23","4.76","56.52","1.42","41.67","0.15","4.47","1.86","0","0.03","0","0.44","26.67","0","1.71","39.66","2.33","41.77","5.17","35.43","1.24","2.63","0.41","36.9","83.43","12.91","73.91","3.07","42.31","0.07","0.12","0.33","4.28","77.93","2.04","55.07","0.77","6.91","66.67"
"Lucas Possignolo","China 1.","Zhejiang Professional","CB, LCB, RCB","31","1000000","2025-12-31","29","3032","3","3.01","0","0","Brazil","right","188","8.34","4.69","71.52","4.42","55.03","0.65","6.29","0.27","0.09","0.09","0.09","0.56","47.37","15.789","0.03","0","0","0","0.45","73.33","0.62","0.36","0","41.59","93.86","10.18","83.97","3.18","65.42","0","0","0","1.57","77.36","0.12","50","0.09","4.24","61.54"
"Juan Antonio","China 1.","Tianjin Tigers","CB, RCB, LCB","29","300000","2026-12-31","29","3024","1","3.03","1","0.18","Spain","right","188","7.77","3.96","68.42","4.94","54.22","0.98","6.68","0.36","0.03","0.09","0","0.6","30","5","0.06","100","0.18","66.67","0.95","46.88","0.92","0.63","0","48.51","87.85","19.14","74.96","7.41","57.43","0.01","0","0.03","4.02","60.74","0.45","46.67","0.33","7.86","63.26"
"Guo Quanbo","China 1.","Meizhou Hakka","GK","28","100000","2026-12-31","29","3011","0","0","0","0","China PR","right","183","1.2","0.18","33.33","0.24","75","0","1.5","0","0","0","0","0","0","0","0","0","0","0","0.06","100","0","0","0","9.03","80.46","5.56","72.58","3.47","57.76","0","0","0","0.6","45","0","0","0","2.84","63.16"
"Zhao Bo","China 1.","Zhejiang Professional","GK","32","225000","2026-12-31","29","3008","0","0","1","0.15","China PR","","186","1.02","0.03","100","0.24","87.5","0","1.27","0","0","0","0","0","0","0","0","0","0","0","0.03","100","0","0","0","11.58","81.65","6.88","71.74","4.73","58.23","0","0","0.03","0.81","33.33","0.03","0","0","3.44","67.83"
"Wilson Manafá","China 1.","Shanghai Shenhua","RB","31","1300000","2025-12-31","30","2983","0","1.41","4","3.55","Portugal","right","177","7.3","5.91","62.24","1.72","43.86","0.27","5.43","3.62","0","0.04","0","0.48","12.5","0","3.59","28.57","3.32","74.55","6.94","52.17","1.81","3.68","0.84","45.47","80.23","14.33","72","4.44","60.54","0.11","0.06","0.6","6.37","77.73","4.01","51.88","1.3","9.68","78.5"
"Li Hao","China 1.","Qingdao West Coast","GK","21","0","","29","2981","0","0","0","0","China PR","right","188","1.3","0.21","42.86","0.54","88.89","0","1.63","0","0","0","0","0","0","0","0","0","0.03","0","0.12","75","0","0","0","11.47","73.42","8.6","67.37","7.43","61.38","0","0","0","2.02","37.31","0.06","0","0","4.98","78.18"
"Felipe","China 1.","Chengdu Rongcheng","CF","33","500000","2026-12-31","30","2976","15","15.05","4","4.69","Brazil","left","193","3.75","2.81","61.29","10.16","42.26","0.15","3.07","3.42","0.42","0.46","0.09","2.66","47.73","17.045","0.82","44.44","2.6","62.79","11.61","35.68","5.75","1.24","0.15","20.47","79.03","4.54","64","0.57","57.89","0.14","0.18","0.73","1.57","65.38","1.45","64.58","1.54","1.54","74.51"
"Hou Yongyong","China 1.","Yunnan Yukun","LCMF, AMF","27","300000","2026-12-31","30","2958","5","7.24","2","1.25","Norway","right","183","3.53","3.01","57.58","2.86","35.11","0.24","2.31","1.37","0.15","0.22","0.03","1.37","46.67","11.111","0.76","28","0.7","65.22","1.95","53.13","1.98","0.7","0.03","19.26","83.25","5.72","70.21","1.19","38.46","0.04","0.12","0.24","2.04","65.67","1.28","42.86","0.7","1.95","76.56"
"F. Abreu","China 1.","Beijing Guoan","CF","32","1500000","2026-12-31","30","2949","28","21.12","6","4.37","Portugal","right","184","1.68","1.5","65.31","4.76","38.46","0.12","1.34","3.11","0.73","0.64","0.24","3.11","50.98","27.451","0.58","52.63","1.89","61.29","8.39","44.73","4.49","1.1","0.12","13.61","83.41","2.78","68.13","0.34","54.55","0.13","0.21","0.55","1.13","86.49","1.31","55.81","1.31","1.22","80"
