"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Birth country","Foot","Height","Passes per 90","Accurate passes, %","Long passes per 90","Accurate long passes, %","Conceded goals per 90","Shots against per 90","Clean sheets","Save rate, %","xG against","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"Guo Quanbo","China 1.","Meizhou Hakka","GK","28","100000","2026-12-31","29","3011","China PR","right","183","9.03","80.46","3.47","57.76","2","4.84","2","58.64","62.33","1.86","-4.67","-0.14","0.87"
"Zhao Bo","China 1.","Zhejiang Professional","GK","32","225000","2026-12-31","29","3008","China PR","","186","11.58","81.65","4.73","58.23","1.44","4.55","6","68.42","47.67","1.43","-0.33","-0.01","1.77"
"Li Hao","China 1.","Qingdao West Coast","GK","21","0","","29","2981","China PR","right","188","11.47","73.42","7.43","61.38","1.27","3.83","8","66.93","41.08","1.24","-0.92","-0.028","1.39"
"Liu Dianzuo","China 1.","Chengdu Rongcheng","GK","35","175000","2026-12-31","27","2805","China PR","right","190","14.57","80.84","7.06","63.18","0.8","2.41","10","66.67","24.86","0.8","-0.14","-0.004","1.25"
"Yan Junling","China 1.","Shanghai Port","GK","34","350000","2025-12-31","27","2769","China PR","right","191","16.32","92.03","2.99","66.3","1.33","3.35","4","60.19","38.84","1.26","-2.16","-0.07","1.2"
"Wang Guoming","China 1.","Henan","GK","35","125000","2025-12-31","27","2750","China PR","right","187","13.68","89.71","5.14","76.43","1.34","3.6","5","62.73","35.65","1.17","-5.35","-0.175","0.79"
"Zhen Ma","China 1.","Yunnan Yukun","GK","27","200000","2026-12-31","26","2688","China PR","","196","12.69","78.89","6.5","62.89","1.31","4.62","7","71.74","36.02","1.21","-2.98","-0.1","1.81"
"Hou Sen","China 1.","Beijing Guoan","GK","36","100000","2027-12-31","25","2518","China PR","right","188","19.52","89.93","5.97","70.06","1.43","3.97","6","63.96","34.29","1.23","-5.71","-0.204","1.72"
"Wang Dalei","China 1.","Shandong Taishan","GK","36","200000","2026-12-31","24","2368","China PR","right","185","12.73","78.81","6.23","60.37","1.37","4.22","3","67.57","32.33","1.23","-3.67","-0.139","1.14"
"Xue Qinghao","China 1.","Shanghai Shenhua","GK","25","100000","2025-12-31","22","2282","China PR","right","195","15.62","86.87","5.21","63.64","1.03","2.8","7","63.38","21.31","0.84","-4.69","-0.185","1.34"
"Wu Yake","China 1.","Changchun Yatai","GK","34","100000","","21","2159","China PR","right","186","12.76","84.31","6.29","73.51","1.5","4.75","4","68.42","33.89","1.41","-2.11","-0.088","0.79"
"Yan Bingliang","China 1.","Tianjin Tigers","GK","25","0","2026-12-31","21","2146","China PR","","0","15.27","84.34","6","63.64","1.22","4.07","6","70.1","26","1.09","-3","-0.126","1.89"
"Ji Jiabao","China 1."," Shenzhen Peng City","GK","23","0","2026-12-31","18","1834","China PR","","192","10.89","85.59","5.25","71.96","1.72","4.81","3","64.29","35.98","1.77","0.98","0.048","1.42"
"Huang Zihao","China 1.","Dalian Young Boy","GK","24","75000","2026-12-31","16","1668","China PR","right","190","14.68","79.78","6.37","55.08","1.19","3.35","6","64.52","19.64","1.06","-2.36","-0.127","2.1"
"Shao Puliang","China 1.","Wuhan Three Towns","GK","36","100000","2025-12-31","16","1647","China PR","right","187","13.88","79.13","6.61","59.5","1.75","4.48","2","60.98","31.28","1.71","-0.72","-0.039","0.98"
"Mu Pengfei","China 1.","Qingdao Hainiu","GK","36","75000","2026-12-31","17","1619","China PR","right","193","9.62","76.88","7.28","72.52","1.39","4.34","1","67.95","25.22","1.4","0.22","0.012","1.17"
"Han Rongze","China 1.","Qingdao Hainiu","GK","32","100000","2025-12-31","14","1475","China PR","left","190","9.76","81.88","4.88","65","1.4","4.52","3","68.92","22.76","1.39","-0.24","-0.015","0.67"
"Sui Weijie","China 1.","Dalian Young Boy","GK","42","25000","2025-12-31","14","1411","China PR","right","188","13.71","81.4","8.74","72.99","1.47","4.4","2","66.67","23.79","1.52","0.79","0.05","2.68"
"Guo Jiayu","China 1.","Wuhan Three Towns","GK","21","0","","12","1188","China PR","","185","14.39","86.32","5.38","66.2","1.82","4.92","2","63.08","23.32","1.77","-0.68","-0.052","1.44"
"Fang Jingqi","China 1.","Tianjin Tigers","GK","32","125000","2026-12-31","10","977","China PR","right","188","13.91","85.43","5.53","65","1.11","4.15","2","73.33","12.97","1.2","0.97","0.089","1.84"
"Peng Peng","China 1."," Shenzhen Peng City","GK","24","100000","2026-12-31","8","840","China PR","","185","12.75","83.19","5.79","68.52","1.5","4.29","1","65","12.57","1.35","-1.43","-0.153","0.64"
"Bao Yaxiong","China 1.","Shanghai Shenhua","GK","28","325000","2026-12-31","8","821","China PR","right","192","16.44","84","6.69","60.66","0.99","2.19","1","55","3.93","0.43","-5.07","-0.556","1.21"
"Wang Zhifeng","China 1.","Changchun Yatai","GK","28","125000","2025-12-31","8","690","China PR","right","195","9.52","67.12","6.52","56","1.43","3.52","1","59.26","8.36","1.09","-2.64","-0.344","1.04"
"Yu Jinyong","China 1.","Shandong Taishan","GK","21","0","2026-12-31","7","647","China PR","unknown","198","13.63","80.61","5.15","62.16","1.25","4.45","0","71.88","8.18","1.14","-0.82","-0.114","2.36"
"Jiaqi Han","China 1.","Beijing Guoan","GK","26","175000","2026-12-31","6","592","China PR","right","185","23.26","84.31","8.82","67.24","0.91","5.17","2","82.35","8.52","1.3","2.52","0.383","1.82"
