"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"J. de Lange","Netherlands 1.","Go Ahead Eagles","GK","27","3000000","2027-06-30","36","3559","0","0","0","0.04","Netherlands","right","190","1.11","0.03","0","0.33","92.31","0","1.25","0","0","0","0","0","0","0","0","0","0","0","0.08","66.67","0","0","0","27.79","83.17","18.69","76.45","13.38","66.92","0","0","0","2.86","52.21","0.15","0","0","10.57","75.84","1.21","4.6","73.63","1.3","3.21","0.081","0.89"
"B. Kuipers","Netherlands 1.","Go Ahead Eagles","LB","31","1300000","2028-06-30","35","3423","5","4.67","3","4.93","Netherlands","left","180","8.86","5.97","57.71","1.58","50","0.47","5.51","0.13","0.12","0.03","41","1.08","51.22","12.195","3.34","29.13","1.34","58.82","3.1","50.85","2.16","1.18","0.26","31","73.03","11.96","64.62","4.02","44.44","0.13","0.29","0.58","4.44","53.85","4.39","42.51","1.03","7.2","76.64","","","0","0","","",""
"N. Olij","Netherlands 1.","Sparta Rotterdam","GK","30","4000000","2029-06-30","35","3419","0","0","0","0","Netherlands","right","185","1.55","0.16","66.67","0.32","83.33","0","1.68","0","0","0","0","0","0","0","0","0","0.05","100","0.16","83.33","0","0","0","29.8","86.57","16.45","76.96","13.06","71.98","0","0","0","4.79","61.54","0.45","11.76","0.05","10.71","84.77","1.34","4.58","70.69","1.37","0.98","0.026","1.61"
"E. Room","Netherlands 1.","Vitesse","GK","36","300000","","34","3348","0","0","0","0.05","Netherlands","right","189","1.05","0.05","0","0.11","75","0","1.32","0","0","0","0","0","0","0","0","0","0.08","66.67","0.08","66.67","0","0","0","24.95","81.68","15.35","71.45","12.07","63.25","0","0","0.03","2.88","64.49","0.11","0","0","9.33","73.2","1.99","6.13","67.54","1.94","-1.86","-0.05","0.48"
"M. Brouwer","Netherlands 1.","Heracles","GK","32","700000","2026-06-30","34","3345","0","0","1","0.27","Netherlands","right","189","1.78","0.11","75","0.35","69.23","0","2.01","0","0","0","0","0","0","0","0","0","0.03","100","0.03","100","0","0","0","23.89","76.46","15.39","65.38","12.91","57.5","0.01","0","0.03","4.39","46.63","0.3","0","0.05","8.72","73.15","1.99","6.22","67.97","2.03","1.3","0.035","1.91"
"S. Kersten","Netherlands 1.","PEC Zwolle","RCB","27","800000","2027-06-30","34","3329","0","0.14","2","1.07","Netherlands","right","191","10.33","6.38","69.07","2.62","48.45","0.62","6.47","0","0","0","6","0.16","33.33","0","0.08","33.33","0.19","71.43","1.14","47.62","0.24","0.87","0.14","43.5","89.87","16.82","83.44","3.33","56.1","0.03","0.05","0.08","3.92","78.62","0.22","50","0.22","7.08","67.56","","","0","0","","",""
"S. van Gassel","Netherlands 1.","Excelsior","GK","29","800000","2027-06-30","34","3319","0","0.07","0","0","Netherlands","left","185","1.74","0.05","50","0.49","83.33","0","1.99","0","0","0","1","0.03","0","0","0","0","0","0","0.16","50","0","0","0.03","30.94","77.74","20.8","68.06","17","61.56","0","0","0.03","6.89","55.51","0.41","0","0.03","12.31","77.53","1.98","5.83","66.05","1.87","-4.22","-0.114","1.74"
"D. Hancko","Netherlands 1.","Feyenoord","LCB","28","35000000","2030-06-30","34","3317","5","7.48","1","2.78","Slovakia","left","188","7.19","3.5","75.97","2.58","49.47","0.62","6.74","0.11","0.2","0.03","56","1.52","33.93","8.929","1.09","35","1.38","66.67","2.55","55.32","2.39","3.04","0.24","77.06","90.39","25.86","81.95","7.16","52.27","0.08","0.08","0.27","10.85","75.25","1.52","42.86","0.57","10.8","80.15","","","0","0","","",""
"L. Geertruida","Netherlands 1.","Feyenoord","RB, RCB","25","32000000","2029-06-30","34","3314","8","6.41","2","3.26","Netherlands","right","185","5.7","4.26","71.34","1.09","62.5","0.08","3.98","0.19","0.17","0.03","41","1.11","43.9","19.512","0.87","37.5","1.6","62.71","4.37","50.31","1.6","1.77","0.33","57.44","92.25","18.36","85.21","2.55","53.19","0.09","0.08","0.3","8.66","87.77","1.71","52.38","0.92","7.77","86.36","","","0","0","","",""
"J. Hato","Netherlands 1.","Ajax","LCB, LB","19","30000000","2032-06-30","33","3274","1","1.26","1","0.9","Netherlands","left","183","9.59","6.62","68.46","4.59","53.29","0.58","6.9","0.03","0.03","0","9","0.25","66.67","11.111","0.22","0","1.13","60.98","3.79","38.41","0.38","1.57","0.14","67.76","94.04","21.85","88.3","3.41","58.06","0.02","0.14","0.11","6.98","87.01","0.69","48","0.38","7.78","75.27","","","0","0","","",""
