"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"Rubén Yáñez","Spain 2.","Sporting Gijón","GK","32","1800000","2028-06-30","20","2014","0","0","0","0","Spain","right","188","1.3","0","0","0.45","80","0","1.56","0","0","0","0","0","0","0","0","0","0","0","0.13","100","0","0","0","14.75","76.97","10.1","67.7","8.27","62.16","0","0","0","2.95","62.12","0.27","16.67","0.09","6.43","75"
"J. Mellot","Spain 2.","Castellón","RB, RCB","31","1200000","2027-06-30","20","2010","0","0.16","1","0.13","France","right","178","7.61","5.33","57.98","1.97","59.09","0.36","6.57","1.12","0","0.01","0","0.36","0","0","1.34","36.67","0.94","66.67","3.13","60","0.58","1.03","0.09","48.45","82.44","23.1","75.19","7.3","50.92","0.01","0","0.04","9.54","75.12","2.19","44.9","0.58","11.33","78.66"
"Guilherme Fernandes","Spain 2.","Real Valladolid","GK","24","150000","2027-06-30","20","1992","0","0","0","0","Portugal","right","191","1.08","0.09","0","0.18","75","0","1.67","0.05","0","0","0","0","0","0","0.05","100","0","0","0.14","33.33","0","0.05","0","17.67","81.33","10.44","70.13","7.5","62.05","0","0","0","2.76","40.98","0.23","0","0","4.65","75.73"
"Alfonso Herrero","Spain 2.","Málaga","GK","31","400000","2028-06-30","20","1985","0","0","0","0","Spain","right","183","1.09","0.14","33.33","0.23","80","0","1.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.53","84.78","12.42","71.9","9.48","63.16","0","0","0","2.77","54.1","0.18","25","0.05","6.66","77.55"
"Victor Aznar","Spain 2.","Cádiz","GK","23","0","2027-06-30","20","1980","0","0","0","0","Brazil","right","189","1.41","0.09","0","0.27","100","0","1.72","0","0","0","0","0","0","0","0","0","0","0","0.09","100","0","0","0","16.59","82.19","9.36","69.9","6.91","63.16","0","0","0","2.23","55.1","0.14","0","0","5.68","70.4"
"Juan Soriano","Spain 2.","Leganés","GK","28","1500000","2027-06-30","20","1978","0","0","0","0","Spain","right","185","1.18","0","0","0.46","100","0","1.69","0","0","0","0","0","0","0","0","0","0","0","0.05","100","0","0","0","20.79","83.37","14.01","76.3","10.6","68.67","0","0","0","2.37","55.77","0.09","0","0","8.6","77.25"
"Jon Mikel","Spain 2.","Eibar","GK","25","600000","2026-06-30","20","1976","0","0","0","0","Spain","right","183","1.5","0.14","33.33","0.27","83.33","0","1.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.55","87.68","11.8","79.54","8.15","68.72","0","0","0","1.64","50","0.27","0","0.05","5.69","76.8"
"Sergio Barcia","Spain 2.","Las Palmas","RCB, LCB","25","1000000","2027-06-30","20","1970","1","0.86","1","0.19","Spain","right","186","7.58","4.29","67.02","3.65","65","0.87","6.82","0.41","0.05","0.04","0.05","0.27","50","16.667","0.09","50","0.14","100","1.42","67.74","0.59","0.78","0.18","55.1","89.39","20.51","78.4","5.62","53.66","0.01","0.09","0.05","4.52","61.62","0.46","40","0.18","6.67","65.75"
"Miguel Loureiro","Spain 2.","Deportivo La Coruña","RCB, RB","29","1000000","2028-06-30","20","1967","0","2","0","1.06","Spain","right","182","8.6","6.73","63.95","3.61","48.1","0.78","5.65","0.92","0","0.09","0","0.73","37.5","0","0.92","45","0.46","40","2.15","34.04","1.05","1.28","0.32","49.51","84.38","18.44","71.96","6.13","50","0.05","0.05","0.23","4.39","62.5","1.05","39.13","0.23","9.38","60.49"
"Édgar Badía","Spain 2.","Cultural Leonesa","GK","33","1400000","2026-06-30","20","1960","0","0","0","0","Spain","right","181","1.65","0.14","66.67","0.46","70","0","2.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.73","88.48","9.28","77.72","6.34","68.12","0","0","0","1.19","42.31","0.09","0","0","3.81","72.29"
