"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"Mohamed Bassam","Egypt 1.","Ceramica","GK","35","600000","2027-06-30","14","1438","0","0","0","0","Egypt","right","191","2","0","0","0.19","100","0.06","3.45","0","0","0","0","0","0","0","0","0","0","0","0.25","100","0","0","0","20.09","83.8","11.08","72.32","6.76","53.7","0","0","0","2.63","38.1","0.25","25","0.06","3.57","77.19","0.38","2.69","86.05","0.77","6.25","0.391","1.19"
"Amr Hossam","Egypt 1.","Wadi Degla","GK","34","200000","2028-06-30","14","1434","0","0","0","0","Egypt","right","183","1.19","0.06","0","0.13","100","0.06","2.18","0","0","0","0","0","0","0","0","0","0","0","0.5","87.5","0","0","0","15.44","84.55","8.22","73.28","6.21","65.66","0","0","0","1.76","53.57","0.06","0","0.06","4.77","71.05","0.82","2.32","64.86","0.72","-1.51","-0.095","0.88"
"Mahmoud El Zanfaly","Egypt 1.","Haras El Hodood","GK","33","200000","2027-06-30","14","1432","0","0","0","0","Egypt","right","190","1.82","0.06","100","1.07","88.24","0","2.42","0","0","0","0","0","0","0","0","0","0","0","0.25","100","0","0","0.06","12.32","73.47","10.37","68.48","8.67","63.77","0","0","0","2.83","51.11","0.13","0","0","6.16","80.61","1.19","4.46","73.24","1.13","-1.07","-0.067","2.33"
"Mostafa Gamal","Egypt 1.","Al Mokawloon","DMF, RCMF, RDMF","35","0","2026-06-30","14","1432","1","0.76","1","0.86","Egypt","","0","6.6","5.66","62.22","5.59","53.93","0.13","5.11","0","0.05","0","2","0.13","50","50","0.25","25","0.25","75","1.82","55.17","0.06","0.69","0","34.57","82.91","11.75","71.12","3.83","57.38","0.05","0.13","0.06","5.91","67.02","1.07","41.18","0.44","4.9","78.21","","","0","0","","",""
"T. Mohamed","Egypt 1.","Petrojet","LB","26","0","","14","1431","0","0.33","1","0.97","Egypt","unknown","0","9.25","5.22","65.06","2.08","48.48","0.25","6.53","0","0.02","0","15","0.94","20","0","3.65","20.69","3.4","50","7.11","41.59","0.82","2.7","0.38","28.62","60.66","12.2","61.34","8.05","44.53","0.06","0.13","0.31","6.48","54.37","3.58","24.56","0.82","8.81","67.86","","","0","0","","",""
"Omar Salah","Egypt 1.","Petrojet","GK","28","100000","2027-06-30","14","1431","0","0","0","0","Egypt","right","187","1.26","0","0","0.82","76.92","0","1.69","0","0","0","0","0","0","0","0","0","0","0","0.06","100","0","0","0.06","11.01","72","8.68","65.94","7.17","57.89","0","0","0","3.27","53.85","0","0","0","5.16","75.61","1.01","3.9","74.19","1.23","3.62","0.228","1.76"
"Ahmed El Aash","Egypt 1.","Ghazl El Mehalla","RCB","27","50000","2028-06-30","14","1430","0","0.25","0","0.04","Egypt","right","0","7.49","3.65","79.31","5.03","58.75","0.69","6.05","0","0.02","0","7","0.44","0","0","0.31","40","0","0","0.76","41.67","0.38","0.44","0","32.6","77.22","18.63","66.22","12.84","63.24","0","0","0","5.98","57.89","1.51","20.83","0.31","10.45","71.69","","","0","0","","",""
"Amer Amer","Egypt 1.","Ghazl El Mehalla","GK","38","100000","2026-06-30","14","1430","0","0","0","0","Egypt","","183","1.83","0","0","0.57","100","0","2.51","0","0","0","0","0","0","0","0","0","0","0","0.06","100","0","0","0","10.13","86.34","5.41","75.58","3.59","70.18","0","0.06","0","0.63","40","0","0","0","2.9","80.43","0.44","2.33","81.08","0.61","2.68","0.169","1.57"
"M. Saeed","Egypt 1.","Pharco","GK","32","0","","14","1421","0","0","0","0","Egypt","unknown","0","1.39","0.38","66.67","1.14","88.89","0","1.4","0","0","0","0","0","0","0","0","0","0.19","33.33","0.51","62.5","0","0","0","12.16","78.13","6.97","71.82","5.76","64.84","0","0","0","1.77","78.57","0","0","0","4.56","63.89","0.89","4.18","78.79","1.02","2.16","0.137","2.85"
"Ragab Nabil","Egypt 1.","Ceramica","LCB, RCB","32","400000","2027-06-30","14","1415","2","1.2","0","0","Egypt","","180","5.92","2.67","54.76","4.83","60.53","0.51","7.25","0.13","0.08","0.06","5","0.32","60","40","0.13","0","0","0","0.57","33.33","0.51","1.14","0","46.88","90.37","20.29","84.64","4.07","46.88","0","0","0","4.39","73.91","0.06","0","0.06","6.49","67.65","","","0","0","","",""
