"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"I. Ivušić","Croatia 1.","Hajduk Split","GK","30","2500000","2026-05-31","13","1301","0","0","Croatia","right","195","1.25","0","0","0.42","66.67","0","2.04","0","0","0","0","0","0","0","0","0","0","0","0.07","0","0","0","0","21.1","82.3","10.51","69.08","7.89","54.39","0","0","0","0","0","2.01","24.14","0.14","0","0","4.63","59.7"
"D. Kovačić","Croatia 1.","Slaven Belupo","LCB","31","300000","2026-06-30","13","1298","0","0","Croatia","right","192","9.98","6.31","72.53","2.43","57.14","0.49","6.84","0.21","0","0.02","0","0.21","0","0","0.14","0","0.28","75","0.76","54.55","0.76","0.97","0","40.29","90.19","17.61","83.07","5.89","64.71","0.01","0","0","0","0.07","3.26","82.98","0.28","50","0.07","6.24","71.11"
"D. Matijaš","Croatia 1.","Gorica","GK","26","800000","2026-06-30","13","1290","0","0","Croatia","right","188","2.09","0","0","0.49","71.43","0","2.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.19","84.36","9.07","68.46","6.14","57.95","0","0","0","0","0","1.67","41.67","0.28","0","0","4.4","73.02"
"M. Malenica","Croatia 1.","Osijek","GK","31","500000","","13","1282","0","0","Croatia","right","191","1.19","0.07","100","0.28","75","0","1.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.38","89.49","8.49","81.82","6.11","71.26","0","0","0","0","0","1.19","58.82","0.14","50","0.07","4.91","77.14"
"J. Filipović","Croatia 1.","Gorica","RCB, CB","33","350000","","13","1278","0","0","Bosnia and Herzegovina","right","191","6.13","3.8","62.96","4.15","57.63","0.42","4.35","0.14","0","0.04","0","0.28","50","0","0","0","0.07","0","0.7","50","0.49","0.42","0","41.41","88.1","15.07","78.97","5.14","50.68","0","0","0","0","0","3.38","47.92","0.21","0","0","5","66.2"
"F. Kolić","Croatia 1.","Istra 1961","GK","22","450000","2026-05-31","13","1278","0","0","Croatia","right","190","1.27","0.21","66.67","0.28","100","0","1.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.92","83.19","7.46","68.87","5.07","51.39","0","0","0","0","0","0.85","25","0.14","0","0","3.59","50.98"
"J. Radošević","Croatia 1.","Istra 1961","RDMF, DMF, RCMF","31","1500000","","13","1278","0","0","Croatia","right","180","8.87","6.48","72.83","1.13","50","0.35","4.9","0.99","0","0.06","0","0.42","66.67","0","0.63","77.78","0.63","33.33","2.89","39.02","0.35","0.99","0","33.24","84.32","9.79","69.06","2.82","50","0.04","0","0","0","0.28","5.14","69.86","1.62","60.87","0.7","5.14","69.86"
"I. Nevistić","Croatia 1.","Dinamo Zagreb","GK","27","1500000","2028-06-30","13","1277","0","0","Croatia","right","193","1.06","0","0","0.14","100","0","1.53","0","0","0","0","0","0","0","0","0","0","0","0.14","100","0","0","0","22.55","85.94","11.42","73.46","7.12","58.42","0","0","0","0","0","1.27","50","0.21","0","0","4.65","72.73"
"M. Zlomislić","Croatia 1.","Rijeka","GK","27","150000","","13","1275","0","0","Bosnia and Herzegovina","right","190","0.92","0.07","100","0.56","100","0","1.24","0","0","0","0","0","0","0","0","0","0","0","0.07","100","0","0","0","19.62","87.41","8.89","73.81","6.14","65.52","0","0","0","0","0","1.13","62.5","0.07","0","0","5.01","70.42"
"O. Zelenika","Croatia 1.","Varaždin","GK","32","400000","2026-05-31","13","1274","0","0","Croatia","left","192","1.91","0.14","100","0.07","100","0","2.11","0.07","0","0","0","0","0","0","0","0","0.07","100","0.14","100","0","0","0","17.17","83.13","8.34","69.49","5.86","56.63","0","0.07","0","0","0","0.71","30","0.07","0","0","4.03","63.16"
"V. Koski","Croatia 1.","Istra 1961","RCB","23","500000","2027-06-30","13","1269","0","0","Finland","right","185","9.08","4.61","66.15","3.55","56","0.92","7.61","0.14","0","0.02","0","0.14","0","0","0","0","0.21","66.67","1.28","38.89","0.35","0.64","0.14","51.63","86.95","18.58","72.9","4.75","35.82","0","0.07","0","0","0","4.11","55.17","0.43","16.67","0.07","8.01","63.72"
"J. Posavec","Croatia 1.","Lokomotiva Zagreb","GK","29","500000","","13","1265","0","0","Croatia","right","190","1.49","0","0","0.14","50","0","2.01","0","0","0","0","0","0","0","0","0","0","0","0.21","100","0","0","0","30.09","88.42","11.6","77.91","7.61","59.81","0","0","0","0","0","1.57","59.09","0.07","100","0.07","5.41","65.79"
"C. Mbacke Diop","Croatia 1.","Lokomotiva Zagreb","CB, LCB","19","0","2029-06-30","13","1259","1","0","Senegal","","0","9.94","4.79","71.64","4.58","46.88","0.57","8.17","0.21","0.07","0.06","0","0.43","16.67","16.667","0.14","0","0.21","66.67","1.43","60","0.86","1","0.07","41.25","85.62","15.58","76.15","4.79","52.24","0","0","0","0","0","4.07","63.16","0.36","20","0.14","7.08","65.66"
"S. Lončar","Croatia 1.","Istra 1961","AMF, RCMF, RWF","29","1000000","","13","1247","3","2","Bosnia and Herzegovina","left","187","3.46","3.68","43.14","1.37","31.58","0.22","2.36","2.74","0.22","0.12","0","1.3","33.33","16.667","1.88","34.62","3.61","40","7.15","30.3","2.09","2.17","0.51","25.62","75.49","7.51","50.96","1.88","50","0.17","0","0.43","50","0.43","3.75","48.08","3.32","52.17","1.59","3.9","75.93"
"R. Gonzales","Croatia 1.","Vukovar","AMF, CF","26","0","","13","1239","5","0","Colombia","","0","5.74","5.16","57.75","1.31","27.78","0","2.93","2.62","0.29","0.23","0","1.74","41.67","20.833","0.87","33.33","2.83","56.41","11.69","45.96","1.96","1.6","0.44","24.84","79.24","8.64","75.63","1.6","40.91","0.04","0.15","0.22","0","0.15","3.41","78.72","1.74","58.33","0.94","4.29","74.58"
"Renan Guedes","Croatia 1.","Osijek","RB","27","300000","","13","1218","0","0","Brazil","right","177","7.24","6.8","52.17","2.96","60","0.3","5","1.55","0","0.02","0","0.37","0","0","3.47","25.53","1.85","36","6.65","34.44","0.89","1.77","0.52","35.69","75.36","16.33","67.87","4.51","37.7","0.13","0","0","0","0.52","5.1","68.12","2.88","30.77","0.15","7.98","70.37"
"A. Jagušić","Croatia 1.","Slaven Belupo","RAMF, AMF, RCMF","20","0","2028-06-30","13","1202","3","4","Croatia","left","174","7.26","5.69","72.37","1.8","12.5","0.07","3.32","3.67","0.22","0.08","0","2.25","36.67","10","1.42","36.84","4.42","49.15","12.65","39.64","1.87","2.92","0.6","32.5","79.95","8.09","67.59","2.17","65.52","0.2","0","0.3","50","0.82","4.49","75","2.55","55.88","1.2","5.39","76.39"
"S. McKenna","Croatia 1.","Dinamo Zagreb","LCB","28","9000000","2027-06-30","12","1177","1","0","Scotland","left","189","5.81","3.67","64.58","6.12","68.75","0.54","5.12","0.15","0.08","0.02","0.08","0.31","50","25","0","0","0.15","0","1.91","32","0.46","1.45","0.23","60.1","92.62","20.88","84.98","4.74","64.52","0","0","0","0","0","6.58","76.74","0.23","100","0.08","8.79","82.61"
"N. Omerović","Croatia 1.","Osijek","LAMF, CF, LW","23","1300000","","13","1177","5","0","Bosnia and Herzegovina","right","175","6.5","6.12","60","1.45","21.05","0","3.54","5.28","0.38","0.33","0","3.14","29.27","12.195","3.29","32.56","6.35","51.81","16.21","35.85","3.52","2.68","0.31","33.72","73.02","6.88","58.89","2.83","43.24","0.05","0","0.08","0","0.08","2.68","57.14","4.05","52.83","1.53","5.73","68"
"J. Pršir","Croatia 1.","Gorica","AMF, LCMF, RCMF","25","2500000","2026-08-31","13","1174","3","0","Croatia","right","181","6.44","5.6","63.01","2.53","33.33","0.23","3.21","1.92","0.15","0.2","0.08","1.92","28","12","1.07","35.71","1.61","61.9","7.9","44.66","2.45","1.69","0.15","27.9","85.99","7.28","71.58","1.3","64.71","0.13","0","0.15","0","0.46","3.99","80.77","1.76","56.52","0.84","3.6","87.23"
"D. Maresić","Croatia 1.","Istra 1961","LCB","26","750000","2026-06-30","12","1172","0","0","Austria","right","183","8.22","2.99","74.36","2.53","54.55","0.77","7.28","0.08","0","0","0","0.08","0","0","0","0","0.08","0","1.92","40","0.15","2.3","0.08","55.52","84.79","27.26","75.49","10.75","55.71","0.03","0","0.23","33.33","0.08","11.21","65.07","1","23.08","0.31","14.05","78.69"
"A. Kavelj","Croatia 1.","Gorica","RCMF, LCMF, LDMF","20","0","","13","1169","2","1","Croatia","right","0","7.93","5.54","63.89","3.39","63.64","0.08","4.75","0.77","0.15","0.13","0","0.85","36.36","18.182","0.85","27.27","0.62","37.5","2.69","40","1.46","0.54","0","23.17","70.76","10.16","60.61","2.39","38.71","0.1","0.08","0","0","0.31","3.54","63.04","1.23","43.75","0.54","4","67.31"
"T. Fruk","Croatia 1.","Rijeka","CF, AMF, RCMF","24","5000000","2027-06-15","13","1168","4","1","Croatia","left","177","3.16","3.16","63.41","2.85","27.03","0.08","1.7","3.24","0.23","0.33","0","2.39","25.81","12.903","2.08","37.04","3.62","51.06","12.25","45.91","2.77","1.62","0.46","29.9","79.64","9.55","69.35","2.39","70.97","0.16","0.15","0.08","0","0.62","4.7","77.05","3.01","53.85","1.23","5.16","80.6"
"Z. Šarlija","Croatia 1.","Hajduk Split","RCB, LCB","29","2000000","","12","1128","1","1","Croatia","right","189","7.1","5.03","53.97","4.47","66.07","0.4","7.24","0.64","0.08","0.05","0","0.32","50","25","0","0","0.56","85.71","2.79","71.43","0.96","1.28","0.08","54.73","90.52","17.95","82.67","2.95","32.43","0.03","0.08","0","0","0.08","3.83","58.33","0.48","16.67","0.4","5.27","62.12"
"K. Pavičić","Croatia 1.","Vukovar","RB, LCB, LB","26","50000","","12","1116","0","0","Croatia","right","0","10.32","5.08","58.73","2.34","48.28","0.4","7.36","0.89","0","0.03","0","0.4","20","0","1.61","35","0.56","42.86","1.53","47.37","0.56","0.4","0.32","29.76","75.07","12.34","64.71","5.4","47.76","0.01","0","0","0","0.08","3.55","47.73","1.61","35","0","6.77","58.33"
"A. Stojakovic","Croatia 1.","Lokomotiva Zagreb","CF","21","0","","13","1107","3","1","Slovenia","","0","2.85","3.66","42.22","4.07","28","0.08","1.76","2.28","0.24","0.34","0","1.79","45.45","13.636","1.3","43.75","1.54","57.89","5.85","33.33","3.58","1.22","0.24","17.64","75.12","4.07","56","1.06","38.46","0.07","0","0","0","0.49","1.63","55","1.06","84.62","1.14","2.03","80"
"O. Hadzikić","Croatia 1.","Slaven Belupo","GK","29","700000","","11","1098","0","0","Austria","right","189","0.98","0.08","100","0.33","100","0","0.98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.23","81.47","12.13","68.24","9.67","62.71","0.01","0","0","0","0.08","2.13","42.31","0.16","50","0.08","6.39","67.95"
"M. Bulat","Croatia 1.","Vukovar","GK","26","0","","11","1082","0","0","Croatia","right","194","1.16","0.25","33.33","0.17","100","0","1.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.22","78.36","8.57","65.05","6.65","58.75","0","0","0","0","0","1.66","40","0.17","0","0","4.74","77.19"
"Ž. Trontelj","Croatia 1.","Gorica","RB, RWB, RW","25","350000","2027-06-30","11","1081","1","3","Slovenia","right","177","7.91","6.66","61.25","2","41.67","0","4.19","3.25","0.08","0.05","0","0.42","60","20","5","45","1.75","42.86","4.08","40.82","1.08","1.83","0.33","35.8","72.09","12.07","63.45","4.58","47.27","0.25","0.08","0.17","0","1.58","4.66","64.29","5.49","54.55","1.42","8.58","76.7"
"R. Pukštas","Croatia 1.","Hajduk Split","AMF","21","0","2027-05-31","12","1078","4","0","United States","right","181","7.01","6.85","60.98","8.35","54","0.17","4.54","3.34","0.33","0.3","0.17","2.09","32","16","0.58","42.86","3.09","75.68","9.43","46.9","4.26","3.26","0.17","21.54","75.58","7.1","70.59","1.67","50","0.07","0.08","0.17","50","0.25","4.01","68.75","1","66.67","1.17","3.34","65"
"Iker Pozo","Croatia 1.","Gorica","LCMF, DMF, RCMF","25","350000","2026-06-15","12","1074","2","2","Spain","right","176","8.63","7.54","58.89","2.26","37.04","0.17","4.8","1.59","0.17","0.05","0","0.42","40","40","0.75","44.44","1.93","56.52","7.21","47.67","1.01","1.68","0.25","43.91","87.02","12.99","74.19","3.27","66.67","0.06","0.08","0.17","0","0.25","5.28","73.02","1.76","47.62","0.67","5.78","69.57"
"S. Lawal","Croatia 1.","Istra 1961","RAMF, CF, LAMF","22","0","","13","1072","3","1","Nigeria","right","184","4.87","4.37","55.77","3.95","29.79","0","2.75","3.02","0.25","0.21","0.08","1.93","34.78","13.043","2.52","30","3.95","40.43","10.24","35.25","3.69","3.44","1.01","19.06","68.28","3.69","50","1.01","33.33","0.11","0.08","0","0","0.17","1.76","47.62","2.18","50","0.84","2.6","67.74"
"D. Kolinger","Croatia 1.","Lokomotiva Zagreb","RCB","31","500000","","11","1062","0","0","Croatia","right","199","9.15","6.53","62.34","4.15","69.39","0.08","6.21","0.17","0","0.05","0","0.76","22.22","0","0.08","0","0","0","1.19","35.71","0.76","0.93","0","42.63","88.67","19.41","83.84","5.51","56.92","0","0","0","0","0","5.59","71.21","0.42","20","0.17","9.15","75.93"
"A. Majstorović","Croatia 1.","Rijeka","RCB","32","400000","","11","1057","0","1","Croatia","right","185","7.15","4.6","66.67","4.51","69.81","0.51","5.75","0.09","0","0.02","0","0.26","0","0","0.17","50","0","0","1.11","61.54","0.43","1.45","0","48.36","85.56","19.33","74.45","7.15","47.62","0","0","0","0","0","6.9","58.02","0.51","16.67","0","7.75","78.02"
"Sergi Domínguez","Croatia 1.","Dinamo Zagreb","RCB","20","0","2029-06-30","11","1048","1","0","Spain","right","191","8.59","6.01","72.86","4.72","69.09","0.34","5.73","0.77","0.09","0.12","0","1.12","15.38","7.692","0.17","50","0.52","83.33","1.63","63.16","1.29","1.89","0.26","63.98","86.44","26.19","75.74","5.24","45.9","0","0","0.26","33.33","0","9.1","67.92","1.03","33.33","0.17","10.48","69.67"
"J. Mitrović","Croatia 1.","Slaven Belupo","RB, LAMF, LWF","25","600000","2027-06-30","13","1047","4","1","Croatia","right","174","7.99","5.76","56.72","2.41","39.29","0","5.65","3.09","0.34","0.28","0.09","1.55","44.44","22.222","2.15","44","2.58","53.33","5.33","45.16","3.35","1.2","0.09","24.58","72.03","6.88","58.75","2.41","21.43","0.07","0","0.17","50","0.43","1.89","45.45","2.49","44.83","0.6","3.7","60.47"
"F. Krovinović","Croatia 1.","Hajduk Split","LDMF, AMF","30","2800000","2027-05-31","13","1046","1","0","Croatia","right","175","6.2","3.79","68.18","2.07","58.33","0.34","5.25","1.55","0.09","0.06","0","1.81","38.1","4.762","0.86","50","1.03","33.33","3.87","33.33","1.46","1.55","0.17","47.67","89.35","15.06","79.43","2.24","46.15","0.07","0.09","0.09","100","0.17","7.31","78.82","1.03","58.33","0.6","5.33","79.03"
