"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"P. Penev","Italy 3.","Lecce U20","GK","17","0","","31","3010","0","0","0","0.21","Bulgaria","unknown","0","no","1.5","0.15","40","0.48","100","0","1.91","0","0","0","0","0","0","0","0","0","0","0","0.18","100","0","0","0","26.97","79.49","17.13","69.81","14.05","62.55","0.01","0","0","3.8","44.88","0.3","0","0","10.52","74.15","1.29","3.77","65.87","1.17","-3.84","-0.115","1.5"
"N. Trapani","Italy 3.","Fiorentina U20","RB, LB","19","0","2027-06-30","30","2904","2","0.63","4","2.39","Italy","right","0","no","7.19","5.67","56.83","1.52","36.73","0.25","5.38","0.06","0.02","0","10","0.31","30","20","0.96","38.71","1.05","50","3.94","48.03","0.9","2.36","0.25","45.06","85.97","15.9","81.29","3.53","62.28","0.07","0.15","0.25","4.83","81.41","1.52","65.31","0.87","8.89","73.17","","","0","0","","",""
"R. Domeniconi","Italy 3.","Cesena U20","RCMF, RB, RWB","20","0","","30","2865","1","1.92","1","2.38","Italy","right","0","no","9.71","9.08","65.05","1.79","33.33","0.25","3.85","0.03","0.06","0","32","1.01","31.25","3.125","1.92","26.23","2.2","54.29","5.94","46.03","1.23","2.1","0.47","27.24","71.63","13.01","67.63","3.39","50","0.07","0.03","0.31","4.27","66.18","2.1","38.81","0.75","6.82","62.67","","","0","0","","",""
"M. Villa","Italy 3.","Monza U20","RCB","17","0","","30","2824","2","1.55","0","0.22","Italy","unknown","0","no","11.95","8.8","72.83","4.14","70.77","0.67","6.39","0.06","0.05","0.06","13","0.41","53.85","15.385","0.35","9.09","0.61","47.37","2.26","49.3","0.54","0.89","0.03","38.28","82.68","17.4","72.89","5.7","47.49","0.01","0","0.03","5.39","61.54","0.7","36.36","0.22","7.97","65.2","","","0","0","","",""
"W. Feola","Italy 3.","Hellas Verona U20","RCB, RB","20","0","2026-06-30","30","2821","0","1.04","5","4.81","Italy","right","0","no","10.43","7.91","64.92","2.04","48.44","0.45","6.14","0","0.03","0","25","0.8","32","0","2.62","37.8","0.99","45.16","2.55","41.25","0.35","1.02","0.1","42.27","73.51","20.51","64.39","8.49","43.61","0.15","0.1","0.32","6.83","55.14","3.25","43.14","0.41","10.82","65.78","","","0","0","","",""
"T. Bordoni","Italy 3.","Lazio U20","LCB","20","0","","29","2796","0","0.38","1","1.39","Italy","","0","no","8.85","5.79","72.22","1.71","60.38","0.55","5.17","0","0.01","0","8","0.26","50","0","0.87","40.74","0.64","60","2.93","51.65","0.58","1.77","0.23","41.07","79","20.28","67.78","9.43","44.03","0.04","0.03","0.06","8.21","54.51","1.67","36.54","0.35","10.56","73.17","","","0","0","","",""
"E. Sadotti","Italy 3.","Fiorentina U20","LCB","20","0","2028-06-30","29","2794","3","2.08","1","0.23","Italy","right","0","no","8.89","5.28","62.8","4.03","53.6","0.32","7.73","0.1","0.07","0","20","0.64","40","15","0.29","44.44","0.52","75","1.61","46","0.64","1.29","0.35","58.46","86.56","23","73.67","10.15","58.41","0.01","0.03","0.06","8.92","66.43","1.13","48.57","0.32","11.4","72.03","","","0","0","","",""
"M. Odero","Italy 3.","Genoa U20","RWB, RB","18","0","","30","2785","0","1.15","1","3.52","Italy","","0","no","10.11","7.85","71.6","1.71","41.51","0.32","5.56","0","0.04","0","18","0.58","16.67","0","3.39","35.24","3.52","65.14","6.43","52.26","1.36","3.49","0.78","31.83","71.78","11.6","58.22","6.14","53.68","0.11","0.1","0.29","3.55","46.36","2.88","42.7","0.61","7.43","62.61","","","0","0","","",""
"D. Pelosi","Italy 3.","Frosinone U20","CB, LCB","19","0","2026-06-30","29","2772","0","0.01","0","0","Italy","right","0","no","11.17","6.56","74.26","3.54","63.3","0.97","7.29","0","0","0","3","0.1","0","0","0","0","0.39","83.33","1.46","55.56","0.06","0.52","0.03","36.95","89.46","12.92","80.15","2.89","56.18","0","0","0","3.05","75.53","0.06","50","0.06","5.29","62.58","","","0","0","","",""
"L. Ferrari","Italy 3.","Lazio U20","RWB, RB","20","0","2026-06-30","30","2758","1","1.29","4","2.54","Italy","right","0","no","9.72","8.42","63.18","2.25","42.03","0.16","5.04","0.03","0.04","0","21","0.69","19.05","4.762","4.27","14.5","3.03","64.52","5.78","44.63","1.17","1.63","0.29","29.6","71.55","11.78","69.53","3.17","45.36","0.08","0.03","0.33","4.21","65.12","2.77","21.18","0.16","6.33","66.49","","","0","0","","",""
