"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"I. Melesh","Germany 1.","Rot-Weiß Oberhausen U17","LB","16","0","","17","1651","0","1.3","1","0.82","Ukraine","unknown","0","no","14.34","9.65","70.62","2.24","41.46","0.38","7.88","0","0.07","0","11","0.6","45.45","0","2.24","24.39","1.91","68.57","4.74","48.28","0.38","1.36","0.22","31.84","57.02","17.83","46.79","8.39","30.52","0.04","0.05","0.22","6.98","46.88","3.49","29.69","0.44","10.08","51.89","","","0","0","","",""
"K. Hendrix","Germany 1.","Borussia M'gladbach U17","LCB","17","0","2026-06-30","17","1637","0","1.24","0","0.06","Netherlands","","0","no","8.41","5.28","66.67","2.91","64.15","0.99","6.52","0","0.07","0","9","0.49","22.22","0","0","0","0.27","60","1.81","39.39","0.55","0.16","0","55.75","86.98","23.09","77.62","6.87","54.4","0","0","0","4.62","60.71","0.38","28.57","0.11","10.94","63.82","","","0","0","","",""
"L. Hönning","Germany 1.","Borussia M'gladbach U17","RCB","17","0","2026-06-30","17","1612","2","0.95","0","0.01","Germany","unknown","0","no","7.15","5.92","68.87","2.68","43.75","0.39","4.13","0.11","0.05","0.11","7","0.39","28.57","28.571","0","0","0.06","100","1","44.44","0.56","0.84","0","53.15","85.92","21.55","71.76","8.04","41.67","0","0","0","6.42","59.13","0.84","26.67","0.22","9.83","63.07","","","0","0","","",""
"B. Demirhan","Germany 1.","MSV Duisburg U17","LCB, LB","17","0","","17","1598","1","1.16","0","0.7","Germany","unknown","0","no","9.91","6.25","71.17","1.69","56.67","0.79","5.69","0.06","0.07","0.06","11","0.62","45.45","9.091","0.34","16.67","0.62","63.64","3.15","28.57","0.79","1.18","0.45","45.9","84.42","18.02","70.94","6.08","44.44","0.04","0.06","0.11","3.38","55","0.51","44.44","0.17","7.83","51.08","","","0","0","","",""
"J. Feldbusch","Germany 1.","Karlsruher SC U17","CB, RCB","16","0","2026-06-30","17","1588","2","1.42","2","0.5","Germany","right","0","no","6.97","3","77.36","2.89","76.47","0.45","4.55","0.11","0.08","0.06","5","0.28","80","40","0.28","40","0.17","0","1.13","45","0.57","0.45","0","39.33","82.13","15.47","64.84","6.97","54.47","0.03","0","0.11","4.53","52.5","0.79","35.71","0.23","8.22","62.76","","","0","0","","",""
"J. Bierschenk","Germany 1.","MSV Duisburg U17","RCMF, RCB, DMF","16","0","","17","1570","2","2.91","2","1.79","Germany","","0","no","12.21","7.45","69.23","1.78","45.16","0.63","7.39","0.11","0.17","0","13","0.75","53.85","15.385","0.69","58.33","0.69","66.67","2.75","35.42","1.32","1.03","0","35.89","78.27","12.78","59.64","5.62","45.92","0.1","0.06","0.29","5.04","54.55","1.15","50","0.4","7.11","56.45","","","0","0","","",""
"L. Berreth","Germany 1.","Stuttgart U17","CB, RCB","16","0","2028-06-30","17","1568","2","1.74","0","0.65","Germany","","0","no","12.4","8.72","81.58","3.62","55.56","0.46","7.07","0.11","0.1","0.11","12","0.69","66.67","16.667","0.29","20","0.52","77.78","2.87","48","1.15","1.55","0","66.98","90.57","27.84","84.74","3.39","50.85","0.04","0","0.06","8.32","80.69","0.75","46.15","0.34","10.96","81.15","","","0","0","","",""
"D. Byczkowski","Germany 1.","Rot-Weiß Oberhausen U17","CF, RW, RAMF","17","0","","17","1548","11","6.35","3","3.2","Germany","","0","no","7.33","7.21","65.32","1.45","40","0","2.4","0.64","0.37","0","43","2.5","51.16","25.581","2.44","14.29","5.35","46.74","12.56","34.72","4.53","2.85","0.64","15.29","58.17","5.52","58.95","1.16","50","0.19","0.17","0.47","2.38","56.1","1.92","27.27","1.1","3.02","61.54","","","0","0","","",""
"F. Gottswinter","Germany 1.","Jahn Regensburg U17","GK","16","0","2027-06-30","16","1543","0","0","0","0","Germany","","0","no","2.16","0","0","0.58","70","0","2.88","0","0","0","0","0","0","0","0","0","0","0","0.17","100","0","0","0","27.65","83.54","15.22","72.41","10.03","62.79","0","0","0","2.68","47.83","0.41","28.57","0.06","8.34","69.23","1.4","3.56","60.66","1.24","-2.75","-0.16","2.16"
"F. Benninghoff","Germany 1.","Holstein Kiel U17","RCMF, LCMF","","0","2027-06-30","16","1543","13","8","2","2.66","Germany","","0","no","7.58","6.01","63.11","1.46","52","0.29","4.15","0.35","0.47","0.06","36","2.1","44.44","36.111","0.64","72.73","2.8","45.83","7.52","34.88","0.7","1.92","0.35","31.91","72.94","14.82","62.2","3.44","49.15","0.15","0.06","0.23","5.95","57.84","1.98","55.88","0.82","7.7","65.91","","","0","0","","",""
