"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"Y. Diouf","France 1.","Nice","GK","25","8000000","2027-06-30","7","716","0","0","France","right","184","1.26","0","0","0.38","100","0","1.79","0","0","0","0","0","0","0","0","0","0","0","0.25","50","0","0","0","20.11","86.88","9.05","72.22","4.9","51.28","0","0","0","0","0","0.63","0","0.13","0","0","3.27","53.85"
"L. Abergel","France 1.","Lorient","LCMF, RCMF, DMF","32","3000000","2029-06-30","7","714","0","0","France","right","170","5.92","4.66","59.46","0.76","66.67","0.13","3.36","0.38","0","0.05","0","0.88","14.29","0","0.25","50","0.5","0","2.65","42.86","0.38","0.5","0","55.97","88.29","16.64","77.27","6.43","62.75","0.03","0","0.25","50","0.13","10.34","76.83","1.01","25","0","7.82","77.42"
"M. Talbi","France 1.","Lorient","CB","27","7000000","2027-06-30","7","714","0","0","France","right","190","5.92","3.4","62.96","3.28","61.54","0.5","4.21","0.13","0","0","0","0","0","0","0.13","100","0","0","0.63","20","0.5","0.88","0.13","38.19","94.06","14.62","87.93","3.15","60","0","0","0","0","0","3.03","83.33","0.5","25","0.25","5.04","85"
"G. Restes","France 1.","Toulouse","GK","20","0","","7","712","0","0","France","left","186","1.14","0.13","100","0.76","100","0","1.16","0","0","0","0","0","0","0","0","0","0","0","0.13","100","0","0","0","14.92","84.75","7.84","75.81","5.94","65.96","0","0","0","0","0","1.26","40","0","0","0","4.8","71.05"
"C. Cresswell","France 1.","Toulouse","CB","23","4000000","2028-06-30","7","712","1","0","England","right","190","6.95","2.65","76.19","7.96","61.9","1.26","5.51","0.13","0.13","0.19","0","0.76","16.67","16.667","0","0","0","0","0.76","16.67","0.76","0.25","0","37.04","90.44","13.4","77.36","6.32","64","0","0","0","0","0","4.93","66.67","0.38","0","0","6.19","85.71"
"M. McKenzie","France 1.","Toulouse","RCB, LCB","26","6000000","2027-06-30","7","712","0","0","United States","right","184","9.48","6.19","63.27","3.54","32.14","0.88","6.38","0.13","0","0","0","0","0","0","0.25","50","0","0","0.51","50","0.38","0.25","0.13","34.76","89.82","15.42","81.15","3.16","48","0.02","0","0.13","0","0.13","3.92","80.65","0.51","25","0.13","5.94","80.85"
"A. Dønnum","France 1.","Toulouse","RWF, RWB, RW","27","3500000","2028-06-30","7","712","1","1","Norway","left","179","5.56","5.31","54.76","0.25","100","0","3.04","3.29","0","0.15","0","1.14","44.44","11.111","2.4","31.58","3.54","57.14","8.97","43.66","1.26","2.15","0","31.1","80.08","8.85","65.71","2.91","65.22","0.14","0.13","0.38","0","0.25","4.3","73.53","3.67","44.83","1.14","5.56","84.09"
"M. Mbow","France 1.","Paris","RCB, LCB","25","1000000","2026-06-30","7","707","0","0","Senegal","right","192","5.09","3.18","64","2.55","65","0.76","3.75","0.13","0","0.02","0","0.25","50","0","0","0","0","0","1.15","22.22","0.64","0.51","0.13","54.61","92.31","19.09","84.67","4.71","59.46","0","0","0","0","0","4.71","78.38","0","0","0","5.6","65.91"
"M. López","France 1.","Paris","RCMF, LCMF","27","7500000","2027-06-30","7","707","0","1","France","right","167","3.44","4.58","47.22","0.13","0","0.13","1.7","1.78","0","0.05","0","0.51","75","0","2.04","50","1.15","33.33","1.65","38.46","1.4","1.78","0.13","76","91.96","22.53","85.88","6.87","75.93","0.21","0.25","0.13","0","0.51","11.58","78.02","3.44","66.67","1.4","9.67","88.16"
"K. Lala","France 1.","Brest","RB","34","3000000","","7","706","0","1","France","right","178","8.29","7.39","63.79","2.17","47.06","0.38","4.13","2.8","0","0.03","0","0.38","0","0","2.93","69.57","0.76","83.33","3.44","48.15","0.38","1.53","0.25","42.2","77.34","17.34","65.44","8.92","52.86","0.11","0","0.13","100","0.51","7.52","57.63","4.59","63.89","1.15","12.49","70.41"
"N. Ngoy","France 1.","Lille","RCB","22","3500000","","7","706","0","1","Belgium","right","183","7.14","5.74","53.33","2.29","72.22","0.38","5.25","0.25","0","0.07","0","0.89","0","0","0.25","50","0.38","33.33","1.02","37.5","0.89","1.15","0","54.18","91.29","17.85","84.29","5.35","64.29","0.05","0","0","0","0.25","5.74","80","0.25","50","0.25","7.65","75"
"I. Soumaré","France 1.","Le Havre","LW, CF, LAMF","24","800000","2026-06-30","7","705","3","1","Senegal","right","182","4.85","4.21","72.73","6.26","36.73","0","2.07","4.72","0.26","0.45","0","1.66","53.85","23.077","2.68","52.38","3.32","73.08","9.06","46.48","2.17","1.66","0.13","19.66","76.62","2.94","73.91","0.89","85.71","0.2","0.13","0","0","0.51","1.4","72.73","2.81","59.09","0.64","3.06","87.5"
"M. Diaw","France 1.","Le Havre","GK","32","1800000","2026-06-30","7","705","0","1","France","right","197","2.17","0.13","0","0.38","100","0","2.71","0","0","0","0","0","0","0","0","0","0","0","0.13","100","0","0","0","26.04","89.22","10.47","74.39","6.38","66","0.03","0","0","0","0.13","1.53","50","0.26","50","0.13","5.87","67.39"
"G. Lloris","France 1.","Le Havre","LCB","30","3000000","2026-06-30","7","705","0","1","France","left","192","7.4","4.34","73.53","3.57","50","0","5.11","0.13","0","0.02","0","0.13","0","0","0.13","100","0","0","0.51","0","0.38","0.77","0","57.57","94.46","16.09","82.54","4.85","60.53","0.01","0","0","0","0","3.83","66.67","0.38","66.67","0","5.62","75"
"A. Maitland-Niles","France 1.","Olympique Lyonnais","RB, RAMF","28","9000000","2027-06-30","7","703","0","2","England","right","180","9.6","7.94","51.61","1.92","40","0.13","8.03","1.28","0","0.04","0","0.38","0","0","1.66","23.08","1.41","63.64","3.84","50","0.9","0.9","0","38.28","82.61","13.06","69.61","3.2","28","0.09","0","0","0","0.38","3.84","63.33","2.18","41.18","1.02","4.35","50"
"M. Niakhaté","France 1.","Olympique Lyonnais","LCB","29","16000000","2028-06-30","7","703","0","0","France","left","190","8.83","5.25","65.85","5.12","67.5","0.64","8.03","0.13","0","0","0","0.13","0","0","0","0","0","0","1.28","60","0.26","1.15","0","62.86","90.84","29.32","86.03","4.74","40.54","0.01","0","0.26","50","0.13","5.38","69.05","1.02","37.5","0.51","8.96","70"
"J. Fischer","France 1.","Metz","GK","23","1700000","2028-12-31","7","701","0","0","Denmark","left","197","2.31","0","0","0.64","80","0","2.76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31.58","89.43","11.94","74.19","7.06","52.73","0","0","0","0","0","1.8","28.57","0.13","0","0","3.72","62.07"
"J. Jacquet","France 1.","Rennes","CB, RCB","20","0","","7","700","0","0","France","right","188","8.36","5.14","57.5","2.83","77.27","0.39","6.94","0.13","0","0","0","0","0","0","0","0","0.9","14.29","2.7","33.33","0","0.77","0","52.07","91.85","17.49","83.82","3.34","61.54","0","0","0","0","0","5.14","90","0.26","50","0","6.69","75"
"B. Samba","France 1.","Rennes","GK","31","15000000","2028-06-30","7","700","0","0","Congo","left","187","1.93","0.13","100","0","0","0","2.43","0","0","0","0","0","0","0","0","0","0","0","0.39","66.67","0","0","0","33.3","82.63","14.91","63.79","9.77","42.11","0","0","0","0","0","2.19","11.76","0.26","0","0","5.66","54.55"
"R. Risser","France 1.","Lens","GK","20","0","","7","696","0","0","France","right","193","1.29","0","0","0","0","0","1.53","0","0","0","0","0","0","0","0","0","0","0","0.13","100","0","0","0","21.72","84.52","10.99","71.76","7.89","65.57","0","0","0","0","0","1.29","30","0","0","0","5.95","65.22"
"A. Thomasson","France 1.","Lens","LCMF, RCMF","31","5000000","2026-06-30","7","696","1","2","France","right","175","9.83","8.02","66.13","1.55","33.33","0.13","5.36","1.16","0.13","0.17","0","1.55","33.33","8.333","0.91","28.57","1.16","33.33","4.4","41.18","2.07","0.39","0.13","38.02","82.65","12.93","67","3.88","56.67","0.2","0.26","0","0","0.65","2.97","60.87","1.03","75","1.03","5.04","61.54"
"M. Sarr","France 1.","Lens","LCB, CB","26","4000000","2026-06-30","7","696","0","0","France","left","183","8.15","3.1","83.33","2.97","65.22","0.78","6.58","0.13","0","0.12","0","0.39","0","0","0.26","50","0.13","0","1.16","33.33","0.65","0.26","0","39.18","85.48","15","80.17","4.01","67.74","0","0","0","0","0","4.14","84.38","0.26","50","0","7.5","58.62"
"T. Tessmann","France 1.","Olympique Lyonnais","RDMF, LDMF, RCMF","24","7000000","2029-06-30","7","696","1","0","United States","right","188","8.79","4.66","63.89","1.81","50","0.91","7.88","1.42","0.13","0.14","0","1.03","37.5","12.5","0.39","33.33","1.16","77.78","4.53","60","0.91","1.03","0.13","44.22","86.84","13.58","78.1","3.88","60","0.04","0","0","0","0.26","6.85","71.7","0.52","25","0.39","5.82","77.78"
"A. Lopes","France 1.","Nantes","GK","35","4000000","","7","695","0","0","France","left","184","1.81","0.13","100","0.78","100","0","1.89","0","0","0","0","0.13","0","0","0","0","0","0","0.26","50","0.13","0","0","32.37","91.6","11.78","79.12","9.45","73.97","0","0","0","0","0","1.17","33.33","0","0","0","7.77","73.33"
"L. Ajorque","France 1.","Brest","CF","31","3000000","2026-06-30","7","695","1","3","Réunion","right","196","3.88","2.98","43.48","11.27","59.77","0.26","2.81","0.91","0.13","0.42","0","2.07","25","6.25","0","0","0.39","100","8.42","21.54","3.5","0.39","0.13","18.39","78.17","1.68","61.54","2.07","75","0.08","0.13","0","0","0.39","0.91","85.71","0.13","0","0.65","1.42","36.36"
"K. Amian","France 1.","Nantes","RB","27","2500000","2028-06-30","7","695","0","0","France","right","180","7.51","4.92","47.37","1.55","83.33","0.39","5.24","0.91","0","0","0","0.52","0","0","1.17","33.33","0.65","80","2.33","66.67","0.52","1.29","0.13","38.33","82.77","18.78","74.48","4.01","35.48","0.06","0","0","0","0.26","5.83","64.44","1.29","30","0.26","7.25","66.07"
