"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"J. Prior","Scotland 1.","Livingston","GK","30","400000","","12","1193","0","0","0","0","France","right","187","3.09","0.15","50","0.15","100","0","3.91","0","0","0","0","0","0","0","0","0","0","0","0.3","100","0","0","0","23.84","86.71","12.45","76.97","10.64","72.34","0","0","0","1.36","61.11","0","0","0","7.69","69.61"
"S. Findlay","Scotland 1.","Hearts","LCB","30","600000","2026-06-30","12","1176","3","1.14","0","0.19","Scotland","left","191","5.74","2.91","73.68","6.2","61.73","0.38","5.19","0.99","0.23","0.09","0.23","0.77","60","30","0.46","50","0.38","60","1.53","65","1.15","1.22","0","39.41","88.74","15","79.59","5.82","59.21","0.01","0.08","0.15","5.89","64.94","0.84","45.45","0.23","7.04","81.52"
"C. Devlin","Scotland 1.","Hearts","LCMF, RCMF, DMF","27","1000000","2026-05-31","12","1176","0","0.51","0","0.3","Australia","right","170","11.86","8.8","66.09","2.53","45.45","0.08","8.19","1.22","0","0.04","0","0.69","22.22","0","0.77","30","0.46","50","4.44","48.28","0.61","0.15","0","52.88","87.99","16.76","80.37","4.13","59.26","0.02","0.69","0.08","7.5","79.59","2.14","53.57","0.99","7.35","80.21"
"K. Adams","Scotland 1.","Falkirk","RB","24","0","2027-06-30","12","1170","0","0.42","1","0.72","Scotland","unknown","0","10.46","8.62","63.39","3.62","40.43","0.46","7.3","1.46","0","0.03","0","0.31","25","0","2.38","29.03","1.69","40.91","3.69","39.58","0.85","1.85","0.77","33.62","74.14","13.23","61.05","2.46","34.38","0.06","0","0.31","4.15","55.56","2","34.62","0.15","6.54","55.29"
"L. Henderson","Scotland 1.","Falkirk","LCB","29","100000","2026-05-31","12","1170","1","0.46","0","0","Scotland","left","191","7","4.62","58.33","6.92","62.22","0.62","5.62","0.38","0.08","0.04","0.08","0.31","75","25","0.23","33.33","0.15","50","1.15","80","0.38","0.15","0.08","42.31","86.36","16.38","73.24","6.08","51.9","0","0","0","5.38","55.71","0.69","22.22","0.15","7","68.13"
"J. McCracken","Scotland 1.","Dundee","GK","25","250000","2026-06-30","12","1169","0","0","0","0","Scotland","right","190","1.69","0.08","100","0.54","100","0","1.71","0","0","0","0","0","0","0","0","0","0","0","0.15","50","0","0","0","21.09","70.07","13.86","56.67","11.16","46.9","0","0","0","5.54","34.72","0.62","25","0.15","6.31","64.63"
"R. Astley","Scotland 1.","Dundee","RCB","24","600000","2026-05-31","12","1169","1","0.59","0","0.03","Wales","right","184","8.24","5","66.15","4.08","67.92","0.69","5.04","0.23","0.08","0.05","0.08","0.38","40","20","0.31","25","0.15","0","1.46","36.84","0.31","0.46","0","31.49","81.17","15.01","71.28","3.93","35.29","0","0","0","4.16","48.15","0.38","0","0","5.39","64.29"
"S. Bain","Scotland 1.","Falkirk","GK","33","250000","2026-05-31","12","1148","0","0","0","0","Scotland","right","183","1.41","0.08","100","0.31","100","0","1.94","0","0","0","0","0","0","0","0","0","0","0","0.24","100","0","0","0","24.22","90.29","13.09","83.83","8.62","73.64","0","0","0","3.06","64.1","0","0","0","6.11","84.62"
"L. Shankland","Scotland 1.","Hearts","CF","30","4000000","2028-05-31","12","1148","7","5.15","1","0.82","Scotland","right","185","3.45","2.2","67.86","4.86","40.32","0.16","2.96","1.96","0.39","0.4","0","2.12","51.85","25.926","1.1","7.14","1.1","57.14","7.13","26.37","3.14","0.63","0.08","25.64","70.64","7.92","54.46","1.72","63.64","0.06","0.24","0.39","2.9","59.46","1.88","45.83","1.02","2.98","68.42"
"B. Spencer","Scotland 1.","Falkirk","LDMF, RDMF","29","200000","","12","1146","0","0.95","1","1.43","England","right","173","10.6","6.68","63.53","3.3","52.38","0.31","8.77","0.94","0","0.07","0","0.86","45.45","0","0.79","40","0.24","100","1.73","77.27","0.71","1.18","0.08","50.81","82.84","17.91","69.3","6.2","46.84","0.11","0","0.24","8.25","62.86","1.49","52.63","0.55","8.95","68.42"
"D. Watson","Scotland 1.","Kilmarnock","RCMF, RW, LCMF","20","0","2026-05-31","12","1139","3","2.52","1","0.33","Scotland","right","0","7.82","7.43","53.19","2.37","33.33","0.4","3.6","1.66","0.24","0.2","0.08","1.19","46.67","20","1.42","44.44","1.19","33.33","6.4","39.51","1.03","0.63","0.32","20.86","70.83","7.82","59.6","3.63","41.3","0.03","0.08","0.32","4.11","50","2.21","50","0.79","4.58","70.69"
"H. Milne","Scotland 1.","Hearts","RW, LB, LWB","29","250000","2026-06-30","12","1114","1","1.59","4","2.47","Scotland","","0","8.08","6.62","67.07","5.01","69.35","0.16","4.2","2.67","0.08","0.13","0","1.54","15.79","5.263","3.23","32.5","2.26","57.14","6.06","45.33","2.26","1.62","0","36.36","76.44","11.47","64.08","2.5","48.39","0.2","0.16","0.48","4.93","63.93","2.99","48.65","0.73","7.92","76.53"
"J. Butland","Scotland 1.","Rangers","GK","32","3000000","2027-05-31","11","1087","0","0","0","0","England","right","196","1.57","0","0","0.25","100","0","2.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.59","86.2","13.33","77.64","6.21","52","0","0","0","1.74","33.33","0.25","0","0","4.39","62.26"
"J. Souttar","Scotland 1.","Rangers","RCB, LCB, CB","29","3000000","2026-05-31","11","1087","0","0.87","0","0","Scotland","right","186","5.96","2.9","68.57","5.96","50","0.41","6.39","0.33","0","0.07","0","0.66","25","0","0.08","100","0.08","0","1.08","53.85","0.83","1.57","0","68.72","93.86","25.09","88.12","4.55","63.64","0","0.08","0","8.78","80.19","0.33","50","0","10.85","84.73"
"B. Esselink","Scotland 1.","Dundee United","CB, RCB","26","500000","","11","1087","1","1.45","0","0","Netherlands","right","191","7.2","4.06","67.35","5.46","54.55","0.66","5.34","0.25","0.08","0.12","0.08","0.41","40","20","0.25","33.33","0.17","0","0.99","25","0.58","0.17","0","39.08","81.14","18.46","67.26","7.04","52.94","0","0","0.08","4.06","48.98","0.66","37.5","0.17","7.87","62.11"
"K. Keresztes","Scotland 1.","Dundee United","LCB","25","200000","2026-05-31","11","1087","1","0.37","0","0.25","Hungary","left","0","10.85","5.55","68.66","4.39","75.47","0.75","8.75","0.66","0.08","0.03","0","0.33","25","25","0.33","25","0.66","75","2.73","54.55","0.75","0.91","0.08","33.04","76.44","17.22","66.35","5.71","47.83","0.02","0.08","0.08","4.97","58.33","0.91","45.45","0.66","8.94","53.7"
"Y. Kucherenko","Scotland 1.","Dundee United","GK","26","250000","2027-12-31","11","1087","0","0","0","0","Ukraine","left","192","1.49","0","0","0.91","90.91","0","1.92","0","0","0","0","0","0","0","0","0","0","0","0.17","50","0","0","0","14.08","72.35","10.27","66.94","8.03","59.79","0","0","0","1.99","45.83","0","0","0","6.54","72.15"
"C. Ward","Scotland 1.","Motherwell","GK","25","250000","","11","1080","0","0","0","0","England","right","188","2.08","0.17","100","0.58","100","0","2.83","0","0","0","0","0","0","0","0","0","0","0","0.08","100","0","0","0","43.42","91.55","20","84.17","9.5","70.18","0","0","0","3","63.89","0","0","0","6.92","67.47"
"M. Sylla","Scotland 1.","Livingston","LDMF, RDMF, RCB","31","125000","","12","1075","1","0.93","0","0.62","France","right","189","11.39","7.7","61.96","3.52","42.86","0.5","7.47","0.42","0.08","0.08","0.08","0.5","33.33","16.667","0.25","33.33","0.84","20","4.94","37.29","0.67","0.59","0.25","28.55","75.37","11.47","59.12","3.52","38.1","0.05","0","0.17","4.1","61.22","0.75","33.33","0.25","5.86","48.57"
