"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"J. Meierhofer","Austria 1.","Grazer AK","GK","27","350000","2026-06-30","11","1094","0","0","Austria","right","187","2.06","0","0","0.49","83.33","0","2.7","0","0","0","0","0","0","0","0","0","0","0","0.16","50","0","0","0","20.16","81.22","11.35","68.84","8.39","60.78","0","0","0","0","0","4.03","51.02","0.25","0","0.08","6.5","79.75"
"P. Koller","Austria 1.","Rheindorf Altach","LCB","23","1000000","2026-06-30","11","1085","0","0","Austria","left","186","7.63","3.65","75","5.23","57.14","0.08","7.63","0.33","0","0.03","0","0.5","0","0","0.41","20","0.25","100","1.49","55.56","0.58","1.33","0","48.61","86.86","18.08","77.52","5.23","52.38","0.03","0","0","0","0.17","6.3","72.37","1.24","33.33","0.5","7.96","78.13"
"D. Stojanović","Austria 1.","Rheindorf Altach","GK","32","600000","","11","1085","0","0","Austria","left","196","2.07","0.17","100","0.5","83.33","0","3.03","0","0","0","0","0","0","0","0","0","0","0","0.25","100","0","0","0","26.63","83.8","17.42","76.19","13.27","69.38","0","0","0","0","0","5.31","56.25","0.33","0","0","10.12","86.89"
"F. Wilfinger","Austria 1.","Hartberg","LCB","22","0","2026-06-30","11","1076","1","0","Austria","","178","10.12","5.77","63.77","2.68","56.25","0.5","6.15","0.59","0.08","0.04","0.08","0.25","100","33.333","0.33","75","0.25","33.33","1.51","61.11","0.5","0.42","0","36.3","85.02","15.56","77.96","3.6","44.19","0.07","0","0","0","0.08","3.18","73.68","0.59","42.86","0.08","8.03","64.58"
"T. Hülsmann","Austria 1.","Hartberg","GK","21","250000","2026-06-30","11","1076","0","1","Germany","right","200","2.34","0.25","0","0.75","88.89","0","2.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.16","85.48","10.71","75","7.28","63.22","0.04","0","0","0","0.08","3.76","66.67","0.25","33.33","0.08","5.6","79.1"
"L. Jungwirth","Austria 1.","LASK","GK","21","200000","","11","1074","0","0","Austria","right","177","1.34","0","0","0.25","33.33","0","2.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.7","89.88","9.05","78.7","4.36","57.69","0","0","0","0","0","0.67","0","0.17","0","0","3.69","70.45"
"J. Italiano","Austria 1.","Grazer AK","LWB, LB","24","125000","","11","1070","0","0","Australia","right","177","9.08","5.8","65.22","1.43","29.41","0.34","7","3.2","0","0.03","0","0.5","16.67","0","2.02","20.83","4.79","56.14","8.41","48","0.59","2.86","1.01","25.82","72.31","10.35","65.04","3.11","54.05","0.02","0","0","0","0.08","2.86","70.59","2.27","48.15","0.76","6.64","65.82"
"B. Markuš","Austria 1.","Hartberg","DMF, RCMF","24","400000","2026-06-30","11","1024","0","1","Slovenia","right","185","8.26","6.33","69.44","2.2","52","0.7","3.88","0.44","0","0.03","0","0.53","16.67","0","0.26","33.33","0.53","50","2.99","38.24","0.44","0.26","0.09","31.38","78.71","12.13","60.87","4.39","54","0.06","0","0","0","0.18","4.48","66.67","0.79","55.56","0.35","6.33","56.94"
"D. Vincze","Austria 1.","Hartberg","RCB","21","200000","","11","1005","0","0","Austria","","188","12","8.33","67.74","3.31","64.86","0.36","6.07","0.36","0","0.03","0","0.27","0","0","0.09","100","0.36","75","2.06","34.78","0.27","0.45","0","27.4","84.31","12.81","76.22","2.78","61.29","0","0","0","0","0","3.4","76.32","0.18","0","0","4.93","54.55"
"B. Owusu","Austria 1.","Grazer AK","LCB, RCB","22","0","2027-06-30","10","993","1","0","France","right","185","9.52","5.17","68.42","3.17","40","0.45","7.62","0.73","0.09","0.06","0","0.27","33.33","33.333","0.18","50","0.73","75","3.99","65.91","0.18","0.54","0.09","38.7","82.2","20.66","72.81","7.89","50.57","0","0","0","0","0","7.25","53.75","1","36.36","0.18","6.89","68.42"
"K. Jørgensen","Austria 1.","LASK","RB, RWB","25","700000","2025-12-31","11","989","1","1","Denmark","right","185","3.82","3.19","51.43","2.37","46.15","0.27","3.29","2.09","0.09","0.16","0","1.09","33.33","8.333","3.09","35.29","1.09","58.33","3.55","41.03","1.82","1.27","0.27","41.77","79.96","13.56","69.13","5.64","54.84","0.06","0","0","0","0.36","5.46","68.33","2.55","50","0.73","8.1","70.79"
"B. Zech","Austria 1.","Rheindorf Altach","RCB, CB","34","200000","","10","989","0","0","Austria","right","186","6.37","4.91","62.96","2.55","71.43","0.55","5.19","0.09","0","0.04","0","0.18","50","0","0","0","0","0","1.46","62.5","0.27","2","0.09","54.6","88.17","22.57","81.05","6.73","52.7","0","0","0","0","0","6.92","73.68","0.55","16.67","0.18","10.01","74.55"
"A. Leitner","Austria 1.","Ried","GK","31","300000","","10","987","0","0","Austria","both","184","3.28","0.46","80","0.36","75","0","4.39","0","0","0","0","0","0","0","0","0","0","0","0.09","100","0","0","0","19.88","80.28","11.4","68.8","8.84","62.89","0","0","0","0","0","4.74","61.54","0.46","40","0.18","7.02","76.62"
"O. Steurer","Austria 1.","Ried","LCB","30","275000","","10","987","1","0","Germany","left","191","9.03","5.2","68.42","4.74","59.62","0.46","8.21","0.09","0.09","0.11","0","0.55","16.67","16.667","0.09","0","0","0","0.36","75","0.73","0.73","0.09","35.93","81.73","17.23","74.07","7.48","51.22","0.01","0","0","0","0.09","5.56","55.74","0.55","0","0.18","8.02","68.18"
"N. Havenaar","Austria 1.","Ried","RCB","30","350000","","10","987","0","1","Japan","right","198","8.48","3.92","60.47","16.41","56.67","0.55","9.2","0.09","0","0.03","0","0.36","25","0","0","0","0","0","1.64","50","1.09","0.09","0","28.18","81.23","14.59","75","4.65","54.9","0.04","0","0","0","0.18","4.74","61.54","0.55","0","0.18","6.38","78.57"
"S. Şahin-Radlinger","Austria 1.","Austria Wien","GK","32","400000","2026-06-30","10","985","0","0","Austria","right","198","2.56","0.27","66.67","0.73","87.5","0","3.58","0.09","0","0.01","0","0.09","100","0","0","0","0","0","0.09","100","0.09","0","0","20.01","90.87","10.42","84.21","4.57","66","0","0","0","0","0","1.46","50","0.09","0","0.09","4.57","76"
"M. Bähre","Austria 1.","Rheindorf Altach","DMF, RCMF, LCMF","30","450000","2026-06-30","10","982","0","0","Germany","right","179","8.34","7.79","64.71","1.19","38.46","0.37","4.86","0.55","0","0.02","0","0.18","0","0","0.64","28.57","0.55","66.67","4.4","54.17","0.46","1.28","0","48.21","86.88","13.11","72.03","2.84","64.52","0.01","0.27","0","0","0.18","6.69","75.34","1.19","23.08","0.37","6.51","74.65"
"N. Hedl","Austria 1.","Rapid Wien","GK","24","2000000","2027-06-30","10","981","0","0","Austria","right","188","1.1","0.18","0","0.09","0","0","1.68","0.09","0","0","0","0","0","0","0","0","0.09","100","0.18","50","0","0","0.09","19.82","87.96","11.56","80.16","7.25","68.35","0","0","0","0","0","1.93","71.43","0.18","0","0","5.96","84.62"
"S. Ingolitsch","Austria 1.","Rheindorf Altach","RB, RWB","28","350000","2026-06-30","11","978","0","1","Austria","right","179","7.73","6.99","47.37","1.93","71.43","0.37","5.86","0.92","0","0.01","0","0.28","0","0","2.3","28","0.92","30","3.68","35","0.55","0.55","0","33.22","70.36","12.98","60.99","6.72","57.53","0.04","0.09","0","0","0.28","6.72","61.64","2.76","43.33","0.74","10.21","74.77"
"A. Schlager","Austria 1.","Salzburg","GK","29","3000000","2027-06-30","10","977","0","0","Austria","right","184","0.62","0","0","0.21","50","0","1.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.14","89.83","7.89","79.22","4.1","60","0","0","0","0","0","1.23","50","0","0","0","3.49","64.71"
"V. Baier","Austria 1.","Blau-Weiß Linz","GK","20","0","2027-06-30","10","975","0","0","Czech Republic","left","0","1.38","0","0","0.18","100","0","1.66","0.09","0","0","0","0","0","0","0","0","0.09","100","0.28","66.67","0","0","0","19.29","78.47","9.42","57.84","8.12","53.41","0","0","0","0","0","2.95","53.13","0","0","0","5.08","61.82"
"D. Frieser","Austria 1.","Grazer AK","RWB, RB","32","500000","2026-06-30","11","967","0","0","Austria","right","178","5.03","4.1","54.55","2.42","42.31","0.19","3.33","1.4","0","0","0","0.19","0","0","1.68","66.67","0.84","33.33","1.12","33.33","0.37","1.21","0.28","26.43","74.65","11.91","58.59","6.51","52.86","0.12","0.09","0","0","0.65","4.75","56.86","1.95","57.14","0.19","8.47","81.32"
"L. Spendlhofer","Austria 1.","Hartberg","CB","32","200000","","10","960","1","1","Austria","right","187","9.94","2.91","70.97","3.19","70.59","0.47","7.62","0.47","0.09","0.04","0","0.47","40","20","0.19","50","0.28","66.67","1.41","46.67","0.47","0.56","0","34.78","84.37","13.31","71.13","5.63","55","0.01","0","0","0","0.19","3.66","56.41","0.56","16.67","0","6.94","62.16"
"S. Raux-Yao","Austria 1.","Rapid Wien","LCB","26","0","2028-06-30","10","957","0","0","France","left","197","7.52","4.14","72.73","2.26","62.5","0.66","6.4","0","0","0.05","0","0.28","0","0","0","0","0","0","0.94","40","0.38","0.75","0","52.57","91.06","19.66","78.47","4.33","43.48","0","0","0","0","0","7.34","65.38","1.03","9.09","0.19","7.43","77.22"
"E. Bakatukanda","Austria 1.","Blau-Weiß Linz","RCB, LCB","21","250000","","10","957","0","0","Germany","right","193","12.13","8.93","73.68","6.02","57.81","0.66","5.82","0.28","0","0.04","0","0.38","25","0","0.28","66.67","0","0","2.16","30.43","0.56","0.75","0.09","39.87","79.25","16.65","64.41","7.15","48.68","0.01","0","0","0","0","5.27","55.36","0.85","22.22","0.19","8.09","54.65"
"R. Ranftl","Austria 1.","Austria Wien","RB, RWB, RCB","33","500000","2026-06-30","10","953","0","0","Austria","right","180","7.18","4.53","50","2.64","46.43","0","6.79","1.79","0","0.03","0","0.76","25","0","3.31","25.71","1.23","61.54","4.25","51.11","0.76","3.49","0.66","43.25","70.52","19.27","64.22","7.56","48.75","0.08","0","0.09","0","0.47","9.44","64","3.97","33.33","0.66","11.8","72"
"M. Sollbauer","Austria 1.","Ried","CB, RCB","35","200000","2026-06-30","10","953","0","0","Austria","right","187","7.93","5.38","73.68","3.4","38.89","0.38","5.68","0.19","0","0.06","0","0.38","25","0","0","0","0.09","100","0.85","55.56","0.47","0","0","28.8","85.25","9.73","67.96","2.93","38.71","0","0","0","0","0","2.46","38.46","0.47","40","0.19","3.02","53.13"
"R. Renner","Austria 1.","Wolfsberger AC","LWB, LW, LB","31","800000","2026-06-30","10","953","1","0","Austria","left","182","7.37","5.95","58.73","2.74","41.38","0","5.17","1.89","0.09","0.02","0","0.85","11.11","11.111","1.32","35.71","1.7","77.78","5.1","51.85","1.04","1.89","0.38","36.83","80.26","13.6","71.53","2.74","41.38","0.09","0","0","0","0.47","5.29","66.07","2.55","48.15","0.94","7.65","75.31"
"M. Maranda","Austria 1.","Blau-Weiß Linz","CB, LCB","28","500000","","10","952","0","0","Austria","right","188","11.25","5.96","61.9","7","63.51","1.23","8.26","0.09","0","0.02","0","0.38","0","0","0.28","33.33","0","0","0.47","20","0.38","0.38","0","50.39","82.55","19.47","66.5","8.22","48.28","0","0.09","0","0","0","7.56","51.25","1.23","30.77","0.28","10.21","69.44"
"S. Lainer","Austria 1.","Salzburg","RB","33","2500000","2026-06-30","10","950","1","1","Austria","right","175","7.3","4.12","79.49","1.48","35.71","0.21","6.99","3.38","0.11","0.05","0.11","0.85","12.5","12.5","3.81","47.22","2.22","66.67","4.97","53.19","1.8","3.91","0.42","57.43","79.37","23.16","73.97","6.35","50","0.11","0","0","0","1.06","10.05","69.47","4.76","60","1.37","13.22","82.4"
"R. Amane","Austria 1.","Rapid Wien","LDMF, RDMF, LCMF","22","0","2029-06-30","10","941","0","2","Côte d'Ivoire","right","176","8.99","7.17","60","1.53","50","0.1","5.94","1.15","0","0.02","0","0.48","20","0","0.57","33.33","1.05","72.73","6.41","47.76","0.48","1.24","0.38","44","88.48","13.39","77.14","2.39","56","0.11","0","0.1","100","0.57","6.41","86.57","1.91","45","0.77","5.64","76.27"
"M. Hennig","Austria 1.","Hartberg","LB, LWB","19","0","2027-06-30","11","930","0","2","Germany","left","176","7.06","4.94","74.51","1.26","23.08","0.19","3.42","1.26","0","0.04","0","0.19","0","0","1.26","23.08","1.45","60","4.45","52.17","0.58","1.55","0.48","24.39","63.1","11.71","44.63","5.03","40.38","0.07","0","0.1","100","0.29","2.61","51.85","1.55","43.75","0.48","6.19","40.63"
"J. Rasmussen","Austria 1.","Salzburg","LCB","28","3000000","2027-06-30","10","928","0","1","Denmark","left","190","8.25","4.67","76.74","6.73","70.97","0.98","7.59","0.11","0","0.05","0","0.33","33.33","0","0.11","0","0","0","0.87","0","0.87","1.19","0","72.85","93.74","32.24","91.25","1.85","41.18","0.04","0.11","0","0","0.11","8.25","88.16","0.22","0","0.11","10.75","76.77"
"M. Fischer","Austria 1.","Austria Wien","LCMF, DMF","30","800000","2027-06-30","10","918","2","0","Austria","right","179","7.65","5.29","57.41","4.8","40.82","0","6.17","0.39","0.2","0.12","0.1","0.69","57.14","28.571","0.29","0","0.2","0","3.24","24.24","1.96","0.98","0.2","33.92","80.06","13.43","66.42","2.84","62.07","0.02","0","0","0","0.1","6.27","71.88","0.59","66.67","0.59","5.88","73.33"
"S. Horvath","Austria 1.","LASK","LCMF, RDMF","29","2500000","","10","915","1","1","Austria","right","168","5.21","3.84","56.41","0.49","40","0","4.53","1.87","0.1","0.06","0.1","0.98","30","10","1.28","23.08","2.46","52","7.87","36.25","0.69","1.38","0.49","45.05","85.59","14.56","79.05","2.46","64","0.03","0","0.1","0","0.2","6.98","78.87","1.97","45","0.69","6.69","79.41"
"S. Pirkl","Austria 1.","Blau-Weiß Linz","LWB, LCMF","28","500000","2026-06-30","10","913","0","2","Austria","left","176","6.41","4.24","81.4","0.99","30","0","3.45","1.68","0","0.01","0","0.3","0","0","3.25","45.45","0.39","50","2.07","47.62","0.89","1.18","0.1","28.59","69.66","10.15","60.19","6.31","53.13","0.1","0.1","0","0","0.49","4.24","65.12","3.45","54.29","0.79","7.89","82.5"
"M. Ouédraogo","Austria 1.","Rheindorf Altach","LWB, LB","22","0","2027-06-30","10","908","0","0","Burkina Faso","","183","8.72","6.94","62.86","6.54","62.12","0.2","6.67","6.24","0","0.02","0","0.4","50","0","6.24","36.51","4.86","77.55","9.32","54.26","0.69","3.67","0.2","42.92","68.13","13.28","52.99","5.45","40","0.12","0.1","0","0","0.5","4.76","47.92","5.95","46.67","0.79","10.41","71.43"
"P. Pomer","Austria 1.","Ried","LWB, LB","28","350000","2026-06-30","10","905","2","1","Austria","left","180","6.86","3.98","50","1.69","70.59","0.3","7.46","1.09","0.2","0.1","0","0.7","57.14","28.571","2.29","17.39","0.7","42.86","2.39","62.5","0.5","1.19","0","32.82","70","13.03","60.31","7.76","53.85","0.09","0","0","0","0.3","6.96","54.29","3.08","32.26","0.7","8.75","75"
"Y. Maart","Austria 1.","Ried","RCMF","30","1000000","","10","904","0","0","South Africa","right","170","10.55","6.37","65.63","1.59","50","0.2","8.98","0.9","0","0.02","0","0.4","0","0","1.49","33.33","0.4","100","3.19","46.88","0.7","0.6","0.1","35.54","74.79","12.84","60.47","4.98","38","0.08","0","0.1","0","0.2","7.77","62.82","2.09","23.81","0.2","6.77","64.71"
"T. Koch","Austria 1.","Grazer AK","DMF, RCMF, LCMF","24","550000","2027-06-30","10","898","0","1","Austria","right","180","6.71","3.81","57.89","1.6","68.75","0.1","5.02","0.6","0","0.04","0","0.6","16.67","0","0.3","66.67","0.7","42.86","2.91","44.83","0.3","0.3","0.1","32.47","83.33","8.92","61.8","4.21","64.29","0.05","0","0","0","0.2","4.31","74.42","0.7","71.43","0.2","4.51","73.33"
"Y. Massombo","Austria 1.","Rheindorf Altach","LCMF, AMF","25","0","2026-06-30","11","898","0","1","France","left","186","5.21","4.41","52.27","1.4","35.71","0","4.33","1.5","0","0.13","0","0.9","44.44","0","1.6","18.75","1.3","61.54","5.71","33.33","2.2","1.1","0.2","28.16","69.04","9.62","56.25","3.01","40","0.09","0","0","0","0.2","4.31","55.81","1.8","33.33","0.9","4.81","70.83"
"T. Kainz","Austria 1.","Hartberg","LCMF","32","400000","2026-06-30","11","893","0","2","Austria","right","174","5.74","5.34","62.26","1.61","31.25","0","2.25","0.6","0","0.03","0","0.81","12.5","0","0.2","100","0.5","20","3.33","36.36","0.5","0.4","0.1","28.72","70.18","11.79","54.7","4.74","51.06","0.18","0","0.3","66.67","0.5","6.45","56.25","1.01","50","0.4","6.15","59.02"
"D. Lavalée","Austria 1.","Sturm Graz","LCB","28","4000000","2026-06-30","9","892","0","0","Belgium","left","187","8.78","3.63","75","5.45","59.26","0.5","8.57","0.3","0","0.06","0","0.5","0","0","0.61","16.67","0.2","100","1.31","46.15","0.3","1.31","0","46.41","84.13","26.43","80.15","7.97","56.96","0.01","0","0","0","0.1","8.58","74.12","1.01","10","0","12.71","76.98"
"M. Usor","Austria 1.","LASK","RW, CF, RAMF","23","0","2028-06-30","10","887","2","2","Nigeria","left","181","4.46","3.96","53.85","1.22","41.67","0","3.55","3.96","0.1","0.31","0","2.23","31.82","9.091","3.55","31.43","4.77","44.68","10.15","34","2.54","2.74","0.41","25.47","71.71","7.1","65.71","2.23","50","0.19","0.1","0.2","0","0.81","2.13","61.9","3.96","38.46","0.81","4.26","73.81"
"E. Havel","Austria 1.","Hartberg","CF, LW","22","500000","2027-06-30","11","887","5","1","Austria","right","184","2.74","2.84","67.86","3.55","25.71","0","0.78","3.65","0.41","0.56","0","3.25","56.25","15.625","0.61","33.33","3.25","50","8.22","34.57","3.45","1.52","0.41","9.23","61.54","2.44","29.17","0.71","42.86","0.08","0","0.2","0","0.2","0.61","16.67","0.61","16.67","0.3","1.01","60"
"G. Bello","Austria 1.","LASK","LB","23","2000000","","10","882","1","0","Nigeria","left","170","6.02","5.1","68","1.73","29.41","0.31","3.3","3.16","0.1","0.02","0","0.31","33.33","33.333","3.47","23.53","3.16","70.97","6.33","59.68","1.12","2.14","0.2","34.69","77.06","10.82","62.26","3.57","45.71","0.14","0","0","0","0.41","3.57","62.86","2.86","32.14","0.31","6.63","70.77"
"A. Stejskal","Austria 1.","WSG Swarovski Tirol","GK","23","500000","","9","880","0","0","Czech Republic","right","189","1.53","0.1","0","0.31","100","0","1.87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","20.05","87.24","9.92","80.41","5.52","66.67","0","0","0","0","0","1.23","75","0","0","0","5.42","66.04"
"B. Böckle","Austria 1.","WSG Swarovski Tirol","LWB","23","400000","2027-06-30","9","880","2","2","Austria","left","185","6.85","4.7","47.83","1.53","40","0.2","6","2.15","0.2","0.07","0.1","0.82","50","25","2.76","40.74","1.13","54.55","2.15","42.86","1.02","1.43","0","35.8","67.43","11.86","59.48","7.06","46.38","0.1","0","0","0","0.51","4.6","53.33","4.3","42.86","0.92","9.72","64.21"
