"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"G. Svensson","Sweden 1.","IFK Göteborg","RCB","38","200000","2025-12-31","30","3015","2","2.58","1","0.19","Sweden","right","184","9.01","4.06","70.59","3.4","51.75","0.84","7.13","0.06","0.08","0.06","14","0.42","64.29","14.286","0.21","42.86","0.12","50","1.13","36.84","0.69","0.18","0.03","44.42","89.65","20","81.94","5.1","57.31","0.01","0.03","0.06","6.24","72.73","0.45","46.67","0.24","7.55","77.08","","","0","0","","",""
"A. Wängberg","Sweden 1.","GAIS","RB","31","300000","2026-12-31","30","2980","0","0.68","1","2.9","Sweden","right","180","11.02","7.64","70.75","2.39","49.37","0.33","6","0","0.02","0","21","0.63","19.05","0","3.11","40.78","1.9","58.73","4.95","46.34","1.06","1.72","0.45","42.43","78.36","19.09","69.3","6.98","50.65","0.09","0.06","0.36","6.8","64","3.23","46.73","0.57","9.91","69.82","","","0","0","","",""
"G. Lundgren","Sweden 1.","GAIS","RWF, RCMF","30","0","2029-12-31","30","2979","3","2.48","7","6.76","Sweden","left","190","7.95","6.4","64.15","1.63","24.07","0.21","4.28","0.09","0.07","0","36","1.09","27.78","8.333","3.17","48.57","5.41","58.66","14.53","38.88","1.78","2.69","0.6","35.74","73.37","12.18","64.76","3.38","56.25","0.2","0.24","0.73","3.99","61.36","4.98","60","1.93","8.25","78.39","","","0","0","","",""
"A. Jensen","Sweden 1.","Brommapojkarna","RB, RWB","24","900000","2028-12-31","30","2928","3","1.78","2","6.19","Denmark","right","180","7.99","6.09","68.69","1.32","51.16","0.09","4.14","0.09","0.05","0","25","0.77","36","12","4.21","44.53","1.2","56.41","6.21","40.1","1.05","1.66","0.49","54.38","85.3","15.06","75.92","5.72","55.91","0.19","0.03","0.49","6.76","75.91","4.33","53.19","0.77","9.65","75.8","","","0","0","","",""
"B. Tiedemann Hansen","Sweden 1.","AIK","RCB, LCB","31","600000","2028-06-30","30","2913","3","2.42","0","0.14","Denmark","right","189","7.85","3.18","82.52","4.29","56.83","0.65","5.95","0.09","0.07","0.09","14","0.43","35.71","21.429","0.03","0","0","0","0.56","50","0.71","0.15","0","50.92","89.08","21.04","80.47","6.8","58.18","0","0.03","0.03","6.98","69.47","0.49","12.5","0.15","8.68","75.8","","","0","0","","",""
"I. Pittas","Sweden 1.","AIK","CF","29","2500000","2028-06-30","30","2824","14","12.6","1","1.03","Cyprus","right","180","4.78","4.53","67.61","3.35","25.71","0.03","1.63","0.45","0.4","0.06","90","2.87","43.33","15.556","0.8","16","2.71","48.24","7.49","27.23","3.76","1.34","0.76","13.32","80.14","1.63","74.51","0.48","53.33","0.03","0.06","0.19","0.8","72","0.96","43.33","0.73","1.12","62.86","","","0","0","","",""
"J. Gustavsson","Sweden 1.","Mjällby","RCMF, DMF, LCMF","31","450000","2028-12-31","29","2811","0","0.09","0","0.37","Sweden","right","174","10.15","7.46","62.66","2.59","44.44","0.51","6.81","0","0","0","6","0.19","16.67","0","0.29","44.44","0.26","62.5","3.04","49.47","0.16","0.38","0.03","44.98","85.84","14.63","71.33","5.09","46.54","0.01","0","0.03","7.49","71.37","0.99","54.84","0.38","6.02","73.4","","","0","0","","",""
"A. Timossi Andersson","Sweden 1.","Brommapojkarna","RW, RAMF, RWF","24","400000","2026-06-30","29","2791","5","5.11","1","4.04","Sweden","right","170","6.16","6.64","59.71","1.58","30.61","0.03","2.21","0.16","0.16","0.1","40","1.29","35","12.5","5.26","34.97","4.71","52.74","9.67","40","2.55","2.58","0.71","24.77","76.04","4.39","70.59","1.03","40.63","0.13","0.16","0.87","1.29","72.5","4.45","44.2","0.58","3.9","80.99","","","0","0","","",""
"M. Jeng","Sweden 1.","Sirius","LCB","20","0","2029-06-30","30","2773","0","0.06","0","0.15","Sweden","left","190","7.89","3.8","68.38","2.69","44.58","0.97","7.01","0","0","0","1","0.03","100","0","0.06","0","0.26","37.5","1.53","44.68","0.03","0.55","0.03","55.34","92.32","18.76","83.04","4.64","54.55","0","0","0","4.45","74.45","0.19","16.67","0.03","7.08","64.68","","","0","0","","",""
"L. Fritzson","Sweden 1.","Brommapojkarna","RCMF, AMF","30","700000","2026-06-30","29","2771","4","4.77","2","2.25","Sweden","right","187","10.17","7.76","61.92","7.47","52.61","0.78","5.1","0.13","0.15","0.03","38","1.23","44.74","10.526","0.55","17.65","1.33","51.22","5.68","39.43","2.24","0.88","0.1","27.19","84.23","6.72","70.53","1.85","54.39","0.07","0","0.16","3.12","70.83","0.81","52","0.52","3.25","59","","","0","0","","",""
