"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"D. Burn","England 1.","Newcastle United","LB, LCB","33","8000000","2027-06-30","10","1023","0","0","England","left","198","7.74","6.33","56.94","5.89","58.21","0.09","5.31","0.26","0","0.01","0","0.18","0","0","0.88","30","0","0","0.7","25","0.88","0.44","0","33.26","76.72","16.63","65.61","4.66","35.85","0.03","0","0.09","0","0","5.28","46.67","1.06","25","0.09","6.33","52.78"
"V. van Dijk","England 1.","Liverpool","LCB","34","30000000","2027-06-30","10","1020","0","0","Netherlands","right","193","6.09","2.21","64","6.18","71.43","0.79","8.04","0.26","0","0.05","0","0.35","50","0","0.09","0","0.18","50","0.71","50","0.88","1.15","0.09","63.18","90.78","27.79","82.54","4.85","54.55","0","0.09","0","0","0","10.76","77.87","0.97","27.27","0.18","10.24","85.34"
"D. Szoboszlai","England 1.","Liverpool","AMF, RB, LDMF","25","0","2028-06-30","10","1020","1","1","Hungary","right","186","6.79","5.82","60.61","1.15","46.15","0.35","5.72","1.68","0.09","0.12","0","1.76","30","5","2.21","36","0.62","57.14","3.26","37.84","1.41","2.29","0.18","53.03","87.85","16.06","78.57","3.44","61.54","0.11","0","0.09","0","0.44","6.88","82.05","2.91","48.48","1.15","8.12","76.09"
"B. Leno","England 1.","Fulham","GK","33","13000000","2027-06-30","10","1015","0","0","Germany","right","190","1.51","0.09","100","0.89","100","0","1.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.27","89.12","11.44","79.84","6.21","61.43","0","0","0","0","0","0.8","22.22","0.09","0","0","4.43","70"
"M. de Ligt","England 1.","Manchester United","CB, RCB","26","65000000","","10","1014","0","0","Netherlands","right","189","7.63","4.79","81.48","4.44","62","0.53","5.23","0.44","0","0.07","0","0.36","25","0","0.62","57.14","0.18","0","0.62","28.57","0.53","0.09","0","39.5","89.21","11.8","75.19","3.2","50","0","0","0","0","0","2.75","67.74","1.07","41.67","0.18","5.33","63.33"
"J. Bowen","England 1.","West Ham United","RW, RAMF, CF","28","50000000","2030-06-30","10","1013","3","1","England","left","175","3.46","2.58","44.83","2.13","25","0","2.57","5.24","0.27","0.19","0.09","2.04","47.83","13.043","2.67","33.33","5.24","62.71","9.24","50.96","3.2","3.02","0.27","19.72","76.58","3.64","70.73","0.8","44.44","0.11","0","0.09","100","0.53","0.89","70","2.04","52.17","0.8","2.67","76.67"
"M. Kilman","England 1.","West Ham United","LCB, CB, RCB","28","32000000","2031-06-30","10","1013","0","0","England","left","194","6.57","3.82","60.47","4.8","55.56","0.8","5.26","0.27","0","0.06","0","0.44","40","0","0.18","0","0.18","50","0.62","14.29","0.62","0.8","0.09","35.8","89.83","10.39","78.63","3.38","44.74","0.01","0","0","0","0.18","3.55","65","0.62","14.29","0.09","4.71","67.92"
"David Raya","England 1.","Arsenal","GK","30","35000000","2028-06-30","10","1013","0","0","Spain","right","183","0.71","0","0","0.27","100","0","1.11","0","0","0","0","0","0","0","0","0","0","0","0.09","100","0","0","0","23.99","86.3","15.1","79.41","8.88","67","0","0","0","0","0","5.51","62.9","0.36","25","0","6.75","82.89"
"Gabriel Magalhaes","England 1.","Arsenal","LCB","27","70000000","2029-06-30","10","1013","1","2","Brazil","left","190","6.31","3.29","70.27","5.15","56.9","0.8","5.67","0.09","0.09","0.07","0.09","0.44","20","20","0","0","0","0","1.24","71.43","0.89","0.98","0","54.02","89.97","18.04","78.33","4.09","45.65","0.09","0","0","0","0.18","5.33","71.67","0.53","16.67","0.27","7.29","67.07"
"S. van den Berg","England 1.","Brentford","LCB, RCB","23","12000000","2029-06-30","10","1010","0","0","Netherlands","right","192","5.52","1.87","52.38","5.61","55.56","0.53","5.46","0.27","0","0.1","0","0.45","60","0","0","0","0","0","0.27","33.33","0.89","0.53","0.09","32.7","90.46","11.85","79.7","1.6","55.56","0","0","0","0","0","2.05","69.57","0.18","0","0.27","4.19","59.57"
"C. Kelleher","England 1.","Brentford","GK","26","20000000","2026-06-30","10","1010","0","0","Republic of Ireland","right","188","1.25","0.09","0","0.18","50","0","1.56","0.09","0","0","0","0","0","0","0","0","0.09","100","0.09","100","0","0","0","20.94","90.21","11.23","83.33","7.31","74.39","0","0","0","0","0","1.78","65","0.18","0","0","5.88","78.79"
