"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"W. Sonne","Denmark 2.","Brøndby U19","GK","19","0","","25","2443","0","0","0","0","Denmark","unknown","0","no","2.39","0.15","50","0.44","83.33","0","3.17","0","0","0","0","0","0","0","0","0","0","0","0.04","0","0","0","0","35.92","86.05","17.76","74.69","8.22","49.33","0","0","0","1.92","34.62","0.18","20","0.04","6.23","55.62","1.51","5.38","71.92","1.66","4.13","0.152","1.58"
"A. Amrani","Denmark 2.","OB U19","LCB, LB","17","0","2027-06-30","25","2409","4","3","2","1.12","Denmark","unknown","0","no","7.25","4.93","68.94","3.44","61.96","0.45","4.72","0.15","0.11","0.11","20","0.75","45","20","0.15","50","0.52","85.71","3.7","49.49","1.01","0.93","0","63.06","91.23","23.24","83.44","4.86","49.23","0.04","0.07","0.19","7.47","76","0.78","28.57","0.19","9.38","77.69","","","0","0","","",""
"M. Pimpong","Denmark 2.","Midtjylland U19","CF","18","0","2027-06-30","23","2168","16","14.78","4","2.48","Denmark","unknown","0","no","3.03","2.45","54.24","6.48","43.59","0.12","2.12","0.58","0.61","0.25","89","3.69","59.55","17.978","0.25","50","2.32","42.86","10.25","28.34","5.56","0.79","0","17.39","79","2.95","60.56","0.54","76.92","0.1","0","0.42","1.25","66.67","0.91","77.27","1.12","1.45","74.29","","","0","0","","",""
"M. Tuka","Denmark 2.","Nordsjælland U19","LCB, LB","18","0","2030-12-31","23","2134","1","0.31","1","0.73","Sweden","unknown","0","no","8.1","5.82","74.64","2.02","58.33","0.34","4.98","0.04","0.01","0","8","0.34","50","12.5","0.3","14.29","0.84","60","4.6","47.71","0.17","1.35","0.13","77.35","92.04","25.05","82.49","5.82","56.52","0.03","0","0.08","11.51","80.22","1.64","48.72","0.72","11.72","81.29","","","0","0","","",""
"O. Vestergaard","Denmark 2.","Randers U19","GK","18","0","2026-06-30","22","2122","0","0","0","0","Denmark","","0","no","2.12","0.13","66.67","0.59","85.71","0","2.15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.46","83.16","13.66","68.94","8.82","54.33","0","0","0","1.1","26.92","0.04","0","0","6.91","49.69","2.33","5.94","60.71","1.74","-13.92","-0.59","1.78"
"M. Kruse","Denmark 2.","Esbjerg U19","LCMF, RCMF","18","0","","22","2110","6","4.59","2","1.53","Denmark","unknown","0","no","6.14","4.95","65.52","1.19","57.14","0.04","2.85","0.17","0.2","0.04","34","1.45","44.12","17.647","0.98","47.83","1.88","52.27","7.59","41.01","2.3","1.41","0.09","29.3","83.11","7.59","67.42","2.56","58.33","0.07","0","0.38","3.11","65.75","1.45","67.65","0.77","3.67","65.12","","","0","0","","",""
"C. Risom","Denmark 2.","Silkeborg U19","GK","19","0","2026-06-30","22","2100","0","0","0","0","Denmark","unknown","0","no","2.49","0.39","55.56","0.51","91.67","0.04","2.29","0","0","0","0","0","0","0","0","0","0.04","100","0.13","100","0","0","0","37.03","90.51","17.74","82.85","7.54","62.5","0","0","0","1.67","33.33","0.13","0","0","6.13","67.83","1.59","4.46","64.42","1.17","-9.77","-0.419","1.84"
"A. Kristiansen","Denmark 2.","Esbjerg U19","DMF","17","0","","22","2090","2","0.8","3","2.22","Denmark","unknown","0","no","10.21","6.76","67.52","1.12","42.31","0.3","5.36","0.09","0.03","0","18","0.78","11.11","11.111","0.78","50","1.03","50","3.92","41.76","0.39","0.78","0.04","52.84","84.43","17.27","69.83","5.77","57.46","0.1","0.09","0.43","8.35","72.16","1.42","42.42","0.34","8.31","69.43","","","0","0","","",""
"L. Mandal Andersen","Denmark 2.","Sønderjyske U19","RCMF, RDMF, DMF","19","0","","22","2022","0","1.19","1","2.13","Denmark","","0","no","7.66","5.07","65.79","0.89","60","0.18","4.79","0","0.05","0","24","1.07","16.67","0","1.38","22.58","0.67","86.67","2.4","42.59","1.29","0.49","0.09","45.36","80.18","15.31","64.53","5.79","44.62","0.09","0.22","0.27","7.48","66.07","2.98","43.28","1.02","6.72","66.23","","","0","0","","",""
"O. Einarsson Morales","Denmark 2.","Esbjerg U19","LCB","19","0","","22","2013","0","0.29","1","0.54","Iceland","unknown","0","no","7.82","4.43","65.66","2.82","52.38","0.63","4.85","0","0.01","0","4","0.18","25","0","0.4","33.33","0.09","50","0.85","31.58","0.76","0.4","0","54.77","82.94","24.55","70.49","11.54","46.9","0.02","0","0.04","9.25","59.9","0.94","33.33","0.36","12.79","73.08","","","0","0","","",""
